R_bin_kpc,absZ_bin_kpc,phi_bin_deg,n_crossmatch,Rbirth_median_kpc,Rguide_median_kpc,deltaR_guide_median_kpc,abs_deltaR_guide_median_kpc,outward_guide_fraction_gt0p5,inward_guide_fraction_gt0p5,outward_guide_fraction_gt1,inward_guide_fraction_gt1,age_rbirth_sample_median_gyr,n,Vr_median_kms_anom,Vphi_median_kms_anom,Vz_median_kms_anom
7.5,0.25,150.0,13,6.244348076397452,8.17395053007877,1.901332759142635,1.901332759142635,0.9230769230769231,0.0,0.9230769230769231,0.0,3.31,36,0.0,0.0,0.0
8.5,0.25,180.0,10,6.626155474000451,8.439642273324225,1.8175538281590855,1.8175538281590855,0.9,0.0,0.9,0.0,3.7249999999999996,83,0.0,0.0,0.0
