source_id,pf,p1_o,average_rv,average_rv_error,num_clean_epochs_rv
1979638838645769216,,1.5010406518162192,,,
4513281175196176512,1.4751495653143314,,,,
4505886718970731648,,1.7551480091279708,,,
4320461195449352064,2.8189079877944865,,,,
1978690990909022336,,1.4958333995581758,,,
4512885247948565376,,2.130000389446258,,,
2165006259882192128,4.9957068571391146,,,,
2022722274099045376,,1.4024645101696125,,,
2031745858613175040,,1.1693420400393129,,,
2195158098523149312,,2.0994832475656087,,,
2033842562903693184,5.858810385529862,,,,
4314393025132914944,,1.2053969076822983,,,
2072235820984829312,3.892005063798396,,,,
2004103831357741696,2.6316351692782654,,,,
2062016551910446592,1.8781781251000016,,,,
2025179884408158464,5.1944003444491145,,,,
4311113353708708864,2.5068280452665044,,,,
4314164395446976128,3.00735560963954,,,,
4505886787660255616,2.4984461641185134,,,,
1873298884367855872,2.8221078075314203,,,,
2021540814501736320,1.6932377060953965,,,,
1871915630021420672,,0.9820063469661208,,,
4320165285017783168,2.7839220381422853,,,,
2162679246615275264,2.113105548469126,,,,
2059995546465811968,2.6850866077607964,,,,
2031982665929461504,1.644051956892095,,,,
1861245556872133504,2.6959188899975404,,,,
4310507179195737984,,0.9608931500637686,,,
