source_id,ra_deg,dec_deg,GLON_deg,GLAT_deg,Dist_kpc,s_phase_kpc,d_perp_kpc,best_min_neff_sigmaRV_2,best_h_sigmaRV_2,phot_g_mean_mag,grvs_mag,radial_velocity,radial_velocity_error,rv_nb_transits,pf,p1_o,average_rv,average_rv_error,num_clean_epochs_rv,gaia_epoch_rv_good_count
2072235820984829312,299.7147335166733,37.64724721832573,73.47959,4.2546,16.91,7.258123211473825,-1.240163575126199,3.6307697243812234,7.0,14.274974,13.128462,-121.079636,5.3372207,19.0,3.892005063798396,,,,,0
2025179884408158464,294.69744707148163,27.413495229237085,62.49374,2.7435,17.54,3.675491706021214,-1.3959106176520455,3.615426040971164,7.0,16.376305,,,,,5.1944003444491145,,,,,0
2031745858613175040,296.8870314589,29.343694166972423,65.12776,2.02921,17.64,4.414297908739168,-1.1001340933875956,3.52501720139692,7.0,17.749508,,,,,,1.1693420400393129,,,,0
2162679246615275264,315.6675454469324,45.0927948398114,86.53015,-1.0014,16.6,11.047321291401156,-0.5855835917497793,3.506395060927186,7.0,16.267534,,,,,2.113105548469126,,,,,0
1873298884367855872,314.1788623628072,40.2584860241259,82.1601,-3.34632,19.24,8.701455980597105,1.6589541736160305,3.425605286306008,7.0,16.184006,,,,,2.8221078075314203,,,,,0
2059995546465811968,301.52544946210986,36.77628798685051,73.50189,2.57013,16.45,7.495451905728237,-1.6571280126558965,3.423271819718629,7.0,17.223618,,,,,2.6850866077607964,,,,,0
2165006259882192128,320.2242961708655,48.78968776823098,91.35326,-0.73407,17.89,11.81247360528764,0.9886257045825322,3.3910249834243147,7.0,18.031054,,,,,4.9957068571391146,,,,,0
4513281175196176512,288.1168720035091,16.49916890738218,49.98188,2.94104,18.11,-0.5553821435353719,-1.6870353759672505,3.357710859199569,7.0,17.259201,,,,,1.4751495653143314,,,,,0
4160906424545920128,276.38951956695223,-6.458712953963847,24.22707,2.77174,20.53,-10.492719760197533,-0.2593088420702449,3.3453427005468077,7.0,16.934021,,,,,,,,,,0
2195158098523149312,310.87508586105747,61.75625438793755,97.6715,11.76336,15.7,14.622208144751117,-1.092500607167409,3.3090089278805697,10.0,14.327788,13.376652,-101.186005,5.520222,25.0,,2.0994832475656087,,,,0
2022722274099045376,291.4078153745641,23.882815060219805,57.96622,3.6493,18.16,1.9749487268872288,-1.1240822964573338,3.305280782270784,10.0,16.250635,,,,,,1.4024645101696125,,,,0
4513399883752121216,288.4015524665938,16.887476036176945,50.45281,2.87829,17.9,-0.2951798599172809,-1.86360565213308,3.246882372896024,7.0,17.178337,,,,,,,,,,0
1861245556872133504,305.2023380839003,29.776749178965986,69.35795,-3.85349,17.76,5.627762113582395,-0.7051988829486632,3.23967719051618,10.0,16.474401,,,,,2.6959188899975404,,,,,0
2062016551910446592,301.971634553472,39.1584105261668,75.70288,3.55389,18.32,7.216691153427344,0.3037363222074158,3.2304274672870066,10.0,16.861692,,,,,1.8781781251000016,,,,,0
4310507179195737984,284.007464766534,9.5430325254315,41.95445,3.32576,20.15,-4.121974879050933,-0.1274516561149789,3.2295630867149945,10.0,17.339405,,,,,,0.9608931500637686,,,,0
4320461195449352064,287.1801308992297,14.612945262012124,47.88927,2.87505,18.78,-1.5660179682254345,-1.1520058195077745,3.2210355860557294,7.0,15.738185,,,,,2.8189079877944865,,,,,0
4314164395446976128,287.52832862367643,13.751125089074757,47.27843,2.17914,18.02,-1.4064472565490531,-1.9293443363651777,3.219788303350642,7.0,16.841406,,,,,3.00735560963954,,,,,0
2033842562903693184,298.61331861041657,31.98443477224332,68.15844,2.0961,16.59,5.873788935685492,-1.9042783738873392,3.2147623004605967,7.0,15.879004,,,,,5.858810385529862,,,,,0
1978690990909022336,323.6657258926437,49.05387013682727,93.17083,-2.10559,15.43,13.41499047438571,-1.3100107744358716,3.195882791332671,7.0,15.173822,,,,,,1.4958333995581758,,,,0
1871915630021420672,316.34203913487227,38.02263657027089,81.57429,-6.0798,17.41,9.334988515462278,-0.2273158299341439,3.186693448299789,7.0,15.345571,,,,,,0.9820063469661208,,,,0
4512885247948565376,287.4700590360718,16.183932067339214,49.4157,3.34727,18.71,-1.027293880191791,-1.1376718318471015,3.182429035020072,10.0,15.669858,,,,,,2.130000389446258,,,,0
2031982665929461504,296.05399031447047,29.68729545258683,65.0624,2.82878,16.76,4.870920701590028,-1.9729014824462623,3.1799448359271274,7.0,16.176397,,,,,1.644051956892095,,,,,0
4320165285017783168,288.05334573408885,13.963392583145598,47.70217,1.82481,18.12,-1.3180151471644346,-1.8014991684102388,3.177430768148063,7.0,17.944548,,,,,2.7839220381422853,,,,,0
2021540814501736320,293.71911711786413,25.617968013135847,60.49699,2.6342,17.11,3.2978077202738225,-1.9568631258050333,3.160620228439517,7.0,17.362158,,,,,1.6932377060953965,,,,,0
1979638838645769216,327.16408791205106,49.39734159183344,95.1221,-3.34584,15.32,13.992623423361778,-1.315140694185721,3.130740241824286,7.0,14.781419,13.740115,-122.536804,7.21208,23.0,,1.5010406518162192,,,,0
4314393025132914944,286.6086918877812,13.89080092201919,46.99246,3.03667,19.02,-1.9704265331367865,-0.9701174777145564,3.122209096808753,10.0,16.510912,,,,,,1.2053969076822983,,,,0
4280510268611908480,280.6046605213631,3.902137573249485,35.38266,3.78228,20.97,-6.654270217860955,0.3976052768515683,3.113939208027736,10.0,16.79453,,,,,,,,,,0
4311113353708708864,283.02625047455984,8.909659913223521,40.94929,3.90269,19.46,-4.1909205037905375,-0.8714307903020972,3.1106129729591543,7.0,16.565842,,,,,2.5068280452665044,,,,,0
4505886787660255616,284.4408089915993,12.366625225265622,44.67068,4.22459,20.12,-3.1881593335627447,-0.0389166975376213,3.032629297705536,10.0,16.632177,,,,,2.4984461641185134,,,,,0
