source_id,ra,dec,pmra,pmra_error,pmdec,pmdec_error,ruwe,average_rv,average_rv_error,num_clean_epochs_rv
4118696585520277760,268.0378941222472,-21.05074478155031,-2.2689495590517104,0.06817457,-3.858129670358922,0.047973603,1.0211756,,,
4060910068247394432,264.7418063101866,-27.57575136238466,-2.1208935170024548,0.14166723,-6.357588865926168,0.07908815,0.99251515,,,
4061079839722120960,265.56252413640124,-26.458047892981742,1.609635192801414,0.14569512,-8.503729440648467,0.07674685,1.1068667,,,
4061059430031901824,265.61229190929123,-26.753818131387227,-2.6012205616425046,0.25232688,-3.607428371351837,0.14175017,1.0105135,,,
4076140640824101120,277.262079582298,-25.81350132610088,-1.6835942742783907,0.05228927,-3.629061928309224,0.037548497,1.0398275,,,
4068865477211789184,267.27938439377016,-23.12186429666296,-2.184627403233917,0.08793627,-3.831070772257412,0.058915883,1.1476802,,,
4050293493207289472,271.5749207503057,-29.75145397862307,-4.814527230464745,0.042379495,-5.6595009548331445,0.031962458,0.9211132,,,
4104122795039152000,277.2840994810158,-14.5791588379724,-2.123978134132571,0.04416123,-4.380496918061583,0.037523545,1.0397223,,,
4057606787380343808,267.2811333811913,-28.406710344322903,-1.0219077937370171,0.045167055,-1.3187768568813047,0.029356884,0.8769054,,,
4060916145582843392,264.66802173840995,-27.395220619425057,-1.7279854768317264,0.10766196,-3.1690867235560987,0.059614208,1.0325933,,,
4094205337582956416,273.060269178668,-20.483504852582136,-0.143851944855794,0.024969382,-0.9882745028580816,0.017760012,0.89814395,,,5.0
4068514634273120128,266.79088262239515,-24.16207941418813,-2.802067514124144,0.13842772,-3.7148235221762023,0.08547944,1.07086,,,
4076246193919493376,278.6636788731724,-25.15669413136349,-1.4231137030304022,0.049221635,-6.966390114246349,0.040353745,1.9514389,,,
4147402841172462080,273.74890012956723,-13.606566387436413,-2.137364706991337,0.13455696,-5.175399229740633,0.10719352,1.0908028,,,
4062548478035494528,269.1674623383946,-29.01284792211738,-2.2830098176388685,0.047843996,-3.110712147598498,0.033089604,1.1822288,,,
4149825546359977472,266.7297061508618,-13.431897529357313,-10.029975992881848,0.029773796,-14.031983535862576,0.021841658,1.5973281,,,
4095160267741633152,272.3217516853944,-19.099999835898668,-0.0693944054216551,0.08336515,-1.415423583910255,0.06274625,1.1744634,,,
4096140001386430080,275.8297937830495,-18.57477358788638,0.5594882618394605,0.020592771,0.1966014656147177,0.016131923,0.8552652,,,
4060964283579245312,264.9007983148215,-27.012775873471817,-1.8959321795565216,0.15522967,-3.3452380070096126,0.08257598,1.0183549,,,
4065192592980348160,274.02857690352937,-24.882383079725123,-1.1069681291060405,0.06279435,-2.3343034904923865,0.043236125,0.9879938,,,
4096341040228858240,275.27307925487503,-18.455473829661344,3.399685329683296,0.024015544,1.675157279001518,0.017421782,0.7409211,,,
4099189015819292800,282.3691212196899,-16.723041571141096,0.004871998074388,0.029749442,-3.353445939718496,0.022123491,0.9553915,,,
4063689427455040256,268.24228736939705,-27.60011548781075,1.0168835602244,0.020616103,0.1009287869092926,0.013450138,0.8290687,,,
4152072840713183360,269.62957507949733,-11.079555699214538,-4.136889838733183,0.061872233,-2.801622802064597,0.04420009,0.9386341,,,
4065279454540304128,274.6005311956191,-24.75601315501456,-4.775583287982967,0.074122615,-4.902846995128446,0.0562679,1.0361178,,,
4096979650282842112,276.185419407211,-16.797173874532607,-0.2382903782207566,0.024400745,-0.4888784575478309,0.01974571,1.1003364,,,
4050242190000435968,270.3198000914815,-29.867830350370657,-2.4621313997855374,0.06600658,-6.510585211293228,0.048108604,1.0606741,,,
4048614465895806208,278.22002766433417,-28.35641270426561,3.9714145901260944,0.036054272,-13.4919364599096,0.026568066,0.9412343,,,
4110164199103567488,263.27212715319456,-25.13686541441488,-2.8820015955296423,0.2125686,-3.641724344013816,0.1679267,1.0416014,,,
4067708726606839424,267.9077625161028,-24.35646007454661,-2.950346853019394,0.107984915,-5.303988687686822,0.069353856,0.84890735,,,
4116820887409126912,264.49434722747816,-22.50336035858608,-1.894725153271953,0.07628573,-3.447106720337822,0.043122247,1.041021,,,
4117169363890527616,265.1000732071652,-22.058093040955665,-3.875643893140269,0.0897917,0.4587937541229175,0.0582932,1.2528524,,,
4117993619657572864,264.41965416525665,-21.684338928541397,-1.982579189278709,0.03152355,-4.775878584251133,0.01931237,1.1279413,,,
4087335043492541696,286.5130647860782,-18.428247943017084,-2.30575746229744,0.021955173,-2.209987102609866,0.017842105,1.3867104,44.263557,3.4067128,14.0
4147381366335558784,272.50887793974624,-13.545961888655592,-1.4080518933595128,0.023167955,0.5226403136914374,0.015869623,1.1902134,,,
4062535588934523392,269.34261571920734,-29.06126410954265,-0.253002874517893,0.060763255,1.0220715049988895,0.036139287,0.9721881,,,
4093976334264606976,273.85943862951035,-20.629552967069323,-0.3220032244853046,0.01954114,-2.3170653413180187,0.014077397,0.84041965,,,
4094784475310672128,274.24882157138273,-19.07583147548117,0.9790249382265857,0.026068449,-0.2235557106204604,0.02086221,0.94404805,-17.590893,0.9045684,16.0
4095782655730995968,272.4445412563659,-18.377297014643965,0.1518634106900343,0.022012038,-2.88951508001535,0.016632069,1.0123743,24.320398,1.1950002,11.0
4145697876614018048,272.8774918430413,-15.925976614019543,-0.4514091339538422,0.021231305,-1.4527848508809054,0.016238697,0.8538489,,,
4070632534235286272,268.5688472622563,-21.369732792453217,-1.8374392976084424,0.12916104,-3.75365052065498,0.09145673,1.0760053,,,
4046851570796262656,277.5440459285689,-31.37054898845966,-1.1932772001594385,0.031306177,-1.522370408140233,0.02549778,0.8710874,,,
4066429066901946368,273.2604033196412,-23.11729473325036,0.8863726845024443,0.028544005,-3.7286710598309383,0.020221414,0.8816063,,,
4080122796947250176,281.322899483177,-20.64739456406258,-0.8478681239384613,0.06719387,-4.228984138672346,0.053119544,2.426819,,,
4085919765884068736,282.7494724886191,-20.295252984445803,0.3533395197529826,0.025502924,-5.056593693994552,0.018683799,0.8201806,,,
4096107909387492992,275.3457607415589,-18.860034027348057,-3.249236019835448,0.054538157,-7.253083575874958,0.038613696,1.7573247,,,
4097562700648199808,273.33217232374864,-16.55538259140235,-0.4032390100152697,0.08664528,-1.6989618816957734,0.069785185,0.9586311,,,
4146201826576168064,273.8129412343465,-15.259022037261651,-0.9288955374076836,0.06268787,-1.5574985046195553,0.048108105,1.0416123,,,
4061991747129683712,263.4924064470521,-26.1228970415286,-4.370905486770056,0.21346729,-6.905287670514233,0.14766142,1.2206672,,,
4066375912402666624,274.0694283980899,-23.30591409182088,-0.7093080352916089,0.045534715,-1.4721258685367475,0.031793363,0.94010735,,,
4069642286496840064,271.0518672581557,-22.80363787066643,-0.8496173707904344,0.14813858,-2.8858442943885567,0.11309179,1.2839025,,,
4097633069395744768,274.38530215304445,-16.24364797094993,0.2477492299678506,0.047262534,-1.716435449213105,0.037630532,1.0379789,,,
4146129636764799872,274.33556068005464,-15.544998295885092,-0.0826933112792115,0.063203685,-2.136550753114526,0.04176308,1.2237372,,,
4153177128348076032,276.4623245998088,-12.332861217230953,0.0781036152627605,0.026643204,-2.141640299599897,0.022557471,0.8807669,,,
4067683678353886976,267.392112378278,-24.71603715320009,-0.467462302878915,0.0301163,-5.617069727657099,0.019796459,1.1092546,,,
4123710083671343232,265.34294177615527,-17.43402589618782,-1.1200588070052406,0.0730924,-7.0174757460399055,0.05230261,0.99111104,,,
4046237665351689600,274.9490744004088,-31.415665830341474,-2.6331819659501248,0.02847904,-4.959683619489317,0.021067906,0.99241966,,,
4050309195613114624,271.25513249315395,-29.58010989671201,4.372350748078841,0.19590874,-4.587867195975866,0.12570657,3.9523914,,,
4092905375639902464,277.9722095156083,-19.125099857498498,-1.7954379597540426,0.024949316,-6.126712730958885,0.017031407,0.8526962,,,
4063755947910057728,267.4990349957014,-27.140673681503745,-0.2150813114832145,0.14735143,-2.991629735784676,0.0886999,0.86604464,,,
4070136581375526272,268.6230379071326,-23.036198834922832,-2.250132526383915,0.14057708,-4.012372630336121,0.09758567,0.8353344,,,
4070257424580299904,268.3204138744767,-22.3224271525902,-1.6909588342942652,0.20610696,-3.88533334225152,0.13029614,1.2790804,,,
4071099959717758592,269.1876111351833,-20.376776509984783,-1.9889410924557265,0.10169949,-3.590966359421386,0.07367069,0.95713055,,,
4119172429149227520,268.8600770562958,-19.930057431746583,-1.6936483355467755,0.13719441,-3.5017858782135542,0.09609595,0.97180283,,,
4063347170189378688,271.64801764297715,-26.35062143636872,-5.470765997308075,0.049735423,-4.394876862480679,0.035068676,0.9301447,,,
4077490291331290368,278.7557146392952,-24.0123232612156,-1.3677610118636891,0.02661101,-3.8579028501495354,0.0218138,0.86224127,,,
4094007532908816896,273.0190261427981,-20.704024217137206,0.3069516652078948,0.025398642,-1.5480834221082906,0.019554766,0.8056516,15.262115,2.1015978,12.0
4097241677618247040,273.7729309048717,-17.551644639962173,-0.6056731782409276,0.051733598,-1.5166394844821316,0.037756845,1.0774678,20.629005,7.988045,8.0
4146053358152366080,273.064544605692,-14.919141296638037,-2.025727773130572,0.16501705,-4.235511307968008,0.12703837,1.0820682,,,
4152865318042752768,275.40845183435226,-12.430730294347455,-1.1667624158455967,0.033706143,-3.013148234242553,0.028637882,0.98611003,,,
4063826557167149440,268.57334403093074,-26.758213888055938,1.0093262293592455,0.028268969,-0.1193739898993273,0.017421467,0.73667186,,,
4116471792510901248,265.28444394365283,-23.47430928744881,1.741186373421682,0.023280265,-0.3754391954404175,0.012884793,0.75773543,4.169964,1.3103756,8.0
4070813536941913344,270.11529537672374,-20.96737177268779,-0.3106770471058718,0.04038663,-2.4459317310677844,0.030819127,1.1452509,,,
4095359073189127808,271.8099457494152,-18.98705267506849,-0.6888147356346808,0.07569321,-1.8197634314058813,0.06255531,1.2135363,,,
4104857784196182400,277.8322831770774,-13.108184937969463,0.0159479370901032,0.02008434,-2.232467758574668,0.016746918,0.79876983,,,6.0
4063562223415938048,269.69872323550834,-27.318421783115348,0.7786844897319698,0.16858974,-11.227216689645136,0.10209321,1.0595677,,,
4070690636561939840,268.5763571621627,-20.800791578930284,-4.192891237925688,0.08499273,-7.737306242514297,0.057036594,1.0059428,,,
4123179706771626112,264.4701611482518,-18.41773984813341,1.2618254874582082,0.032224216,-7.848212053664187,0.019976465,1.019162,,,
4048895253682114432,273.3797176038819,-31.8241286868761,-3.9947825884150094,0.07319527,-7.365176478251796,0.05390448,0.9762498,,,
4098103969609165440,274.98442733001207,-15.51462929016485,-0.926849388003223,0.12293302,-3.192036734759064,0.091667704,0.9828649,,,
4103989346187406464,276.80604405260334,-15.11798896285524,-0.06762598380681,0.016054465,-2.828097731799158,0.014274499,0.8412262,,,
4145660012181292160,272.24518551596543,-16.22175643225971,-2.328768887824864,0.0883564,-3.921529396845104,0.06204799,0.9029746,,,
4146480758934014336,273.2423380075368,-14.66345526525262,-2.2438715533865192,0.17223407,-3.798892065931483,0.12638749,0.95008606,,,
4062757346569515520,269.4598529289115,-28.07872406444193,-2.843518775570068,0.235008,-6.559879578859906,0.16613185,1.1941432,,,
4068902040335100032,267.4668199805049,-22.824871212730965,-1.5292334239444645,0.13988157,-4.299970575443802,0.09366691,1.0933571,,,
4119249944725052288,269.2106806597167,-20.019535523529072,-2.111388039595281,0.12102474,-3.515421596372476,0.085770264,1.0095981,,,
4052892841829875712,275.92713282109014,-26.13577015231588,-2.999305541547738,0.039222356,-2.622624482294996,0.030081304,0.92140454,,,
4069887786823732608,270.92392369849176,-22.18298557458424,-0.9005291102642013,0.029838465,-0.8681354256215814,0.021341095,0.8706315,,,
4097663134168262912,273.8306885329002,-16.309579987362604,-1.4690312122623668,0.05052051,-2.885755236198605,0.037378818,0.9354144,,,
4096627497365471232,277.2532237410688,-17.764651360813428,-1.1934980642045006,0.18466055,-8.974298753288034,0.1390277,0.9800474,,,
4060754379934213760,266.78593553845604,-27.29285298054195,-0.345882115769935,0.03755646,-1.722416813525006,0.02264436,0.7409949,,,
4063883590025929216,268.1183780759619,-26.70348705732585,-0.1269049255601155,0.020925365,-3.7599056511801634,0.013999825,0.92581373,,,
4068708285827508992,267.6915607357485,-22.996974155541515,-1.8613656978918869,0.1377225,-3.838304699677506,0.08408426,1.1073867,,,
4070670295593724416,268.63285651888344,-21.084317842958832,-2.2013877510522293,0.12490825,-3.7053824202044647,0.086226314,1.1741028,,,
4119147312180166144,269.02715280772395,-20.18579646973578,-1.86037055903796,0.10735797,-3.597965892267592,0.07417008,1.0488743,,,
4169474265786848768,263.6118976922328,-6.893383600605833,-1.8519399143352957,0.05901983,-6.010969832171237,0.043882333,1.008331,,,
4049125051634137600,272.09976953978696,-31.250700406403126,-8.060385024702661,0.06534047,-6.258962075055546,0.046446305,0.9459265,,,
4064842471612626176,272.5149891675828,-25.8607933539938,-0.8318348881433489,0.04318645,-0.2811632786925072,0.030996237,0.8848572,,,
4069925032781120512,270.29281273735074,-22.11704317924317,-4.079139682848744,0.080828756,-7.186807071630697,0.058283728,1.1197975,,,
4091104989668551936,276.30503101846483,-21.18196334870174,-2.3838969685526927,0.08221092,-5.5728336205174775,0.06680341,1.117867,,,
