AX Cir              14 52 35 -63 48 35 5873984023533350400   5.7  1.0 FU T  72   7.0   5.273442 2.3e-02  57768.132023 8.3e-11
BB Gem              06 34 35 +13 04 44 3355398399202605696  11.3  1.3 -  F  13   4.0   2.308207 3.2e-06  57962.353770 1.4e-09
BB Sgr              18 50 59 -20 17 42 4085919765884068736   6.6  1.3 -  F 101   8.0   6.637132 1.9e-03  56660.740144 5.5e-09
BG Cru              12 31 40 -59 25 26 6058439910929477120   5.3  0.8 FO F 127   3.0   3.342540 5.1e-07  58055.441765 2.4e-13
BG Vel              09 08 15 -51 26 10 5324034867356093056   7.2  1.5 FU F  87   7.0   6.923858 4.8e-03  57821.789245 9.3e-10
BK Aur              05 10 40 +49 41 15 261548119462093568    9.1  1.4 FU F  48   8.0   8.002697 7.7e-05  58117.383778 1.4e-08
BM Per              04 29 39 +48 25 19 258412862056729472    9.5  2.4 FU F  17   4.0  22.962456 2.0e-04  58051.546154 1.4e-08
BN Pup              08 06 21 -30 05 48 5596601154188852352   9.5  1.6 FU F 110  16.0  13.673604 1.6e-05  58266.117243 2.3e-09
BP Cir              14 46 41 -61 27 42 5877460679352962048   7.3  1.0 FO T 114   4.0   2.398125 6.0e-07  57002.106842 7.1e-09
BZ Cyg              20 45 59 +45 18 25 2070224337474904064   9.4  2.1 FU F  31   5.0  10.141903 7.0e-05  58487.227745 6.1e-10
CD Cyg              20 04 26 +34 06 44 2058374144759464064   8.5  1.7 FU T  62   7.0  17.076174 1.6e-04  57439.425526 1.9e-08
CH Cas              23 22 28 +62 45 25 2016581673416790656  10.1  2.3 FU U  28   7.0  15.091991 1.8e-04  57869.553192 2.8e-09
CP Cep              21 57 52 +56 09 50 2198162651499971200   9.8  2.0 FU F  44  10.0  17.866326 1.5e-04  57933.421531 8.5e-09
CR Car              10 32 54 -58 31 15 5351423049186195328  11.0  1.7 FU F  75   9.0   9.757970 4.4e-05  58261.483687 1.4e-08
CS Mon              06 32 10 +06 39 11 3132210870342377344  10.5  1.5 FU F  44   7.0   6.732000 8.4e-06  56156.562302 3.0e-09
CS Ori              06 07 25 +11 09 07 3330259852538068608  11.1  1.4 FU U  37  10.0   3.889114 1.3e-06  57819.787424 1.1e-09
CY Aur              04 57 40 +46 05 33 206577210999441536   11.1  2.0 FU U  36   8.0  13.845099 1.1e-04  58101.650452 1.2e-08
CY Cas              23 29 12 +63 22 27 2016626856473497344  10.8  2.3 FU F  20   5.0  14.378714 5.5e-05  57228.067988 6.6e-11
DD Cas              23 57 34 +62 43 05 2013029941628292352   9.4  1.5 FU F  27   6.0   9.812089 5.9e-05  57152.607698 1.0e-10
DG Vul              19 58 40 +27 41 01 2027621594813939840  10.3  2.5 FU F  43   9.0  13.608744 4.1e-05  58105.577764 4.6e-12
DK Vel              09 17 16 -53 05 05 5311598634949142400  10.4  1.2 FO F  34   4.0   2.481687 2.1e-06  56459.010932 2.0e-10
DL Cas              00 29 58 +60 12 43 428620663657823232    8.5  1.6 FU T  66   5.0   8.000934 8.2e-05  57612.352705 6.2e-09
DR Vel              09 31 40 -49 39 18 5313887130948758016   8.9  1.9 FU T  69  12.0  11.199535 1.1e-05  57304.667938 4.6e-09
DW Per              02 33 52 +57 01 39 457807268533229056   11.1  1.6 FU F  24   7.0   3.649960 9.6e-04  56695.496947 7.2e-09
EK Mon              06 52 46 -02 27 29 3106015688704277504  10.5  1.6 FU F  30   8.0   3.957978 4.7e-04  57119.776313 1.6e-09
EK Pup              07 41 49 -25 02 30 5614274807174596864  10.4  1.2 FO F  32   5.0   2.625895 8.9e-04  56207.579901 3.9e-11
EU Tau              05 45 40 +18 39 24 3398383973788673024   7.9  1.0 FO F  44   3.0   2.102247 1.2e-05  58134.853458 1.4e-09
EZ Cyg              19 57 49 +30 15 57 2030427789038000256  10.4  1.9 FU F  40   8.0  11.660750 1.1e-04  57865.283804 3.6e-09
FF Aql              18 58 14 +17 21 39 4514145288240593408   5.1  1.1 FO T  79   8.0   4.470984 7.4e-06  57769.469000 5.2e-10
