R_bin,Z_bin,P_bin,n_source,Rbirth,deltaR_birth,outward_gt1_frac,inward_gt1_frac,innerborn_lt6_frac,age,FeH,aFe,Rbirth_anom,deltaR_birth_anom,outward_gt1_frac_anom,inward_gt1_frac_anom,innerborn_lt6_frac_anom,age_anom,FeH_anom,aFe_anom,n_young,Vr_young,Vphi_young,Vz_young,acirc_young,Vr_young_anom,Vphi_young_anom,Vz_young_anom,acirc_young_anom
4.0,0.5,135.0,45,16.134020469633615,-11.47531967765531,0.044444444444444446,0.9555555555555556,0.044444444444444446,7.051250738160289,-1.449899822261217,0.366326873884724,-0.13520403679229176,0.19130065506253047,0.012018140589569161,0.0032879818594103716,-0.003287981859410434,-0.13058842228395573,0.02956712842968101,-0.005659478087967129,6,-18.34246688800919,178.34071861145173,4.521116445287603,6619.081873684825,0.0,0.0,0.0,0.0
5.0,0.5,135.0,101,14.020686940690531,-8.58379856801665,0.0891089108910891,0.8217821782178217,0.16831683168316833,7.7046034166345025,-1.2704081270844123,0.374494003254336,1.1309315094612415,-1.2523225819841945,-0.0018936319861494466,-0.00714169777633511,0.013120164475463963,-0.5173963537043411,-0.1414626482692678,-0.01065532942785219,5,-14.249605427768367,176.30653633786562,-12.471670453837053,5272.838239638937,-11.640275442014872,-17.1246532418794,-9.842192681088388,-1279.6621867872045
5.0,1.0,135.0,122,14.322703580263077,-8.652951129140341,0.09016393442622951,0.8934426229508197,0.10655737704918032,7.321607491064116,-1.0925113012755436,0.37163338126630774,0.8517308316657513,-0.6943832518822921,0.01990211109800684,0.00967095176317967,-0.00247670715886307,-1.0396889170938426,0.1035881388505766,-0.011969989538730186,5,3.7890477079126983,201.0820930025568,-45.41193409028308,7369.631950148481,0.0,0.0,0.0,0.0
6.0,0.5,135.0,100,10.640981738071371,-4.386634318353085,0.21,0.69,0.26,8.668899140209293,-0.7563221946223266,0.3360806135758658,0.15706748587972896,-0.11968988384209833,-0.05206806282722512,0.038717277486910895,-0.04801047120418844,-0.8669786526293528,0.1428375371004944,-0.03242334346336495,11,-20.91851750115904,218.59560974563917,7.642976186724961,7089.225868701,-8.325028122737153,5.381102548136852,5.766537747687098,345.947041423904
7.0,0.0,135.0,49,8.105999383879624,-0.290062252992695,0.1836734693877551,0.20408163265306123,0.1836734693877551,4.351124366139784,-0.1398719487706595,0.0609496984876253,1.0022164564192124,-0.9276058543283503,-0.22482993197278908,-0.03129251700680272,-0.14149659863945577,-2.6991190300272505,0.05173279795954583,-0.02448171952994728,232,-9.284277218625402,228.50919289495323,0.0252028286703779,6894.406931767191,-6.290540671141667,-0.722516844227755,0.8500984552574965,-66.92077044156576
8.0,0.0,135.0,69,8.016568802496717,0.4135441488579872,0.4492753623188406,0.34782608695652173,0.3188405797101449,5.293191628333736,-0.2560611271567746,0.0615373555359753,1.1258299682974418,-1.1888068979486102,-0.12173913043478257,0.0753623188405797,-0.1101449275362319,-1.405631211789264,-0.0188508935225207,-0.0033162073357942065,269,-5.842619794305246,226.6569887340434,3.241953460133664,6166.804106982148,0.0,0.0,2.3662323508798426,0.0
8.0,0.0,180.0,345,5.764908865901834,2.7911579447552075,0.6927536231884058,0.19710144927536233,0.5391304347826087,8.104454051912265,-0.2183593401117332,0.0681697702075637,-1.1258299682974418,1.1888068979486102,0.12173913043478268,-0.0753623188405797,0.1101449275362319,1.4056312117892649,0.0188508935225207,0.0033162073357941996,6,8.477049733568665,221.68916997236295,0.5795058196960663,5490.2999383580245,14.31966952787391,-4.967818761680462,-0.2962152895577551,-676.5041686241238
9.0,0.0,135.0,85,12.35194618514852,-2.582559974249444,0.10588235294117647,0.7411764705882353,0.03529411764705882,4.203347092478535,-0.5192138781441765,0.0161409891541127,-0.19341402438626787,0.2671521165711779,-0.036099919419822726,0.0007252215954876018,-0.02344883158742949,-0.03775529117858234,0.013432096843367547,-0.015255931289768949,636,-12.497983795921211,215.1701483167581,-0.18307262114430925,4771.407989861758,-0.9929314213914324,-0.19646552413027507,0.0,0.0
9.0,0.0,180.0,73,12.738774233921058,-3.1168642073918,0.1780821917808219,0.7397260273972602,0.0821917808219178,4.2788576748357,-0.5460780718309115,0.0466528517336506,0.19341402438626965,-0.2671521165711779,0.03609991941982271,-0.0007252215954874908,0.02344883158742949,0.03775529117858234,-0.013432096843367436,0.015255931289768952,130,6.1538446633549,215.36661384088836,-0.7413190820530637,4733.423964910182,17.658897037884678,0.0,-0.5582464609087545,-37.98402495157643
9.0,1.0,135.0,139,16.39398532843358,-6.708974831369007,0.07913669064748201,0.8705035971223022,0.05755395683453238,7.342843242534478,-1.447343368514514,0.3834001945594071,0.8304938277917344,-0.7722827708118256,-0.051090995335599645,0.07810894141829394,-0.028915329275041507,-0.22617176052981858,-0.05087533904511399,0.007279886902368471,10,-21.969914267066425,197.827802949155,36.98530993308309,4138.5481334145115,0.0,0.0,0.0,0.0
