R_bin,Z_bin,P_bin,n_source,Rbirth,deltaR_birth,outward_gt1_frac,inward_gt1_frac,innerborn_lt6_frac,age,FeH,aFe,Rbirth_anom,deltaR_birth_anom,outward_gt1_frac_anom,inward_gt1_frac_anom,innerborn_lt6_frac_anom,age_anom,FeH_anom,aFe_anom,n_young,Vr_young,Vphi_young,Vz_young,acirc_young,Vr_young_anom,Vphi_young_anom,Vz_young_anom,acirc_young_anom
6.0,0.5,135.0,100,10.640981738071371,-4.386634318353085,0.21,0.69,0.26,8.668899140209293,-0.7563221946223266,0.3360806135758658,0.15706748587972896,-0.11968988384209833,-0.05206806282722512,0.038717277486910895,-0.04801047120418844,-0.8669786526293528,0.1428375371004944,-0.03242334346336495,6,-11.837393306449774,227.41622244176682,11.758282224943981,7506.942724872905,-4.220849100146565,7.3873262892036,5.404107184504468,118.0378477991153
7.0,0.0,135.0,49,8.105999383879624,-0.290062252992695,0.1836734693877551,0.20408163265306123,0.1836734693877551,4.351124366139784,-0.1398719487706595,0.0609496984876253,1.0022164564192124,-0.9276058543283503,-0.22482993197278908,-0.03129251700680272,-0.14149659863945577,-2.6991190300272505,0.05173279795954583,-0.02448171952994728,209,-9.26582289730018,227.91779143493596,-0.1088752128899003,6877.758609622228,-6.281313510479057,-1.0182175742363881,1.467209142553657,-75.2449315140475
8.0,0.0,135.0,69,8.016568802496717,0.4135441488579872,0.4492753623188406,0.34782608695652173,0.3188405797101449,5.293191628333736,-0.2560611271567746,0.0615373555359753,1.1258299682974418,-1.1888068979486102,-0.12173913043478257,0.0753623188405797,-0.1101449275362319,-1.405631211789264,-0.0188508935225207,-0.0033162073357942065,243,-5.933548156781418,226.5859236336408,3.2461738165087164,6148.8146286041465,0.0,0.0,0.918552202531365,0.0
8.0,0.0,180.0,345,5.764908865901834,2.7911579447552075,0.6927536231884058,0.19710144927536233,0.5391304347826087,8.104454051912265,-0.2183593401117332,0.0681697702075637,-1.1258299682974418,1.1888068979486102,0.12173913043478268,-0.0753623188405797,0.1101449275362319,1.4056312117892649,0.0188508935225207,0.0033162073357941996,6,8.477049733568665,221.68916997236295,0.5795058196960663,5490.2999383580245,14.410597890350083,-4.896753661277842,-1.748115794281285,-658.514690246122
9.0,0.0,135.0,85,12.35194618514852,-2.582559974249444,0.10588235294117647,0.7411764705882353,0.03529411764705882,4.203347092478535,-0.5192138781441765,0.0161409891541127,-0.19341402438626787,0.2671521165711779,-0.036099919419822726,0.0007252215954876018,-0.02344883158742949,-0.03775529117858234,0.013432096843367547,-0.015255931289768949,612,-12.31409064857925,215.30554454968726,-0.1767210185723866,4782.147500528839,-9.164729260432011,-0.5988087463036038,0.2826408911755342,18.236335200087524
9.0,0.0,180.0,73,12.738774233921058,-3.1168642073918,0.1780821917808219,0.7397260273972602,0.0821917808219178,4.2788576748357,-0.5460780718309115,0.0466528517336506,0.19341402438626965,-0.2671521165711779,0.03609991941982271,-0.0007252215954874908,0.02344883158742949,0.03775529117858234,-0.013432096843367436,0.015255931289768952,125,6.015367872284772,216.5031620422945,-0.742002800923455,4745.674830128664,9.164729260432011,0.5988087463036322,-0.28264089117553426,-18.236335200087524
10.0,0.0,135.0,70,11.912308027611198,-1.4628906703202427,0.21428571428571427,0.5714285714285714,0.08571428571428572,4.484225653556916,-0.5569792172702941,0.0896666607914488,-0.5389378411729933,0.5890791407095972,0.03138528138528138,-0.07287157287157287,-0.0025974025974025983,0.019939290857664105,0.026751216491052943,-0.018420281068766003,891,-6.654356211082842,213.8302312120878,0.1010542736741973,4350.338872448985,-8.801529705696687,2.920807948867804,-0.6754404490535194,144.24669876116786
10.0,0.0,180.0,99,12.990183709957185,-2.641048951739437,0.15151515151515152,0.7171717171717171,0.09090909090909091,4.444347071841587,-0.6104816502524,0.1265072229289808,0.5389378411729933,-0.5890791407095972,-0.03138528138528138,0.07287157287157287,0.0025974025974025983,-0.019939290857664105,-0.026751216491052943,0.018420281068766003,241,10.948703200310533,207.9886153143522,1.451935171781236,4061.8454749266502,8.801529705696687,-2.920807948867804,0.6754404490535194,-144.24669876116695
10.0,0.5,135.0,72,14.118272942516217,-3.640306003633641,0.125,0.7638888888888888,0.05555555555555555,5.318794052249938,-0.6853996629962109,0.21120108416920935,0.15779326176048158,-0.14850648461760985,-0.010833333333333334,0.015277777777777724,0.007777777777777772,0.042497206049958436,4.5942511671670516e-05,0.023244825329681695,13,4.986205146465865,211.00513073369072,2.9765568526371253,4252.552327979668,0.0,0.0,0.0,0.0
11.0,0.0,180.0,56,13.381575150640211,-2.098315365435412,0.26785714285714285,0.5714285714285714,0.17857142857142858,4.851388118437312,-0.6912650592405434,0.1567854758899421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,859,13.967805048518976,209.9273962527065,3.0488246329184743,3784.6042353671323,6.134109478801504,-3.79012245321357,0.8471747915301919,-164.71708019494645
11.0,0.5,135.0,38,12.685442489666128,-1.1443976288991895,0.2894736842105263,0.5,0.07894736842105263,6.120941236162471,-0.6453796858700691,0.20591698820307452,-0.22641169699909902,0.14038038730579072,0.04858299595141702,-0.019230769230769162,0.026653171390013497,0.25709544177612553,0.019929684945486636,0.008097055698782829,34,0.040567609918198855,216.6754303166893,1.5830858824037262,3989.1133306124107,-7.119378359967369,3.428891734109726,0.3403655128598453,142.21257084704212
11.0,0.5,180.0,78,13.138265883664324,-1.4251584035107712,0.19230769230769232,0.5384615384615384,0.02564102564102564,5.60675035261022,-0.6852390557610424,0.18972287680550887,0.22641169699909724,-0.14038038730579094,-0.04858299595141699,0.019230769230769273,-0.02665317139001349,-0.25709544177612553,-0.019929684945486636,-0.008097055698782829,15,14.279324329852937,209.81764684846985,0.9023548566840356,3704.6881889183264,7.119378359967369,-3.428891734109726,-0.3403655128598453,-142.21257084704212
12.0,0.5,135.0,35,11.733624532705385,0.9168020321588416,0.4857142857142857,0.3142857142857143,0.17142857142857143,6.4949310825469,-0.7125832797531786,0.2112261558716918,-0.21567335937267273,0.42785103798545887,0.014701803051317575,-0.04674063800277395,0.02260748959778086,-0.1503410321534897,0.01090217497782242,0.008162468465068157,110,8.309990308572285,216.35400989578147,4.926174783250385,3759.1716220629423,-2.4141614174438537,4.639073144863801,0.5492140275860056,173.7291439649007
12.0,0.5,180.0,103,12.164971251450728,0.0610999561879239,0.4563106796116505,0.4077669902912621,0.1262135922330097,6.795613146853879,-0.7343876297088235,0.1949012189415555,0.21567335937267096,-0.4278510379854588,-0.01470180305131763,0.04674063800277389,-0.02260748959778086,0.15034103215348882,-0.010902174977822532,-0.008162468465068157,75,13.138313143459994,207.07586360605387,3.827746728078374,3411.713334133141,2.4141614174438555,-4.639073144863801,-0.5492140275860056,-173.7291439649007
