radius_arcsec,radius_kpc,sigma_hi_msun_pc2,pixel_x,pixel_y,radius_err_kpc,sigma_hi_err_msun_pc2,galaxy,source,method,distance_mpc_frozen
1.366223908918406,0.6650128739990206,4.537717601547389,8.0,321.5,0.1662532184997551,0.04642166344294,IC4202,"Spekkens & Giovanelli 2006, panel d average points/trace",publication_figure_digitization_median_trace_rdp2px,100.4
3.586337760910816,1.745658794247429,4.537717601547389,21.0,321.5,0.1662532184997551,0.04642166344294,IC4202,"Spekkens & Giovanelli 2006, panel d average points/trace",publication_figure_digitization_median_trace_rdp2px,100.4
5.123339658444023,2.4937982774963268,3.957446808510638,30.0,346.5,0.1662532184997551,0.04642166344294,IC4202,"Spekkens & Giovanelli 2006, panel d average points/trace",publication_figure_digitization_median_trace_rdp2px,100.4
6.660341555977229,3.241937760745225,4.086395873629916,39.0,340.94444444444446,0.1662532184997551,0.04642166344294,IC4202,"Spekkens & Giovanelli 2006, panel d average points/trace",publication_figure_digitization_median_trace_rdp2px,100.4
7.343453510436432,3.574444197744735,3.843971631205673,43.0,351.3888888888889,0.1662532184997551,0.04642166344294,IC4202,"Spekkens & Giovanelli 2006, panel d average points/trace",publication_figure_digitization_median_trace_rdp2px,100.4
8.709677419354838,4.239457071743755,4.421663442940039,51.0,326.5,0.1662532184997551,0.04642166344294,IC4202,"Spekkens & Giovanelli 2006, panel d average points/trace",publication_figure_digitization_median_trace_rdp2px,100.4
9.563567362428842,4.655090117993143,4.318762088974855,56.0,330.94444444444446,0.1662532184997551,0.04642166344294,IC4202,"Spekkens & Giovanelli 2006, panel d average points/trace",publication_figure_digitization_median_trace_rdp2px,100.4
10.417457305502848,5.070723164242531,4.601547388781432,61.0,318.75,0.1662532184997551,0.04642166344294,IC4202,"Spekkens & Giovanelli 2006, panel d average points/trace",publication_figure_digitization_median_trace_rdp2px,100.4
11.10056925996205,5.403229601242041,4.434719535783365,65.0,325.94444444444446,0.1662532184997551,0.04642166344294,IC4202,"Spekkens & Giovanelli 2006, panel d average points/trace",publication_figure_digitization_median_trace_rdp2px,100.4
13.661290322580644,6.650128739990205,4.756286266924565,80.0,312.0833333333333,0.1662532184997551,0.04642166344294,IC4202,"Spekkens & Giovanelli 2006, panel d average points/trace",publication_figure_digitization_median_trace_rdp2px,100.4
