galaxy,stationary_role,source_name,source_year,source_equation,sigma01_msun_pc2,sigma01_err_msun_pc2,a1_kpc,a1_err_kpc,r01_kpc,r01_err_kpc,sigma02_msun_pc2,sigma02_err_msun_pc2,a2_kpc,a2_err_kpc,r02_kpc,r02_err_kpc,profile_quantity,helium_status,underlying_hi_source,source_status,notes
F568-3,calibration,"Jadhav & Banerjee MNRAS 488 547",2019,"Sigma_HI(R)=S01 exp[-(R-a1)^2/(2 r01^2)] + S02 exp[-(R-a2)^2/(2 r02^2)]",4.63,0.13,3.95,0.23,4.98,0.25,,,,,,,atomic_HI_surface_density,no_helium_added,"HI surface-density profile available from de Blok et al. 2001; same LSB system also cited by SPARC to dB96",analytic_profile_recovered,"Single-Gaussian special case: second component absent in Table 7."
F568-V1,calibration,"Jadhav & Banerjee MNRAS 488 547",2019,"Sigma_HI(R)=S01 exp[-(R-a1)^2/(2 r01^2)] + S02 exp[-(R-a2)^2/(2 r02^2)]",1.76,0.32,7.90,0.12,2.28,0.21,3.56,0.14,2.97,0.37,4.36,0.22,atomic_HI_surface_density,no_helium_added,"HI surface-density profile available from de Blok et al. 2001; same LSB system also cited by SPARC to dB96",analytic_profile_recovered,"Two-component off-centred Gaussian fit from Table 7."
F574-1,blind,"Jadhav & Banerjee MNRAS 488 547",2019,"Sigma_HI(R)=S01 exp[-(R-a1)^2/(2 r01^2)] + S02 exp[-(R-a2)^2/(2 r02^2)]",2.31,0.08,0.51,0.98,6.18,0.32,1.60,0.24,7.70,0.18,3.17,0.22,atomic_HI_surface_density,no_helium_added,"HI surface-density profile available from de Blok et al. 2001; same LSB system also cited by SPARC to dB96",analytic_profile_recovered,"Two-component off-centred Gaussian fit from Table 7."
F583-1,calibration,"Jadhav & Banerjee MNRAS 488 547",2019,"Sigma_HI(R)=S01 exp[-(R-a1)^2/(2 r01^2)] + S02 exp[-(R-a2)^2/(2 r02^2)]",0.35,0.12,4.66,0.24,0.96,0.37,4.37,0.11,3.94,0.08,4.14,0.11,atomic_HI_surface_density,no_helium_added,"HI surface-density profile available from de Blok et al. 2001; same LSB system also cited by SPARC to dB96",analytic_profile_recovered,"Two-component off-centred Gaussian fit from Table 7."
F583-4,calibration,"Jadhav & Banerjee MNRAS 488 547",2019,"Sigma_HI(R)=S01 exp[-(R-a1)^2/(2 r01^2)] + S02 exp[-(R-a2)^2/(2 r02^2)]",1.09,0.28,-0.27,0.33,1.49,0.37,1.41,0.10,3.23,0.44,2.84,0.22,atomic_HI_surface_density,no_helium_added,"HI surface-density profile available from de Blok et al. 2001; same LSB system also cited by SPARC to dB96",analytic_profile_recovered,"Two-component off-centred Gaussian fit from Table 7. Negative fitted a1 is retained exactly as published."
