galaxy,stationary_role,source,radius_arcsec,radius_kpc_source_distance,radius_kpc_frozen_distance,sigma_hi_raw_msun_pc2,source_distance_mpc,source_distance_implied_by_radii_mpc,frozen_distance_mpc,helium_included
NGC2903,calibration,Wang et al. 2025 FEASTS HIprof_wang25.ecsv,45,1.85347222222222,1.43989663289532,5.43687028971804,8.5,8.49569086224537,6.6,0
NGC2903,calibration,Wang et al. 2025 FEASTS HIprof_wang25.ecsv,108.080892949281,4.45166517409924,3.45834030751087,5.0171790014966,8.5,8.49569086224537,6.6,0
NGC2903,calibration,Wang et al. 2025 FEASTS HIprof_wang25.ecsv,144.242678847843,5.94110663340882,4.61543439095133,4.5650083480155,8.5,8.49569086224537,6.6,0
NGC2903,calibration,Wang et al. 2025 FEASTS HIprof_wang25.ecsv,180.404464746404,7.43054809271841,5.77252847439178,4.17097731867465,8.5,8.49569086224537,6.6,0
NGC2903,calibration,Wang et al. 2025 FEASTS HIprof_wang25.ecsv,216.566250644966,8.919989552028,6.92962255783224,3.71621151216112,8.5,8.49569086224537,6.6,0
NGC2903,calibration,Wang et al. 2025 FEASTS HIprof_wang25.ecsv,252.728036543528,10.4094310113376,8.0867166412727,3.40506616157033,8.5,8.49569086224537,6.6,0
NGC2903,calibration,Wang et al. 2025 FEASTS HIprof_wang25.ecsv,288.889822442089,11.8988724706472,9.24381072471316,3.02349875026771,8.5,8.49569086224537,6.6,0
NGC2903,calibration,Wang et al. 2025 FEASTS HIprof_wang25.ecsv,325.051608340651,13.3883139299568,10.4009048081536,2.62578880258691,8.5,8.49569086224537,6.6,0
NGC2903,calibration,Wang et al. 2025 FEASTS HIprof_wang25.ecsv,361.213394239213,14.8777553892663,11.5579988915941,2.34198548803626,8.5,8.49569086224537,6.6,0
NGC2903,calibration,Wang et al. 2025 FEASTS HIprof_wang25.ecsv,397.375180137775,16.3671968485759,12.7150929750345,1.97664713467721,8.5,8.49569086224537,6.6,0
NGC2903,calibration,Wang et al. 2025 FEASTS HIprof_wang25.ecsv,433.536966036336,17.8566383078855,13.872187058475,1.66201359726101,8.5,8.49569086224537,6.6,0
NGC2903,calibration,Wang et al. 2025 FEASTS HIprof_wang25.ecsv,469.698751934898,19.3460797671951,15.0292811419154,1.35500957771377,8.5,8.49569086224537,6.6,0
NGC2903,calibration,Wang et al. 2025 FEASTS HIprof_wang25.ecsv,505.86053783346,20.8355212265047,16.1863752253559,1.09462090274855,8.5,8.49569086224537,6.6,0
NGC2903,calibration,Wang et al. 2025 FEASTS HIprof_wang25.ecsv,542.022323732022,22.3249626858143,17.3434693087964,0.868434454363451,8.5,8.49569086224537,6.6,0
NGC2903,calibration,Wang et al. 2025 FEASTS HIprof_wang25.ecsv,578.184109630583,23.8144041451239,18.5005633922368,0.676540063928455,8.5,8.49569086224537,6.6,0
NGC2903,calibration,Wang et al. 2025 FEASTS HIprof_wang25.ecsv,614.345895529145,25.3038456044335,19.6576574756773,0.529570888079921,8.5,8.49569086224537,6.6,0
NGC2903,calibration,Wang et al. 2025 FEASTS HIprof_wang25.ecsv,650.507681427707,26.7932870637431,20.8147515591177,0.399092919805626,8.5,8.49569086224537,6.6,0
NGC2903,calibration,Wang et al. 2025 FEASTS HIprof_wang25.ecsv,686.669467326269,28.2827285230526,21.9718456425582,0.292588295138349,8.5,8.49569086224537,6.6,0
NGC2903,calibration,Wang et al. 2025 FEASTS HIprof_wang25.ecsv,722.83125322483,29.7721699823622,23.1289397259986,0.21287998109683,8.5,8.49569086224537,6.6,0
NGC2903,calibration,Wang et al. 2025 FEASTS HIprof_wang25.ecsv,758.993039123392,31.2616114416718,24.2860338094391,0.153775561066324,8.5,8.49569086224537,6.6,0
NGC2903,calibration,Wang et al. 2025 FEASTS HIprof_wang25.ecsv,795.154825021954,32.7510529009814,25.4431278928796,0.108586611512096,8.5,8.49569086224537,6.6,0
NGC2903,calibration,Wang et al. 2025 FEASTS HIprof_wang25.ecsv,831.316610920515,34.240494360291,26.60022197632,0.0765231480709984,8.5,8.49569086224537,6.6,0
NGC2903,calibration,Wang et al. 2025 FEASTS HIprof_wang25.ecsv,867.478396819077,35.7299358196006,27.7573160597605,0.0554271858779691,8.5,8.49569086224537,6.6,0
NGC2903,calibration,Wang et al. 2025 FEASTS HIprof_wang25.ecsv,903.640182717639,37.2193772789102,28.9144101432009,0.0399506722899428,8.5,8.49569086224537,6.6,0
NGC2903,calibration,Wang et al. 2025 FEASTS HIprof_wang25.ecsv,939.801968616201,38.7088187382197,30.0715042266414,0.0297864991506398,8.5,8.49569086224537,6.6,0
NGC2903,calibration,Wang et al. 2025 FEASTS HIprof_wang25.ecsv,975.963754514762,40.1982601975293,31.2285983100818,0.0221369998123564,8.5,8.49569086224537,6.6,0
NGC2903,calibration,Wang et al. 2025 FEASTS HIprof_wang25.ecsv,1012.12554041332,41.6877016568389,32.3856923935223,0.0167452459594444,8.5,8.49569086224537,6.6,0
NGC2903,calibration,Wang et al. 2025 FEASTS HIprof_wang25.ecsv,1048.28732631189,43.1771431161485,33.5427864769628,0.01257194183856,8.5,8.49569086224537,6.6,0
NGC2903,calibration,Wang et al. 2025 FEASTS HIprof_wang25.ecsv,1084.44911221045,44.6665845754581,34.6998805604032,0.0093775907971695,8.5,8.49569086224537,6.6,0
NGC2903,calibration,Wang et al. 2025 FEASTS HIprof_wang25.ecsv,1120.61089810901,46.1560260347677,35.8569746438437,0.00707779022346739,8.5,8.49569086224537,6.6,0
NGC2903,calibration,Wang et al. 2025 FEASTS HIprof_wang25.ecsv,1156.77268400757,47.6454674940773,37.0140687272841,0.00541944646931491,8.5,8.49569086224537,6.6,0
NGC2903,calibration,Wang et al. 2025 FEASTS HIprof_wang25.ecsv,1192.93446990613,49.1349089533869,38.1711628107246,0.00405301833964559,8.5,8.49569086224537,6.6,0
NGC2903,calibration,Wang et al. 2025 FEASTS HIprof_wang25.ecsv,1229.09625580469,50.6243504126965,39.328256894165,0.00287110667768925,8.5,8.49569086224537,6.6,0
NGC2903,calibration,Wang et al. 2025 FEASTS HIprof_wang25.ecsv,1265.25804170326,52.113791872006,40.4853509776055,0.00188330815990935,8.5,8.49569086224537,6.6,0
NGC2903,calibration,Wang et al. 2025 FEASTS HIprof_wang25.ecsv,1301.41982760182,53.6032333313156,41.642445061046,0.00115622510190924,8.5,8.49569086224537,6.6,0
