source_family,acquisition_class,redistribution_status,name,r_kpc,Sigma_HI_Msun_pc2,Sigma_HI_p16,Sigma_HI_p84,sigma_gas_km_s,sigma_gas_p16,sigma_gas_p84,n_pix_mom0,n_pix_mom2,beam_smeared_mask
LITTLE_THINGS_public_map_extraction,public_moment0_moment2_annular_extraction,derived_profile_publishable_pending_source_license_audit,DDO154,0.5877523412387735,10.369987165014882,8.81120687317602,12.367369328494453,9.9689677734375,8.727961484375,11.120539765625,340,340,False
LITTLE_THINGS_public_map_extraction,public_moment0_moment2_annular_extraction,derived_profile_publishable_pending_source_license_audit,DDO168,0.5483862094018607,33.82228774007002,30.04904825178004,37.92772268611057,11.187425537109375,9.811178671875,13.25943640625,127,127,False
LITTLE_THINGS_public_map_extraction,public_moment0_moment2_annular_extraction,derived_profile_publishable_pending_source_license_audit,NGC2366,0.4427723518550058,20.888912583404053,18.37606158523392,29.29706263867922,16.414107421875,15.3291115625,18.004498359375,185,185,False
LITTLE_THINGS_public_map_extraction,public_moment0_moment2_annular_extraction,derived_profile_publishable_pending_source_license_audit,NGC4214,0.4469986244280806,14.466983511857716,11.625686262402633,17.17768325438456,16.1851455078125,14.087593203125,18.232336640625,241,241,False
