galaxy,stationary_role,profile_quantity,profile_form,r0_arcsec,r0_err_arcsec,c_arcsec,c_err_arcsec,sigma0_msun_pc2,sigma0_err_msun_pc2,source_distance_mpc,frozen_distance_mpc,source_inclination_deg,source_inclination_err_deg,frozen_inclination_deg,helium_factor_already_applied,source_resolution_arcsec,source_citation,doi,source_figure,status,notes
CamB,calibration,raw_HI_surface_density,"Sigma_HI(r)=Sigma0*exp(-r^2/(2*r0^2))",40.7,1.6,0,,5.9,0.2,2.2,3.36,65,5,65,1.0,"40x38","Begum Chengalur & Hopp 2003 New Astronomy 8 267",10.1016/S1384-1076(02)00238-5,"Figure 4 / Equation 1",analytic_source_recovered,"Deprojected radial H I profile from elliptical annuli fitted to GMRT moment-0 map. Paper applies primordial helium x1.4 separately in mass modelling, so analytic Sigma_HI is raw H I. Native angular scale retained. At frozen 3.36 Mpc: r0=0.662992 kpc, sigma(r0)=0.026064 kpc."
KK98-251,calibration,raw_HI_surface_density,"Sigma_HI(r)=Sigma0*exp(-(r-c)^2/(2*r0^2))",34.2,0.7,19.2,0.8,7.8,0.1,5.6,6.8,62,5,59,1.0,"26x21 body text; 26x23 Fig.3 caption","Begum & Chengalur 2004/2005 A&A 424 509",10.1051/0004-6361:20041210,"Figure 3B / Equation 2",analytic_source_recovered,"Observed H I profile; source mass modelling applies helium x1.4 separately. Preserve native angular radius; do not resample until global normalization/interpolation freeze."
