galaxy,stationary_role,source,source_pdf,source_panel_index,vector_vertex_index,radius_source_kpc,radius_source_arcsec_derived,sigma_hi_msun_pc2,source_distance_mpc,source_rhi_kpc_anchor,source_mean_sigma_hi_3p2h_anchor,axis_kpc_per_pdf_x,axis_sigma_per_pdf_y,axis_tick_nice_score,helium_applied,frozen_distance_applied,profile_status
UGC04325,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,8,20,3.329944265,68.00504494,8.400103972,10.1,6.953191283,6.6,0.0545624173694,0.0610250815961,0.3777036544,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04325,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,8,21,3.495160091,71.37912834,8.052383176,10.1,6.953191283,6.6,0.0545624173694,0.0610250815961,0.3777036544,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04325,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,8,22,3.662284136,74.79218191,7.70466238,10.1,6.953191283,6.6,0.0545624173694,0.0610250815961,0.3777036544,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04325,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,8,23,3.829354898,78.20414732,7.356941584,10.1,6.953191283,6.6,0.0545624173694,0.0610250815961,0.3777036544,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04325,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,8,24,3.994950369,81.58598395,7.009157469,10.1,6.953191283,6.6,0.0545624173694,0.0610250815961,0.3777036544,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04325,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,8,25,4.162074414,84.99903752,6.582287321,10.1,6.953191283,6.6,0.0545624173694,0.0610250815961,0.3777036544,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04325,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,8,26,4.32876553,88.4032497,6.120327007,10.1,6.953191283,6.6,0.0545624173694,0.0610250815961,0.3777036544,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04325,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,8,27,4.494470898,91.78733068,5.658489606,10.1,6.953191283,6.6,0.0545624173694,0.0610250815961,0.3777036544,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04325,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,8,28,4.661488376,95.19820791,5.198179323,10.1,6.953191283,6.6,0.0545624173694,0.0610250815961,0.3777036544,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04325,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,8,29,4.827137131,98.58113271,4.736341923,10.1,6.953191283,6.6,0.0545624173694,0.0610250815961,0.3777036544,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04325,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,8,30,4.993881531,101.9864331,4.274377883,10.1,6.953191283,6.6,0.0545624173694,0.0610250815961,0.3777036544,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04325,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,8,31,5.160952292,105.3983985,3.812540483,10.1,6.953191283,6.6,0.0545624173694,0.0610250815961,0.3777036544,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04325,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,8,32,5.326547763,108.7802351,3.480686804,10.1,6.953191283,6.6,0.0545624173694,0.0610250815961,0.3777036544,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04325,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,8,33,5.493671808,112.1932887,3.170682072,10.1,6.953191283,6.6,0.0545624173694,0.0610250815961,0.3777036544,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04325,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,8,34,5.66074257,115.6052541,2.861038632,10.1,6.953191283,6.6,0.0545624173694,0.0610250815961,0.3777036544,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04325,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,8,35,5.826011679,118.9804256,2.551581427,10.1,6.953191283,6.6,0.0545624173694,0.0610250815961,0.3777036544,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04325,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,8,36,5.99308244,122.392391,2.241941712,10.1,6.953191283,6.6,0.0545624173694,0.0610250815961,0.3777036544,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04325,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,8,37,6.160153202,125.8043565,1.932480782,10.1,6.953191283,6.6,0.0545624173694,0.0610250815961,0.3777036544,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04325,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,8,38,6.325748673,129.1861931,1.633091374,10.1,6.953191283,6.6,0.0545624173694,0.0610250815961,0.3777036544,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
