annulus_index,r_in_kpc,r_center_kpc,r_out_kpc,valid_pixel_count,expected_pixel_count,valid_area_fraction,usable,sigma_hi_raw_msun_pc2,sigma_hi_raw_std_msun_pc2,sigma_hi_raw_sem_beam_msun_pc2,n_eff_beams
0,0.0,0.06018995102502007,0.12037990205004014,31,28.07170742995339,1.1043147296028752,1,3.9380966818029584,1.2909648774581701,1.134883125265939,1.2939770588019575
1,0.12037990205004014,0.1805698530750602,0.24075980410008027,82,84.21512228986016,0.9736968583595245,1,4.932757621010678,2.074376465018192,1.1212390347295933,3.422778026508403
2,0.24075980410008027,0.30094975512510036,0.3611397061501204,136,140.358537149767,0.9689471175870386,1,5.190919762974619,1.6804326591576875,0.7052924223707939,5.676802580550523
3,0.3611397061501204,0.4213296571751405,0.48151960820016054,200,196.5019520096737,1.0178015941040326,1,4.975574087608983,0.8414869260961991,0.2912392698664364,8.348239089044887
4,0.48151960820016054,0.5417095592251806,0.6018995102502007,252,252.6453668695805,0.9974455622219518,1,4.7331129470594115,0.862968132387076,0.266079886485862,10.518781252196556
5,0.6018995102502007,0.6620894612752207,0.7222794123002408,308,308.7887817294874,0.9974455622219514,1,5.123342932385889,1.1451806310723038,0.319386234605646,12.856288197129123
6,0.7222794123002408,0.7824693633252608,0.842659314350281,370,364.9321965893938,1.0138869725882484,1,5.450329933706338,1.2947054765657715,0.32944861156795113,15.444242314733039
7,0.842659314350281,0.9028492653753011,0.9630392164003211,406,421.07561144930094,0.9641973768145532,1,5.474612189372545,1.4426798294279335,0.35044873898225515,16.946925350761116
8,0.9630392164003211,1.023229167425341,1.0834191184503612,496,477.2190263092078,1.0393550396262352,1,5.5309898815022045,1.5358744348986808,0.33754558492052217,20.70363294083132
9,1.0834191184503612,1.1436090694753813,1.2037990205004014,534,533.3624411691142,1.0011953575686514,1,5.87649640637984,1.981542865211455,0.41971104833556155,22.289798367749846
10,1.2037990205004014,1.2639889715254213,1.3241789225504415,578,589.5058560290206,0.9804822023202189,1,6.653956385912725,2.7328898837920876,0.5563854604186876,24.12641096733972
11,1.3241789225504415,1.3843688735754616,1.4445588246004817,644,645.6492708889292,0.9974455622219499,1,6.764904271675354,2.9534247307463826,0.5696400711972774,26.88132986672453
12,1.4445588246004817,1.5047487756255018,1.5649387266505217,718,701.792685748834,1.0230941623933745,1,6.597753806573486,2.8743275741144516,0.5250390405710259,29.97017832967114
