galaxy,stationary_role,source_reference,source_product,source_distance_mpc,frozen_distance_mpc,radius_arcsec,radius_kpc_source,radius_kpc_frozen,sigma_hi_msun_pc2,helium_included,extraction_method,pdf_x,pdf_y
NGC0289,calibration,Lutz_et_al_2018_HIX_II_arXiv1802.04043,Figure_A3_panel_b_measured_radial_HI_column_density,23.06,20.8,333.96476933,37.33656985,33.67739171,3.48950357,0,source_native_PDF_vector_marker_centers_linear_native_tick_calibration,289.710785,87.635735
NGC0289,calibration,Lutz_et_al_2018_HIX_II_arXiv1802.04043,Figure_A3_panel_b_measured_radial_HI_column_density,23.06,20.8,348.80764837,38.99597300,35.17416472,3.33807716,0,source_native_PDF_vector_marker_centers_linear_native_tick_calibration,292.202820,90.116714
NGC0289,calibration,Lutz_et_al_2018_HIX_II_arXiv1802.04043,Figure_A3_panel_b_measured_radial_HI_column_density,23.06,20.8,363.65052741,40.65537615,36.67093773,3.11058714,0,source_native_PDF_vector_marker_centers_linear_native_tick_calibration,294.694855,93.843925
NGC0289,calibration,Lutz_et_al_2018_HIX_II_arXiv1802.04043,Figure_A3_panel_b_measured_radial_HI_column_density,23.06,20.8,378.49340645,42.31477930,38.16771073,2.85868259,0,source_native_PDF_vector_marker_centers_linear_native_tick_calibration,297.186890,97.971146
NGC0289,calibration,Lutz_et_al_2018_HIX_II_arXiv1802.04043,Figure_A3_panel_b_measured_radial_HI_column_density,23.06,20.8,393.33628549,43.97418245,39.66448374,2.62144213,0,source_native_PDF_vector_marker_centers_linear_native_tick_calibration,299.678925,101.858109
NGC0289,calibration,Lutz_et_al_2018_HIX_II_arXiv1802.04043,Figure_A3_panel_b_measured_radial_HI_column_density,23.06,20.8,408.17916453,45.63358560,41.16125674,2.42634990,0,source_native_PDF_vector_marker_centers_linear_native_tick_calibration,302.170959,105.054512
NGC0289,calibration,Lutz_et_al_2018_HIX_II_arXiv1802.04043,Figure_A3_panel_b_measured_radial_HI_column_density,23.06,20.8,423.02204357,47.29298875,42.65802975,2.29752334,0,source_native_PDF_vector_marker_centers_linear_native_tick_calibration,304.662994,107.165215
NGC0289,calibration,Lutz_et_al_2018_HIX_II_arXiv1802.04043,Figure_A3_panel_b_measured_radial_HI_column_density,23.06,20.8,437.86492261,48.95239190,44.15480276,2.22906022,0,source_native_PDF_vector_marker_centers_linear_native_tick_calibration,307.155029,108.286919
NGC0289,calibration,Lutz_et_al_2018_HIX_II_arXiv1802.04043,Figure_A3_panel_b_measured_radial_HI_column_density,23.06,20.8,452.70780165,50.61179505,45.65157576,2.18620419,0,source_native_PDF_vector_marker_centers_linear_native_tick_calibration,309.647064,108.989075
NGC0289,calibration,Lutz_et_al_2018_HIX_II_arXiv1802.04043,Figure_A3_panel_b_measured_radial_HI_column_density,23.06,20.8,467.55068069,52.27119820,47.14834877,2.11894014,0,source_native_PDF_vector_marker_centers_linear_native_tick_calibration,312.139099,110.091133
