annulus_index,r_in_kpc,r_center_kpc,r_out_kpc,valid_pixel_count,expected_pixel_count,valid_area_fraction,usable,sigma_hi_raw_msun_pc2,sigma_hi_raw_std_msun_pc2,sigma_hi_raw_sem_beam_msun_pc2,n_eff_beams
0,0.0,0.13899478328889064,0.2779895665777813,100,100.98363080090404,0.990259502524292,1,5.363239718725109,0.41247021532755435,0.3903181152034856,1.116728939700131
1,0.2779895665777813,0.416984349866672,0.5559791331555626,305,302.9508924027121,1.0067638275663635,1,5.308831181101538,0.8133462426683402,0.44070873617699285,3.4060232660853993
2,0.5559791331555626,0.6949739164444532,0.833968699733344,502,504.91815400452043,0.9942205405343887,1,5.1145168489584485,0.9154986115544461,0.38666240329438195,5.605979277294658
3,0.833968699733344,0.9729634830222346,1.1119582663111252,706,706.885415606328,0.9987474411173577,1,4.8567210086191075,0.8614405205478085,0.30679555307420286,7.884106314282925
4,1.1119582663111252,1.2509530496000159,1.3899478328889063,907,908.8526772081361,0.9979615208772589,1,4.91288276832407,1.1291159252644243,0.3547815312677869,10.128731483080188
5,1.3899478328889063,1.5289426161777973,1.667937399466688,1115,1110.8199388099454,1.0037630411950769,1,4.828988686272184,1.2844715557713637,0.36400988064373746,12.451527677656461
6,1.667937399466688,1.8069321827555784,1.9459269660444691,1319,1312.7872004117528,1.0047325260227238,1,4.614678766153318,1.2803378920602668,0.3336017464491573,14.72965471464473
7,1.9459269660444691,2.0849217493333594,2.2239165326222503,1510,1514.7544620135593,0.9968612325411214,1,4.067983695840335,1.3174516056456698,0.32082803549604816,16.862606989471978
8,2.2239165326222503,2.3629113159111412,2.5019060992000317,1717,1716.721723615369,1.0001620975495347,1,3.6718271980965076,1.2167020957509205,0.27785948286121137,19.174235894651247
9,2.5019060992000317,2.640900882488922,2.7798956657778127,1915,1918.688985217175,0.9980773407021162,1,3.4430850794683567,1.0822962448168447,0.23403880772710062,21.385359195257507
10,2.7798956657778127,2.918890449066704,3.0578852323555945,2125,2120.656246818987,1.0020483061257708,1,3.21307617679451,0.8426589688598614,0.17298103644442958,23.730489968627786
11,3.0578852323555945,3.196880015644485,3.335874798933376,2318,2322.623508420795,0.998009359500568,1,2.9531757562833953,0.6570898305253925,0.12914992092597957,25.88577682224904
12,3.335874798933376,3.4748695822222664,3.613864365511157,2524,2524.5907700225976,0.9997659937485265,1,2.6915134833377885,0.6146706307969324,0.11577742924030471,28.186238438031307
13,3.613864365511157,3.7528591488000473,3.8918539320889383,2732,2726.5580316244145,1.0019959114430963,1,2.499533188344841,0.6682909594405917,0.12099052274686839,30.50903463260758
14,3.8918539320889383,4.030848715377829,4.169843498666719,2922,2928.5252932262124,0.9977718159917193,1,2.320916926950565,0.7581671275250016,0.1327244575958191,32.630819618037826
15,4.169843498666719,4.308838281955611,4.447833065244501,3140,3130.4925548280253,1.0030370444923473,1,2.145867492205729,0.8490175069094562,0.14337648731701344,35.06528870658411
16,4.447833065244501,4.5868278485333915,4.7258226318222825,3335,3332.4598164298377,1.0007622548237907,1,1.9179242189906092,0.8958189089073719,0.1467906591691131,37.24291013899937
17,4.7258226318222825,4.8648174151111725,5.003812198400063,3524,3534.4270780316374,0.9970498533987454,1,1.6549660464427454,0.8381954680730358,0.13361446376417385,39.353527835032615
18,5.003812198400063,5.142806981688954,5.281801764977844,3739,3736.3943396334507,1.0006973729563045,1,1.4107117153264572,0.6616197567620314,0.10238983597366086,41.7544950553879
19,5.281801764977844,5.420796548266735,5.559791331555625,3926,3938.3616012352504,0.9968612325411224,1,1.1349480350379977,0.48388094405942883,0.07307847673056184,43.84277817262714
20,5.559791331555625,5.698786114844516,5.837780898133408,4152,4140.32886283708,1.0028188913367917,1,0.9539284879648656,0.3939312038449417,0.05785192644853044,46.36658557634944
21,5.837780898133408,5.976775681422298,6.115770464711189,4340,4342.296124438867,0.999471218826845,1,0.8393145800810266,0.3303614679600361,0.04745376082653983,48.46603598298569
22,6.115770464711189,6.254765248000079,6.39376003128897,4547,4544.26338604068,1.0006022128839904,1,0.7182443201485856,0.2803096038235181,0.03933703435216975,50.777664888164956
23,6.39376003128897,6.53275481457786,6.671749597866752,4749,4746.230647642501,1.0005834845718833,1,0.6297435563059627,0.27893474651138384,0.03830254635568755,53.03345734635922
24,6.671749597866752,6.810744381155642,6.949739164444533,4947,4948.197909244297,0.9997579099974843,1,0.5729969982650267,0.26299984399038556,0.03538430340298368,55.24458064696548
25,6.949739164444533,7.088733947733423,7.227728731022314,5150,5150.165170846093,0.9999679290196306,1,0.5197671107647541,0.2598075823220682,0.034258971566290354,57.51154039455675
26,7.227728731022314,7.366723514311204,7.505718297600095,5347,5352.132432447914,0.9990410490561112,1,0.46032463744241636,0.22400411451747063,0.028988585073194243,59.711496405766
27,7.505718297600095,7.6447130808889865,7.7837078641778765,5564,5554.0996940497425,1.0017825221900254,1,0.39682047095686707,0.20692156617576568,0.02625054417544676,62.134798204915285
28,7.7837078641778765,7.9227026474667674,8.061697430755657,5745,5756.066955651515,0.998077340702118,1,0.3348404812262198,0.1932675681705797,0.02412904204182932,64.15607758577254
29,8.061697430755657,8.200692214044548,8.339686997333438,5950,5958.034217253336,0.9986515322067017,1,0.2720177886344616,0.1665289237570895,0.02042947974098939,66.4453719121578
30,8.339686997333438,8.47868178062233,8.617676563911221,6176,6160.001478855156,1.002597161900003,1,0.23500653001554775,0.14609834338758348,0.017592103132220677,68.9691793158801
