galaxy,stationary_role,zenodo_record,doi,source_family,product,filename,download_url,checksum,size_bytes,profile_method,notes
NGC0891,calibration,3715549,10.5281/zenodo.3715549,HALOGAS_DR1_v2,high_resolution_HI_column_density_map,NGC0891-HR_coldens.fits,https://zenodo.org/api/records/3715549/files/NGC0891-HR_coldens.fits/content,md5:5d39d286bda3798299d32c5376b83a8d,4253760,direct_public_column_density_map_annular_extraction,Use frozen common annular extractor; preserve beam/WCS and no-extrapolation policy.
NGC1003,blind,3715549,10.5281/zenodo.3715549,HALOGAS_DR1_v2,high_resolution_HI_column_density_map,NGC1003-HR_coldens.fits,https://zenodo.org/api/records/3715549/files/NGC1003-HR_coldens.fits/content,md5:78990179a58e1a883bc2e65144521484,4224960,direct_public_column_density_map_annular_extraction,Use frozen common annular extractor; preserve beam/WCS and no-extrapolation policy.
NGC2403,blind,3715549,10.5281/zenodo.3715549,HALOGAS_DR1_v2,high_resolution_HI_column_density_map,NGC2403-HR_coldens.fits,https://zenodo.org/api/records/3715549/files/NGC2403-HR_coldens.fits/content,md5:617fc811417a99dda97fdde641006af4,2669760,direct_public_column_density_map_annular_extraction,Use frozen common annular extractor; preserve beam/WCS and no-extrapolation policy.
NGC3198,calibration,3715549,10.5281/zenodo.3715549,HALOGAS_DR1_v2,high_resolution_HI_column_density_map,NGC3198-HR_coldens.fits,https://zenodo.org/api/records/3715549/files/NGC3198-HR_coldens.fits/content,md5:3a985f5fdb45d4da49c390dfa890d5af,4236480,direct_public_column_density_map_annular_extraction,Use frozen common annular extractor; preserve beam/WCS and no-extrapolation policy.
NGC4559,calibration,3715549,10.5281/zenodo.3715549,HALOGAS_DR1_v2,high_resolution_HI_column_density_map,NGC4559-HR_coldens.fits,https://zenodo.org/api/records/3715549/files/NGC4559-HR_coldens.fits/content,md5:e2c57a3f8a4cca5f76ffeffde0bedbb9,4245120,direct_public_column_density_map_annular_extraction,Use frozen common annular extractor; preserve beam/WCS and no-extrapolation policy.
NGC5055,blind,3715549,10.5281/zenodo.3715549,HALOGAS_DR1_v2,high_resolution_HI_column_density_map,NGC5055-HR_coldens.fits,https://zenodo.org/api/records/3715549/files/NGC5055-HR_coldens.fits/content,md5:996e25efcb008071017f091a875334d3,4222080,direct_public_column_density_map_annular_extraction,Use frozen common annular extractor; preserve beam/WCS and no-extrapolation policy.
NGC5585,blind,3715549,10.5281/zenodo.3715549,HALOGAS_DR1_v2,high_resolution_HI_column_density_map,NGC5585-HR_coldens.fits,https://zenodo.org/api/records/3715549/files/NGC5585-HR_coldens.fits/content,md5:c66d17753447b528728e5e1eb37e6e6e,4222080,direct_public_column_density_map_annular_extraction,Use frozen common annular extractor; preserve beam/WCS and no-extrapolation policy.
UGC04278,calibration,3715549,10.5281/zenodo.3715549,HALOGAS_DR1_v2,high_resolution_HI_column_density_map,UGC4278-HR_coldens.fits,https://zenodo.org/api/records/3715549/files/UGC4278-HR_coldens.fits/content,md5:23c2dd47caa19278d177358aaaf6a466,4250880,direct_public_column_density_map_annular_extraction,Use frozen common annular extractor; preserve beam/WCS and no-extrapolation policy.
