galaxy,stationary_role,sample_index,source_artifact,source_radius_value,source_radius_unit,radius_kpc_frozen,sigma_source_msun_pc2,sigma_source_err_minus_msun_pc2,sigma_source_err_plus_msun_pc2,surface_density_multiplier_to_common_1p33,sigma_neutral_1p33_msun_pc2,sigma_neutral_1p33_err_minus_msun_pc2,sigma_neutral_1p33_err_plus_msun_pc2,radius_mapping_method,helium_mapping_method,inclination_amplitude_rescale,source_note
DDO168,calibration,14,data/stationary/source_reconstruction/iorio2017_ddo168_hi_profile_v1.csv,225,arcsec,4.63603082561,0.86,1.07,1.07,1.33,1.1438,1.4231,1.4231,angular_radius_times_frozen_distance,raw_HI_to_common_1p33,0,
ESO079-G014,calibration,0,data/stationary/source_reconstruction/ge04_vector_hi_profiles_v1.csv,0,arcsec,0,4.958375635,,,1.33,6.59463959455,,,angular_radius_times_frozen_distance,raw_HI_to_common_1p33,0,
ESO079-G014,calibration,1,data/stationary/source_reconstruction/ge04_vector_hi_profiles_v1.csv,60.05977496,arcsec,8.35680876789,3.962436548,,,1.33,5.27004060884,,,angular_radius_times_frozen_distance,raw_HI_to_common_1p33,0,
ESO079-G014,calibration,2,data/stationary/source_reconstruction/ge04_vector_hi_profiles_v1.csv,72.01828411,arcsec,10.0207339854,3.919796954,,,1.33,5.21332994882,,,angular_radius_times_frozen_distance,raw_HI_to_common_1p33,0,
ESO079-G014,calibration,3,data/stationary/source_reconstruction/ge04_vector_hi_profiles_v1.csv,84.04360056,arcsec,11.6939548727,3.624365482,,,1.33,4.82040609106,,,angular_radius_times_frozen_distance,raw_HI_to_common_1p33,0,
ESO079-G014,calibration,4,data/stationary/source_reconstruction/ge04_vector_hi_profiles_v1.csv,96.0021097,arcsec,13.3578800888,2.951269036,,,1.33,3.92518781788,,,angular_radius_times_frozen_distance,raw_HI_to_common_1p33,0,
ESO079-G014,calibration,5,data/stationary/source_reconstruction/ge04_vector_hi_profiles_v1.csv,108.0274262,arcsec,15.031100983,2.150253807,,,1.33,2.85983756331,,,angular_radius_times_frozen_distance,raw_HI_to_common_1p33,0,
ESO079-G014,calibration,6,data/stationary/source_reconstruction/ge04_vector_hi_profiles_v1.csv,120.0527426,arcsec,16.7043218633,1.391878173,,,1.33,1.85119797009,,,angular_radius_times_frozen_distance,raw_HI_to_common_1p33,0,
ESO079-G014,calibration,7,data/stationary/source_reconstruction/ge04_vector_hi_profiles_v1.csv,132.0780591,arcsec,18.3775427575,0.7583756345,,,1.33,1.00863959389,,,angular_radius_times_frozen_distance,raw_HI_to_common_1p33,0,
ESO079-G014,calibration,8,data/stationary/source_reconstruction/ge04_vector_hi_profiles_v1.csv,144.0365682,arcsec,20.0414679681,0.3807106599,,,1.33,0.506345177667,,,angular_radius_times_frozen_distance,raw_HI_to_common_1p33,0,
ESO079-G014,calibration,9,data/stationary/source_reconstruction/ge04_vector_hi_profiles_v1.csv,156.0618847,arcsec,21.7146888623,0.1827411168,,,1.33,0.243045685344,,,angular_radius_times_frozen_distance,raw_HI_to_common_1p33,0,
ESO079-G014,calibration,10,data/stationary/source_reconstruction/ge04_vector_hi_profiles_v1.csv,168.0203938,arcsec,23.3786140728,0.1005076142,,,1.33,0.133675126886,,,angular_radius_times_frozen_distance,raw_HI_to_common_1p33,0,
