R_bin_kpc,absZ_bin_kpc,phi_bin_deg,n,age_median_gyr,old_fraction_gt8,FeH_median,aFe_median,ecc_median,zmax_median_kpc,radial_excursion_median_kpc,Vr_median_kms,Vphi_median_kms,Vz_median_kms,Vr_sigma_kms,Vphi_sigma_kms,Vz_sigma_kms,age_median_gyr_anom,old_fraction_gt8_anom,FeH_median_anom,aFe_median_anom,ecc_median_anom,zmax_median_kpc_anom,radial_excursion_median_kpc_anom,Vr_median_kms_anom,Vphi_median_kms_anom,Vz_median_kms_anom,age_median_gyr_anom_z,old_fraction_gt8_anom_z,FeH_median_anom_z,aFe_median_anom_z,Vr_median_kms_anom_z,Vphi_median_kms_anom_z,Vz_median_kms_anom_z,history_anomaly_strength,kinematic_anomaly_strength,candidate_score
6.5,1.5,225.0,24,6.284088367896164,0.2916666666666667,-1.718852271941408,0.36668089355872563,0.4509108352375718,2.736004913385475,4.297362078026238,-48.0782792116366,96.47132914962373,-108.98716447362932,66.4358923262135,48.864259488795305,48.963679336430374,-3.2356776122629114,-0.3901515151515151,-0.3165205424197355,-0.04668088239563922,0.0,0.8519542615648155,-0.33136022892550976,0.0,204.50136889650403,-99.57363766133061,-3.444594221879169,-3.281440753892437,-1.5362378783318114,-1.996355467884684,0.0,5.643726884590075,-7.881432534888622,5.383172368379451,9.693741896184655,52.183083521743455
8.0,1.75,165.0,29,11.13996649908853,0.7241379310344828,-1.4948882270652277,0.41168989411841905,0.6686262328872999,2.27151158477186,7.08805877900434,38.96260575788577,-7.557020604942062,14.92193746682116,153.10106008433377,109.5415978497963,81.93178900205623,3.7187348803147273,0.3010610079575597,-0.8629699095374801,0.07379614625360642,0.3310269005255032,0.3898951431811821,1.6380859573086592,17.135429163750906,128.7168910921091,20.37992370365993,3.958840841524421,2.5321287309014187,-4.188439248704487,3.155967336555049,0.8746683649927133,3.5522646262824478,1.613107620742785,7.041821489349811,3.998217717928209,28.154735445206022
6.5,1.0,195.0,33,6.870280677698833,0.30303030303030304,-1.7073491420115743,0.38553166482378903,0.7242610067969453,1.1337034462878308,6.071643542891916,-102.5614282538996,57.66994645781232,-47.11204717521486,73.0752944341744,56.553379415870474,9.689010892868698,-2.0409894840105647,-0.27705627705627706,-0.20522150741432332,-0.01136490897020842,0.18357977849666607,-0.17983088886840437,0.9235088784241192,-69.74719485187643,99.64766189636927,-19.00292319974329,-2.1727691772797333,-2.330232546453437,-0.9960461040792741,-0.4860319042899401,-3.560206417997,2.7500265228820933,-1.504115553896348,3.3733135744734617,4.743424840215656,16.001059402994084
6.5,1.0,180.0,21,10.952259645719963,0.8571428571428571,-1.2969061271829279,0.4082614827642059,0.35710144980361314,1.4933652240246396,4.224625786043677,36.93296144985325,-141.62537733492624,-9.106200775728283,121.1951462107878,114.14286057017742,80.07788059907914,2.0409894840105647,0.277056277056277,0.2052215074143231,0.01136490897020842,-0.18357977849666607,0.17983088886840437,-0.9235088784241201,69.74719485187643,-99.64766189636929,19.00292319974329,2.1727691772797333,2.3302325464534364,0.996046104079273,0.4860319042899401,3.560206417997,-2.7500265228820937,1.504115553896348,3.3733135744734613,4.743424840215656,16.00105940299408
10.0,1.75,150.0,36,7.33253293935911,0.4166666666666667,-0.5000748898612251,0.2876067288214601,0.23275830307686612,1.9153939291697355,4.463874952988458,-19.54718594918734,-181.528445719413,-13.450699555244675,77.57338576679444,92.09202902506995,28.304884112423867,-1.3222337474891006,-0.1485507246376811,0.7308749041374896,-0.02089386377327923,-0.45467695937785096,0.0,-3.90438570760418,-20.934766849845616,-128.99925928588493,0.0,-1.4076058471688435,-1.2494130688100369,3.547313875663746,-0.8935473591844585,-1.068603424931663,-3.560057283002376,0.0,4.113909315125857,3.7169774196292797,15.291308030725364
4.5,1.5,165.0,20,8.379520095292165,0.65,-1.7508343703906775,0.3164412895396529,0.5808497173626659,2.6540090226870827,4.987884153125975,-148.88001946161302,-104.30446825352259,-57.0355469282122,113.72389282658787,71.02411417766304,43.72479447706346,0.030067668762733035,0.015476190476190532,-0.3188889899616971,-0.026290316570368732,0.033724387112602505,0.5427893891224622,0.8716015482491226,-130.77165342547488,0.9689919846583877,-54.21560575680205,0.03200903504507465,0.1301653336495479,-1.5477331790759201,-1.1243321579237733,-6.675165658005378,0.02674175798567148,-4.291262719191538,1.9176987217398351,7.935583621168496,15.218058566574395
6.5,1.25,210.0,42,8.169543193530615,0.5238095238095238,-1.8298100893421685,0.39969488177103896,0.5675980110912464,1.9132034308253358,5.046127222337858,-73.25963916213698,82.1881659015621,-83.02191308644692,29.529580648417255,63.4961097619571,24.865931558546173,-1.351861985727382,-0.12380952380952381,-0.3270384640842374,-0.0006967612829369418,0.027063755497763964,0.16622768645145825,-0.036713526757684356,-39.62979134272453,96.03436883066277,-47.83371333577493,-1.4391470791671293,-1.0413226691963795,-1.5872867914254443,-0.02979770573341716,-2.0228804582304147,2.6503086612028834,-3.786124454259236,2.382407286413935,5.044890457787693,12.018983785793532
6.5,1.25,180.0,35,10.873267164985377,0.7714285714285715,-1.1757331611736936,0.4010884043369129,0.5134705000957186,1.5807480579224196,5.119554275853226,5.999943523312081,-109.88057175976343,12.64551358510294,114.53185882910438,126.29524369205417,75.72805450556594,1.3518619857273801,0.12380952380952381,0.3270384640842374,0.0006967612829369974,-0.027063755497763853,-0.16622768645145802,0.036713526757684356,39.62979134272453,-96.03436883066277,47.833713335774924,1.4391470791671273,1.0413226691963795,1.5872867914254443,0.029797705733419538,2.0228804582304147,-2.6503086612028834,3.7861244542592356,2.3824072864139336,5.044890457787692,12.018983785793523
5.5,0.75,180.0,46,10.478699980234138,0.8043478260869565,-0.778654437640445,0.40825550946827427,0.3653782975499372,1.4310015071141826,3.6303798775571416,46.38555777846588,-184.88964431509623,4.700288160589585,104.61738929969023,99.6021492142858,80.56780205147537,1.7689271854122417,0.2626811594202899,0.0,0.040505114000030484,0.04730374536138943,0.30053354074050875,0.5610221862112317,67.98901480599946,0.0,0.11584522282628207,1.8831407488506275,2.2093279875299445,0.0,1.732242444046157,3.470461104273361,0.0,0.009169357770174694,3.3805344431642492,3.470473217501641,11.732054245843349
9.0,1.25,180.0,20,10.564490719856629,0.85,-1.4488319296399732,0.4035813884881988,0.46275711525357094,1.5195428316206077,7.639124371826323,15.284379305517383,-126.27207315375124,11.260547735622637,96.35419952955624,93.82518520641482,83.13020502497734,3.861158637342184,0.5891304347826087,-0.033029847561308445,0.0036159610875691195,-0.13857066896954945,-0.08681232210399892,-0.03188929886023395,0.0,-64.0894728706388,3.958085642023934,4.110460412230663,4.95498938996371,-0.16031093132628166,0.15464025781786017,0.0,-1.768709339262588,0.313289598407809,6.441848947251797,1.7962413811248275,11.571115650009084
