R_bin_kpc,absZ_bin_kpc,phi_bin_deg,n,age_median_gyr,old_fraction_gt8,FeH_median,aFe_median,ecc_median,zmax_median_kpc,radial_excursion_median_kpc,Vr_median_kms,Vphi_median_kms,Vz_median_kms,Vr_sigma_kms,Vphi_sigma_kms,Vz_sigma_kms,age_median_gyr_anom,old_fraction_gt8_anom,FeH_median_anom,aFe_median_anom,ecc_median_anom,zmax_median_kpc_anom,radial_excursion_median_kpc_anom,Vr_median_kms_anom,Vphi_median_kms_anom,Vz_median_kms_anom,age_median_gyr_anom_z,old_fraction_gt8_anom_z,FeH_median_anom_z,aFe_median_anom_z,Vr_median_kms_anom_z,Vphi_median_kms_anom_z,Vz_median_kms_anom_z,history_anomaly_strength,kinematic_anomaly_strength,candidate_score
3.0,0.75,135.0,20,7.080654797197544,0.1,-1.6557289342562944,0.39413568872673044,0.43216766070261836,1.2893808760700254,2.574276532494307,-27.48869150006243,-80.75935274810415,-3.6963576229895283,146.52772662977057,133.91766434209939,141.45904462177194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,1.0,195.0,27,7.059931860462543,0.25925925925925924,-1.4057100338598694,0.37506267559228,0.5837332273423583,1.4277948531006013,2.5896586037740663,21.766581554849957,-43.973123455231246,-48.53648919119727,145.5682802904193,129.4167126546792,85.17901463230156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,1.25,195.0,64,7.126448870502914,0.3125,-1.4803912000029336,0.3404532332648709,0.5309745512679762,1.7919257443710848,2.771014395672427,-10.275306068856029,-83.53612262208875,7.819717072344885,163.03490722288046,107.80006335907038,121.8798175065429,-0.43232429834911645,-0.0879360465116279,-0.15690332592816447,-0.023427584800966017,0.036065181423893866,0.11471264389381153,0.1314115156754374,3.9635013500067853,14.195900274339749,5.079849897688318,-0.46023799603133353,-0.7396022200436047,-0.7615329819808209,-1.0019045188638016,0.20231470203212484,0.39177138256613636,0.4020792570837201,1.5305474851988987,0.5967275624882143,0.9133198701152052
3.0,1.25,210.0,43,7.991097467201147,0.4883720930232558,-1.1665845481466046,0.38730840286680296,0.4588441884201885,1.5625004565834615,2.508191364321552,-18.2023087688696,-111.92792317076825,-2.33998272303175,112.71990252450652,107.33181211915897,86.61583332672618,0.43232429834911645,0.0879360465116279,0.15690332592816447,0.023427584800966017,-0.036065181423893866,-0.11471264389381175,-0.1314115156754374,-3.9635013500067853,-14.195900274339749,-5.079849897688318,0.46023799603133353,0.7396022200436047,0.7615329819808209,1.0019045188638016,-0.20231470203212484,-0.39177138256613636,-0.4020792570837201,1.5305474851988987,0.5967275624882143,0.9133198701152052
3.0,1.5,195.0,39,7.460761190933947,0.4358974358974359,-1.4947471326326949,0.3834271388962168,0.5698610482034586,2.0539542150485453,2.759216048495616,-23.494432315287863,-63.475052896536226,8.317293864371567,156.8010415233972,115.20683592273515,107.8384596771575,-0.4098318873222331,-0.017227564102564097,0.0,0.017679729870199223,0.04939030288886859,0.0,0.09330116393813093,0.0,0.0,0.0,-0.43629332714166963,-0.14489558220604204,0.0,0.7560916500668706,0.0,0.0,0.0,0.8848848401639724,0.0,0.0
3.0,1.5,210.0,64,7.87059307825618,0.453125,-1.5114888916260625,0.3657474090260176,0.52047074531459,2.2155198192377576,2.665914884557485,-38.50719168509892,-38.034859153463046,7.580091606404178,134.77730869793868,112.12095327361668,109.2287849846779,0.0,0.0,-0.016741758993367606,0.0,0.0,0.1615656041892124,0.0,-15.012759369811054,25.44019374307318,-0.7372022579673896,0.0,0.0,-0.08125641425638457,0.0,-0.7663178766365536,0.7020857911695709,-0.058350884804461975,0.08125641425638457,1.0409478238472964,0.08458368759381794
3.0,1.5,225.0,30,8.015331521835238,0.5333333333333333,-1.3402593631810684,0.3471177875155068,0.45822687834228293,1.7603287578993525,2.503245051858927,-15.221021196620555,-82.64703053215597,26.662180847265123,101.46158996946917,108.86458467138796,91.37197981480035,0.14473844357905818,0.08020833333333333,0.15448776945162646,-0.018629621510510785,-0.062243866972307105,-0.29362545714919275,-0.16266983269855784,8.273411118667308,-19.17197763561974,18.344886982893556,0.1540837086323721,0.6746068734337122,0.7498090372152186,-0.7967147332802909,0.42231162738460515,-0.5290986862179214,1.4520308036509666,1.2945285556778623,1.6020880079237332,2.073948674966334
3.0,1.75,210.0,26,8.057230505911374,0.5,-1.6530508094054701,0.33895558685217764,0.42334282379027344,2.2105206670925313,2.4963541368287574,14.357645603662885,-90.51564229341801,8.741007102317775,119.82977116799955,127.75626202850862,85.08400873135199,-0.19096356094245692,-0.15000000000000002,0.0,-0.0032423682900499795,-0.12032376204864015,-0.0679294597217055,-0.6787154129486286,60.08193398684848,-25.688155514178064,0.5457086781060845,-0.20329342333701247,-1.2616024646033062,0.0,-0.1386631814256765,3.066848601437271,-0.7089289165798631,0.04319382349799032,1.2853779493006359,3.1480162419036564,4.046390661383216
3.0,1.75,225.0,24,8.355523106946983,0.6666666666666666,-1.728761266188739,0.4000390933454151,0.5661307461777162,2.742696735875035,3.175069549777386,-52.77340332662574,-64.82748677923995,-7.2029897490543835,139.33085417691083,126.84371436283823,127.89677341027114,0.10732904009315192,0.016666666666666607,-0.07571045678326893,0.05784113820318748,0.022464160338802608,0.4642466090607984,0.0,-7.049114943440145,0.0,-15.398288173266074,0.11425890822483734,0.14017805162258906,-0.3674619998029212,2.4736351712878926,-0.35981811621430376,0.0,-1.2188022074993476,2.5073101655353853,1.2708060031969055,3.1863048102389944
3.0,1.75,240.0,20,8.24819406685383,0.65,-1.2905899820734241,0.3421979551422276,0.5436665858389136,2.2784501268142368,3.30046090105009,-45.724288383185595,-18.645877593792402,8.19529842421169,137.69889936859687,140.66652154099407,89.5653267069386,0.0,0.0,0.362460827332046,0.0,0.0,0.0,0.12539135127270384,0.0,46.18160918544754,0.0,0.0,0.0,1.7592098386479211,0.0,0.0,1.274497039995109,0.0,1.7592098386479211,1.274497039995109,2.2421077320870486
