name,arm,ra_deg,dec_deg,plx_mas,e_plx_mas,x_kpc,y_kpc,z_kpc,R_kpc,U_kms,V_kms,W_kms,e_U_kms,e_V_kms,e_W_kms
G305.20+00.01,CtN,197.82038,-62.76528,0.25,0.05,-5.844273190566285,-3.2685826265383007,0.005272373347788124,6.69620500824757,-4.105369024829775,-9.343557961646923,7.912497923608589,6.85780776430252,6.533326638700796,6.933853659241487
G339.88-01.25,CtN,253.01949,-46.14289,0.48,0.08,-6.194256091318902,-0.7163334272205927,-0.041587381832233046,6.235538637823915,-6.15416194583964,2.2470878443729703,8.744820278259223,6.307010150368509,6.2329375652831,4.927274092309763
G348.70-01.04,CtN,260.01681666666667,-38.975255555555556,0.296,0.026,-4.837660382562655,-0.6616596386779297,-0.05826161116819923,4.882699197623346,14.426814079348285,-24.907193436756785,-8.42374351529996,6.150120826739868,8.04600455397223,7.075315509807693
G351.44+00.65,CrN,260.2275041666667,-35.75239444444444,0.752,0.069,-6.835084255314982,-0.19780672366485585,0.01992403506535084,6.837945910665116,0.5501949412595634,1.9372638078915259,-1.9743850936646614,3.097491524849216,5.02193882606249,4.185389849551082
G359.61-00.24,CtN,266.41279041666667,-29.391740277777778,0.375,0.021,-5.483424031048738,-0.017934879798716996,-0.007612986727112252,5.483453361176347,22.3394403161924,2.046547767620069,-13.12318161529041,4.873145858073318,6.361737856965322,5.617727734342675
G000.31-00.20,ScN,266.787955,-28.77118833333333,0.342,0.042,-5.226091314283323,0.01608616668050522,-0.006718453254543515,5.226116071231682,17.885267775451133,-6.3055794459666,-7.5662116784558,3.0954518991555227,8.618879607447068,6.13927539129563
G005.88-00.39,ScN,270.1261670833333,-24.06793777777778,0.334,0.02,-5.171845279913756,0.30693096172806145,-0.017008099963093885,5.1809449152286415,-2.2872237927705212,-13.264238551688209,-10.522016921146871,5.078040837512826,4.848110568492639,5.163738882098866
G006.79-00.25,Nor,270.49063541666663,-23.2095125,0.288,0.021,-4.702213352980585,0.41083618913770636,-0.012411443849557783,4.720126777031958,3.46337006285585,-2.276356066984391,1.2626840228205676,4.973925395563203,5.319751377719868,5.4379193540460316
G008.34-01.00,SgN,272.0168791666667,-22.22404611111111,0.64,0.04,-6.604293245677068,0.22671159174472233,-0.022863196905125397,6.60818336766824,-1.7802887559666625,-8.810482992461942,-5.105404379689511,4.989488830037514,6.000774972354696,6.150337119376465
G010.32-00.15,ScN,272.2560620833333,-20.085514999999997,0.343,0.035,-5.281751189287898,0.5224154935057552,-0.004560330997174349,5.307524241433004,-6.207920832430819,-23.057235993917175,3.852813708520971,5.9773656291706985,6.775733932414067,5.515965828039086
G011.10-00.11,ScN,272.61769583333336,-19.37506,0.246,0.014,-4.16114099291274,0.7832354717448213,-0.005284809191752731,4.234212107003871,-6.732168086356655,-8.793886068452935,-7.261085258150833,6.4450423856489385,7.747211511478765,7.335948347099964
