h_kpc,standardized_sse,n_terms,mean_standardized_sse
1.0,462.70615955511505,411,1.1258057410100122
1.5,476.05746920565593,411,1.1582906793324963
2.0,487.74957295019044,411,1.1867386203167651
2.5,494.1191754607396,411,1.2022364366441354
3.0,497.81712395321495,411,1.2112338782316665
4.0,501.764667094288,411,1.2208386060688272
5.0,503.44251876359857,411,1.2249209702277337
