R_bin_kpc,absZ_bin_kpc,phi_bin_deg,n,Rbirth_median_kpc,deltaR_present_birth_median_kpc,outward_fraction_gt1,inward_fraction_gt1,inner_born_fraction_lt6,age_median_gyr,FeH_median,aFe_median,Vr_median_kms,Vphi_median_kms,Vz_median_kms,Rbirth_median_kpc_anom,deltaR_present_birth_median_kpc_anom,outward_fraction_gt1_anom,inward_fraction_gt1_anom,inner_born_fraction_lt6_anom,age_median_gyr_anom,FeH_median_anom,aFe_median_anom,Vr_median_kms_anom,Vphi_median_kms_anom,Vz_median_kms_anom
3.0,0.75,135.0,20,19.98821264304049,-16.886746209182782,0.0,1.0,0.0,7.080654797197544,-1.6557289342562944,0.39413568872673044,-27.48869150006243,-80.75935274810415,-3.6963576229895283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,1.0,195.0,27,18.100934393127257,-14.869139263635354,0.0,1.0,0.0,7.059931860462543,-1.4057100338598694,0.37506267559228,21.766581554849957,-43.973123455231246,-48.53648919119727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,1.25,195.0,64,17.57803839199447,-14.204595004945748,0.046875,0.953125,0.0625,7.126448870502914,-1.4803912000029336,0.3404532332648709,-10.275306068856029,-83.53612262208875,7.819717072344885,2.123764851021644,-2.081075490764359,0.00018168604651162823,0.023074127906976827,-0.05014534883720931,-0.43232429834911645,-0.15690332592816447,-0.023427584800966017,3.9635013500067853,14.195900274339749,5.079849897688318
3.0,1.25,210.0,43,13.33050868995118,-10.042444023417028,0.046511627906976744,0.9069767441860465,0.16279069767441862,7.991097467201147,-1.1665845481466046,0.38730840286680296,-18.2023087688696,-111.92792317076825,-2.33998272303175,-2.123764851021644,2.081075490764361,-0.00018168604651162823,-0.023074127906976716,0.05014534883720931,0.43232429834911645,0.15690332592816447,0.023427584800966017,-3.9635013500067853,-14.195900274339749,-5.079849897688318
3.0,1.5,195.0,39,15.140007823155882,-11.947079524025257,0.0,1.0,0.0,7.460761190933947,-1.4947471326326949,0.3834271388962168,-23.494432315287863,-63.475052896536226,8.317293864371567,-0.11093735314739206,0.14635402855579294,-0.015625,0.046875,-0.046875,-0.4098318873222331,0.0,0.017679729870199223,0.0,0.0,0.0
3.0,1.5,210.0,64,16.32007281558394,-13.046082929025571,0.015625,0.953125,0.046875,7.87059307825618,-1.5114888916260625,0.3657474090260176,-38.50719168509892,-38.034859153463046,7.580091606404178,1.0691276392806675,-0.952649376444521,0.0,0.0,0.0,0.0,-0.016741758993367606,0.0,-15.012759369811054,25.44019374307318,-0.7372022579673896
3.0,1.5,225.0,30,15.250945176303274,-12.09343355258105,0.06666666666666667,0.9333333333333333,0.1,8.015331521835238,-1.3402593631810684,0.3471177875155068,-15.221021196620555,-82.64703053215597,26.662180847265123,0.0,0.0,0.051041666666666666,-0.019791666666666652,0.053125000000000006,0.14473844357905818,0.15448776945162646,-0.018629621510510785,8.273411118667308,-19.17197763561974,18.344886982893556
3.0,1.75,210.0,26,16.722152789021287,-13.444053000442043,0.0,1.0,0.0,8.057230505911374,-1.6530508094054701,0.33895558685217764,14.357645603662885,-90.51564229341801,8.741007102317775,0.0,0.0,0.0,0.0,-0.041666666666666664,-0.19096356094245692,0.0,-0.0032423682900499795,60.08193398684848,-25.688155514178064,0.5457086781060845
3.0,1.75,225.0,24,17.39219887733593,-14.099722051960413,0.0,1.0,0.041666666666666664,8.355523106946983,-1.728761266188739,0.4000390933454151,-52.77340332662574,-64.82748677923995,-7.2029897490543835,0.670046088314642,-0.6556690515183696,0.0,0.0,0.0,0.10732904009315192,-0.07571045678326893,0.05784113820318748,-7.049114943440145,0.0,-15.398288173266074
3.0,1.75,240.0,20,13.904809691258041,-10.612141944999111,0.0,1.0,0.05,8.24819406685383,-1.2905899820734241,0.3421979551422276,-45.724288383185595,-18.645877593792402,8.19529842421169,-2.8173430977632457,2.831911055442932,0.0,0.0,0.008333333333333338,0.0,0.362460827332046,0.0,0.0,46.18160918544754,0.0
3.0,2.0,270.0,28,10.524683763844065,-7.255778097155911,0.03571428571428571,0.9285714285714286,0.17857142857142858,9.245988452188959,-1.1401944694993462,0.31460793995179626,3.176430889884135,-17.14216649867472,16.02099887478227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5,1.0,195.0,59,16.872228450331793,-13.050254823403789,0.0,1.0,0.0,6.561750494249852,-1.4120085077739135,0.35775666085125973,20.613016202514,-90.36936587542833,-9.060656679739362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5,1.25,195.0,51,15.802297525585198,-12.0640798113662,0.0196078431372549,0.9803921568627451,0.0392156862745098,7.156322441410006,-1.3338509956485476,0.37980949695775545,5.537885612934907,-79.91599769093064,-10.651117288794381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5,1.5,195.0,25,16.612173927070312,-12.772725734883204,0.0,1.0,0.0,8.03200136393651,-1.5994324283569343,0.388410108429111,14.380115034086472,-101.89288193548953,0.6054416265854404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5,1.75,195.0,21,12.461048066402892,-8.668942714605592,0.0,0.9523809523809523,0.09523809523809523,9.168976654414893,-1.3996602175971475,0.35655207933071326,37.499446391381035,-83.39480835628044,-19.808975842381887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5,2.0,195.0,25,12.849674279037496,-9.008613200386584,0.0,0.92,0.12,9.449771329897189,-1.4067293687275946,0.3795840320175498,-10.804258158609784,-42.74655930934495,7.226311559492228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,1.0,180.0,46,16.748172114653613,-12.349010235089828,0.0,0.9782608695652174,0.043478260869565216,7.364113477204205,-1.4879940757678025,0.3639866563498647,3.9038665315690064,-86.99059113499494,12.116658919715558,0.6952173169551088,-0.6041916605814244,-0.017241379310344827,0.006371814092953509,0.004497751124437781,-0.2563243374841946,0.04022713734599859,0.009361078089465125,10.89426621707645,-8.57394347254548,18.973208203815037
4.0,1.0,195.0,29,15.357737480743392,-11.14062691392698,0.034482758620689655,0.9655172413793104,0.034482758620689655,7.876762152172595,-1.5684483504598,0.34526450017093446,-17.88466590258389,-69.84270418990397,-25.829757487914517,-0.6952173169551124,0.6041916605814244,0.017241379310344827,-0.006371814092953509,-0.004497751124437781,0.2563243374841955,-0.04022713734599881,-0.009361078089465125,-10.89426621707645,8.573943472545494,-18.973208203815037
4.0,1.25,195.0,21,15.590656065018175,-11.25750122913741,0.0,1.0,0.0,8.482641502170395,-1.552150346748723,0.33375169523634884,0.18917890748006966,-77.19649127599229,-4.2687327618899635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,1.5,195.0,28,15.681758204469954,-11.267154850193748,0.0,1.0,0.0,7.712585233510817,-1.3465534805988884,0.3740532929241259,4.988289690569557,-71.23522373631894,-14.695875259373492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,1.75,165.0,33,15.754289263060354,-11.58864397704383,0.0,1.0,0.0,8.394651193968329,-1.777381848731169,0.38492968434980324,-150.57169300882035,-88.20823064344307,-53.918293908780164,0.5757754940025848,-0.6973178568913649,0.0,0.0,0.0,-0.1503773671576596,-0.17808693885935445,0.0158441062480823,-50.999241572611,-24.29909969591141,-24.253916606053448
4.0,1.75,210.0,20,14.602738275055184,-10.1940082632611,0.0,1.0,0.0,8.695405928283648,-1.42120797101246,0.35324147185363863,-48.57320986359835,-39.610031251620256,-5.410460696673272,-0.5757754940025848,0.6973178568913649,0.0,0.0,0.0,0.1503773671576596,0.17808693885935445,-0.0158441062480823,50.999241572611,24.29909969591141,24.253916606053444
4.0,2.0,195.0,20,12.770706386888751,-8.567031878516843,0.0,1.0,0.0,8.268622554005837,-1.2945918024936796,0.3294692235348561,-19.52670654083697,-52.47928266357573,-10.404407617805672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.5,0.75,180.0,51,16.758357997023516,-11.875666445717522,0.0196078431372549,0.9607843137254902,0.0392156862745098,7.822958109640735,-1.5495768429375671,0.3769107249431539,35.24784869864648,-60.90994960549799,-14.549980575456125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.5,1.25,195.0,28,14.874147238998955,-9.990972248188822,0.0,1.0,0.0,8.543038396967141,-1.476589388841001,0.36122780757471595,-22.648363790834832,-53.25874136083583,42.17719486302538,-0.6263775918839674,0.7109675136777298,-0.021739130434782608,0.04347826086956519,-0.043478260869565216,-0.07974489404097795,0.06022106004247063,0.0004849090656425248,-2.377782410646933,10.119569511226807,18.86562484880438
4.5,1.25,210.0,23,16.12690242276689,-11.412907275544281,0.043478260869565216,0.9130434782608695,0.08695652173913043,8.702528185049095,-1.5970315089259424,0.3602579894434309,-17.892798969540962,-73.49788038328944,4.445945165416615,0.6263775918839674,-0.7109675136777298,0.021739130434782608,-0.0434782608695653,0.043478260869565216,0.07974489404097618,-0.06022106004247063,-0.0004849090656425248,2.3777824106469367,-10.119569511226807,-18.865624848804384
4.5,1.5,165.0,20,16.52656361626446,-11.905256194215887,0.0,1.0,0.0,8.379520095292165,-1.7508343703906775,0.3164412895396529,-148.88001946161302,-104.30446825352259,-57.0355469282122,1.0725024200116486,-1.1577782442086306,0.0,0.0,0.0,0.030067668762733035,-0.3188889899616971,-0.026290316570368732,-130.77165342547488,0.9689919846583877,-54.21560575680205
4.5,1.5,180.0,21,13.352078612980947,-8.41592320803743,0.0,1.0,0.0,8.3193847577667,-1.2135501486234075,0.3762764718457838,-28.640123476368128,-114.03132742796394,4.717545890415548,-2.101982583271866,2.3315547419698266,0.0,0.0,0.0,-0.03006766876273126,0.21839523180557285,0.03354486573576215,-10.531757440229999,-8.75786718978297,7.537487061825697
4.5,1.5,195.0,24,15.279533474756809,-10.576714344112585,0.0,1.0,0.0,6.610271266455575,-1.2254575500093345,0.339382964505368,10.35527491748801,-106.24245222283935,-10.357428233235847,-0.1745277214960037,0.1707636058946722,0.0,0.0,0.0,-1.7391811600738567,0.2064878304196458,-0.003348641604653646,28.46364095362614,-0.9689919846583734,-7.537487061825697
4.5,1.5,210.0,20,15.628588917748816,-10.918241555901929,0.0,1.0,0.0,8.556163824295552,-1.6384332108486261,0.34608024771467527,-7.5766085959081275,-65.73669347053519,5.684210746132137,0.1745277214960037,-0.1707636058946722,0.0,0.0,0.0,0.2067113977661208,-0.2064878304196458,0.003348641604653646,10.531757440230002,39.53676676764579,8.504151917542286
4.5,1.75,210.0,22,16.504259617648483,-11.842795868519305,0.0,1.0,0.0,8.391870707562635,-1.5202269532679882,0.3558084618451991,-16.40986098959691,-39.02923381349798,23.901846779690207,1.4818820454224344,-1.5100497231808117,-0.06521739130434782,0.0652173913043479,-0.06521739130434782,-0.4958782232821264,0.0190162478548368,0.01795025594282762,4.909665808641414,23.440494695695257,18.842666380850332
4.5,1.75,240.0,23,13.540495526803616,-8.822696422157684,0.13043478260869565,0.8695652173913043,0.13043478260869565,9.38362715412689,-1.558259448977662,0.3199079499595438,-26.22919260687974,-85.9102232048885,-13.783485982010458,-1.4818820454224326,1.5100497231808099,0.06521739130434782,-0.06521739130434778,0.06521739130434782,0.49587822328212816,-0.01901624785483702,-0.017950255942827675,-4.909665808641414,-23.440494695695257,-18.842666380850332
4.5,2.0,195.0,25,13.53989880215667,-8.870298499475005,0.0,1.0,0.0,9.225162715671937,-1.6085888920948233,0.3491874565836828,9.304303831316114,-68.34690109771495,-8.294921772286148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.75,180.0,38,13.799211477371914,-8.671784446561272,0.0,0.9736842105263158,0.02631578947368421,8.288177343033306,-1.496082530688804,0.4058561170876529,-9.224229857474857,-155.19207919665104,-3.5428388851173214,0.9476305793068303,-0.9748184652795739,-0.025,0.011842105263157987,-0.011842105263157897,0.2657243289954003,-0.348040013356929,0.003764227113465468,13.83387837213554,5.434304055929232,-8.382374103540034
5.0,0.75,195.0,20,11.903950318758252,-6.722147516002123,0.05,0.95,0.05,7.756728685042504,-0.8000025039749459,0.39832766286072196,-36.891986601745934,-166.0606873085095,13.221909321962748,-0.947630579306832,0.9748184652795748,0.025,-0.011842105263157876,0.011842105263157897,-0.2657243289954012,0.348040013356929,-0.003764227113465468,-13.833878372135537,-5.434304055929232,8.382374103540034
5.0,1.0,150.0,24,15.200065602208213,-9.849380770818208,0.041666666666666664,0.9166666666666666,0.08333333333333333,5.634728881261621,-0.9009417617094388,0.3900087867523037,-30.25447178754709,-176.01493095190088,-12.971042699005244,1.3640951761055682,-1.4133828184141457,0.0,0.0,0.0,-3.192818702633401,0.17966784599167185,0.0019627433934375493,-7.839144411260058,-38.466479744867314,0.0
5.0,1.0,180.0,20,10.400116733624692,-5.0188624023152295,0.05,0.85,0.1,9.923846099903095,-1.0806096077011107,0.38804604335886617,-22.41532737628703,-137.54845120703357,-13.417290232231698,-3.435853692477952,3.4171355500888323,0.008333333333333338,-0.06666666666666665,0.016666666666666677,1.0962985160080727,0.0,0.0,0.0,0.0,-0.4462475332264546
5.0,1.0,195.0,25,13.835970426102644,-8.435997952404062,0.0,0.96,0.04,8.827547583895022,-1.3917673240354826,0.36082873270270144,11.225933073153293,-108.1798561077201,8.343190927976677,0.0,0.0,-0.041666666666666664,0.043333333333333335,-0.04333333333333333,0.0,-0.31115771633437195,-0.027217310656164728,33.641260449440324,29.368595099313467,21.31423362698192
5.0,1.25,180.0,20,13.29291902565334,-8.176030347536932,0.0,0.95,0.05,10.472125222121777,-1.4089291223176432,0.4311039690748285,-20.574009050208844,-52.458453438545185,10.590528171582102,-0.29748977954075784,0.19438610105912524,0.0,-0.025000000000000022,0.025,0.7732210122407377,0.029768358327181943,0.023001808948074243,4.793257572434719,12.901793031692598,-5.823008308129834
5.0,1.25,195.0,42,13.887898584734856,-8.564802549655184,0.0,1.0,0.0,8.925683197640302,-1.468465838972007,0.38510035117868,-30.16052419507828,-78.26203950193039,22.236544787841773,0.29748977954075784,-0.19438610105912701,0.0,0.025000000000000022,-0.025,-0.7732210122407377,-0.029768358327181943,-0.023001808948074243,-4.793257572434719,-12.901793031692605,5.823008308129836
5.0,1.5,180.0,21,12.12933146955586,-7.054206334165278,0.0,1.0,0.0,9.798606288593197,-1.1890238949100402,0.3622810108767419,6.856885805291433,-91.99587285408933,-10.200928610934117,-0.8618953269700871,0.8250602763352051,0.0,0.0,0.0,1.466964446570529,0.023478243358990403,-0.03585204886956822,22.396574399965676,12.087183605585807,-15.886296146048114
5.0,1.5,195.0,20,13.853122123496032,-8.704326886835688,0.0,1.0,0.0,6.864677395452139,-1.2359803816280208,0.43398510861587836,-37.93626299463992,-116.17024006526094,21.57166368116211,0.8618953269700853,-0.8250602763352042,0.0,0.0,0.0,-1.466964446570529,-0.02347824335899018,0.03585204886956822,-22.396574399965676,-12.087183605585807,15.886296146048114
5.5,0.5,180.0,26,14.785058632386146,-8.955754848084283,0.038461538461538464,0.9230769230769231,0.038461538461538464,8.19685088418937,-1.397391470725763,0.3951474152705472,-23.77961278400167,-142.52083604051444,-11.191878144539896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.5,0.75,165.0,24,12.050356686013064,-6.216423325243317,0.2916666666666667,0.625,0.375,8.709772794821896,-0.7151575621139945,0.3677500170454292,-23.674293420169665,-191.6688592257471,4.584442937763303,0.0,0.0,0.16123188405797104,-0.048913043478260865,0.07065217391304346,0.0,0.06349687552645045,-3.784228145842228e-07,-2.0708363926360924,-6.779214910650865,0.0
