source_id,x,y,z,R,phi,U,V,eU,eV,Dist,e_mu,ruwe,rv_nb_transits,rv_error
4060754379934213632,-6.320770427346961,0.05041069762431616,0.022373694487576364,6.320971446989684,3.1336174187004766,-6.357280945099752,-5.000801147517706,1.412396931222467,0.385375113327663,1.83,0.053,0.7409949,16,1.4688671
4063689427455040512,-6.8908536963705895,0.043490796704828805,-0.010742234265860243,6.890990938477734,3.1352813573163405,-12.970327375968116,12.314108825483885,1.7146805744230018,0.13689315082727457,1.26,0.044,0.8290687,9,1.7157663
4063755947910057984,-6.760876547579878,0.0493843618866488,0.007041000843310326,6.761056907526704,3.1342883516592837,8.058449987436825,-8.078874592880766,1.7706364074372478,1.2884293571583174,1.39,0.131,0.86604464,19,1.8443878
4063883590025929216,-6.691619670084918,0.06862492673182585,0.0007202770222552403,6.691971547282336,3.131337659365141,41.00142391963073,-11.34230247263855,2.6338121442674636,1.0804869270508777,1.46,0.11,0.92581373,17,2.6194646
4063826557167149568,-6.821711591375844,0.06620085085365796,-0.0076255860174288025,6.822032804711899,3.1318885240753276,6.723213860580836,12.117800291017375,1.9912822515944102,0.1810931899399737,1.33,0.039,0.73667186,23,2.0209274
4067683678353887232,-4.819392460569732,0.23683296149585975,0.08659210015928959,4.825208134438066,3.0924904905464357,29.46652756061219,-61.300599034224746,3.5347296217516235,2.7980765399646064,3.34,0.11,1.1092546,21,3.6636922
4116471792510901248,-6.656973484466403,0.10773478633195482,0.10178385807745582,6.657845203748338,3.1254103175295014,9.69597708610769,14.24263072530323,1.1906057875402665,0.1744209875319166,1.5,0.038,0.75773543,8,1.0579654
4069642286496840192,-6.652652689606853,0.1945512101211585,-0.008867196482860887,6.655496824572371,3.1123568304927036,-10.105815289588453,-13.632678852498003,4.215208466201247,2.01201015131707,1.51,0.171,1.2839025,14,4.124569
4095359073189127680,-6.157977797200287,0.3900435452482316,0.030419270908300874,6.170318024056905,3.07833760379779,3.8079519277434204,-6.666130052142307,2.2234580472528958,1.2545414522597063,2.03,0.15,1.2135363,8,2.2003527
4095782655730996224,-6.1050099502288635,0.43107412877991275,0.022773741100060193,6.120210077840204,3.071099753919926,21.80230751445837,-6.927466955665494,2.401684935104241,0.8186444717732194,2.09,0.056,1.0123743,11,2.4561837
4092905375639902208,-7.530139403014273,0.15118515187621767,-0.04468157892152364,7.531656947775568,3.1215180129386146,27.14602716547948,-3.8978175742915653,3.627087449662897,1.4319403059120572,0.64,0.121,0.8526962,12,3.8034997
4097663134168262656,-5.9218154278712625,0.5701323149931369,0.017785201714040463,5.949197325553552,3.0456118685875495,19.113360742257733,-15.620412671688229,2.580257456372233,1.286914590920544,2.3,0.064,0.9354144,9,2.7268455
4085919765884068864,-7.347485755352601,0.2100874849652537,-0.12654966661467645,7.3504886692279445,3.1130073297714245,10.486476013274245,-6.277740515854248,3.169953401572991,1.2638472134086574,0.84,0.115,0.8201806,13,3.0918407
4096979650282842112,-6.692181643046133,0.3902915251769268,-0.04493386185352664,6.703552984660342,3.0833381187497837,0.4320831569379907,7.04810360165601,2.4644128230908344,0.7961560216564677,1.51,0.131,1.1003364,9,2.3288589
4087335043492541440,9.641859785994452,5.7568061829237935,-3.783348633165336,11.22970514129942,0.5382577893113815,-142.409431737392,-159.2538445268773,2.683231509182578,14.043611875181698,19.08,0.125,1.3867104,14,2.6109014
4152865318042753024,-4.043978423836214,1.3732706344596304,0.06574799372606294,4.270788419943323,2.814227028746688,-19.46230584498562,-33.98458737110013,5.150500954036607,2.982972435033803,4.33,0.111,0.98611003,13,4.5852494
4175017625462647296,-7.597024329431611,0.20780415495105695,0.11055899960029955,7.599865869131556,3.114246110733474,4.682254674373783,-6.697528764177889,1.2964445760600516,0.7560660524774218,0.6,0.077,1.031427,21,1.4324464
4155514178988015616,-6.517196234416559,0.6827476537876986,-0.021212632737814766,6.552861292339857,3.037212447323315,70.56702255890205,9.022213797000319,4.447799780370827,3.224316697110786,1.77,0.178,1.2140957,8,4.9324765
4156360424971736064,-6.584791031535428,0.6634151431346678,0.008153754480166916,6.618126062650196,3.041181865974891,27.561297407129167,13.216176389754821,2.1796790369572565,1.1716027569695417,1.7,0.117,1.3029011,11,1.9686121
4155550943909053440,-6.348278148380947,0.7708994098884594,-0.027953798018527713,6.394913709298774,3.0207499209481816,-24.088583632879775,2.8706236047244147,2.1889874909322344,0.8215087961117449,1.96,0.11,0.91728014,10,1.6578872
4251917636212432384,-7.182131515871741,0.45490820376793145,-0.0290357201771853,7.196523784795926,3.0783382663454355,-18.62180773137554,13.892567821430788,2.736223788399581,1.5092594026272121,1.07,0.034,0.8428184,16,3.1742196
4253017873709602304,-7.969238550350206,0.08559072855066455,0.0050567983502893795,7.969698165250782,3.1308529276727515,-16.177895445438516,3.2460523492077016,2.464485494740646,1.2035929284743672,0.2,0.05,0.9773883,12,3.041817
4253603501158148608,-6.09469617731051,1.05426149856456,-0.013644650988532823,6.185207256113488,2.9703074809098013,17.649558560318848,21.338047599230805,4.063059306137971,3.009527532635238,2.31,0.037,0.8354727,10,4.9264083
4256655397447716864,-5.6477858577708435,1.3217786573508632,-0.021608204606831497,5.800395151562054,2.911695538479401,4.77693883781731,-10.78990731875993,2.099303113889489,1.6210036191537018,2.83,0.084,1.027771,11,1.4839094
4255149654998407168,-5.173010585352967,1.5785301808091703,-0.04634151727935721,5.408492955334164,2.8454202867312404,81.23674803001472,-14.916746718943642,3.775998976787618,4.204089306290335,3.37,0.123,0.96916926,10,4.995598
4256740751371777536,-5.899750423743216,1.199534843200139,0.00433524430937748,6.020460024160067,2.9410072264927396,-4.536150244013261,-3.22331304007875,3.0087107060712794,2.3906875508987717,2.55,0.059,0.9373219,10,3.8615363
4258175403559021568,-5.621413121605142,1.3573629831068557,-0.021398247972757443,5.7829680745844705,2.9046648614606068,28.486084099315537,9.834201325781578,3.4286944674987656,2.8082588069619296,2.87,0.072,0.9645215,10,4.161436
