4060910068247394432   0.38444   1.9619     8.02 14.522  0.129  0.5  0.2  1 P21      8.594 0.016
4049125051634137600   0.45968  -5.42326   14.46 15.801  0.117  0.19 0.2  1 P21      8.706 0.015
4048895253682114432   0.47058  -6.65562   19.14 16.41   0.114 -0.05 0.2  1 Gaia_DR3 8.623 0.015
4060916145582843392   0.5024    2.11348   20.96 16.607  0.138 -0.16 0.2  1 Gaia_DR3 7.915 0.015
4057606787380343808   0.85104  -0.38338    2.28 11.787  0.127  0.19 0.2  1 Gaia_DR3 7.65  0.015
4050242190000435968   0.92606  -3.412     15.42 15.94   0.148  0.14 0.2  1 P21      8.614 0.015
4060964283579245312   0.93667   2.14172   23.52 16.857  0.138 -0.29 0.2  1 Gaia_DR3 8.015 0.015
4061991747129683712   1.01303   3.6821    27.61 17.205  0.191 -0.5  0.2  1 P21      7.973 0.016
4062548478035494528   1.16961  -2.1163     3.65 12.813  0.113  0.27 0.2  1 P21      8.666 0.015
4062535588934523392   1.20439  -2.2731     9.86 14.97   0.116  0.43 0.2  1 P21      8.533 0.015
4046237665351689600   1.45842  -7.65162   19.21 16.418  0.107 -0.06 0.2  1 Gaia_DR3 8.257 0.015
4061059430031901824   1.49231   1.73998   19.73 16.476  0.157 -0.09 0.2  1 P21      8.026 0.015
4050293493207289472   1.56062  -4.30571    9.68 14.929  0.118  0.44 0.2  1 P21      8.645 0.015
4050309195613114624   1.57578  -3.97961    0.44  8.206  0.101  0.08 0.01 0 Gaia_DR3 7.852 0.007
4060754379934213760   1.57864   0.56688    1.83 11.311  0.053 -0.12 0.05 0 Gaia_DR3 7.813 0.008
4061079839722120960   1.7205    1.93349   17.26 16.185  0.125  0.04 0.2  1 Gaia_DR3 8.229 0.015
4110164199103567488   1.73682   4.38241   12.24 15.439  0.189  0.3  0.2  1 P21      8.462 0.015
4063689427455040256   1.97824  -0.70004    1.26 10.507  0.044 -0.04 0.01 0 P21      7.987 0.007
4063755947910057728   2.0361    0.10208    1.39 10.714  0.131  0.15 0.2  1 Gaia_DR3 7.762 0.015
4062757346569515520   2.10744  -1.87116   14.25 15.769  0.188  0.2  0.2  1 P21      8.48  0.015
