source_id,ra_deg,dec_deg,l_deg,b_deg,Dist_kpc,e_mu,ruwe,R_kpc,phi_rad,s_phase_kpc,d_perp_kpc,eU_1kms,eV_1kms,eU_2kms,eV_2kms,eU_5kms,eV_5kms,best_min_Neff_1kms,best_h_1kms,qualifying_h_1kms,best_min_Neff_2kms,best_h_2kms,qualifying_h_2kms,best_min_Neff_5kms,best_h_5kms,qualifying_h_5kms
2.0722358209848294e+18,299.7147335166733,37.64724721832573,73.47959514112141,4.254604505482526,16.91,0.114,1.0837891,16.511470371965622,1.7753462552515937,7.258123211473825,-1.240163575126199,1.3769466659167915,10.842603016785146,2.0413216402301146,10.733995886051412,4.192820814631902,10.94021711985037,3.6309667958501057,7.0,7.0,3.6307697243812243,7.0,7.0,3.630895435208743,7.0,7.0
2.0251798844081585e+18,294.69744707148163,27.413495229237085,62.493745718601275,2.743494834536129,17.54,0.114,0.9728106,15.539553750452777,1.574524634332116,3.675491706021214,-1.3959106176520455,1.9834828826839752,11.347600687269038,2.5282112308797733,12.244376490396066,4.493958594579286,11.88641501045101,3.5891903542235375,7.0,7.0,3.6154260409711596,7.0,7.0,3.627949454472993,7.0,7.0
2.031745858613175e+18,296.8870314589,29.343694166972423,65.12776279065662,2.029207587320085,17.64,0.137,1.0191141,16.01068463147008,1.6167129950662167,4.414297908739168,-1.1001340933875956,3.6113114185531408,16.336786127105942,4.089959640480686,16.528472964865674,5.336078515198466,17.578896388815934,3.4772175481138623,7.0,7.0,3.5250172013969165,7.0,7.0,3.588154494791065,7.0,5.0
2.1626792466152753e+18,315.6675454469324,45.0927948398114,86.53015735625081,-1.0013941719254293,16.6,0.119,1.0075232,18.04236702476445,1.9780054530634763,11.047321291401156,-0.5855835917497793,2.114646876566358,7.188975337906586,2.8482822897699984,7.226193337426988,5.14260334742697,7.211793674677992,3.502873298698146,7.0,7.0,3.5063950609271894,7.0,7.0,3.505038366328558,7.0,7.0
1.8732988843678559e+18,314.1788623628072,40.2584860241259,82.16010198014718,-3.3463169285563596,19.24,0.128,1.0146376,19.815184004940043,1.8536716371641289,8.701455980597105,1.6589541736160305,2.0681346693325793,9.314829677155808,2.542000479505565,9.398287620031315,4.946573374554456,9.055006313291793,3.4312056374241657,7.0,7.0,3.4256052863060096,7.0,7.0,3.3168060251626006,7.0,7.0
2.059995546465812e+18,301.52544946210986,36.77628798685051,73.50190026567054,2.570130759580839,16.45,0.121,0.93651533,16.13715576256739,1.7883238522449525,7.495451905728237,-1.6571280126558965,2.9052235107066173,11.669116758315772,3.1434870205587653,10.951174479297453,5.154491143924632,11.281486880450705,3.3777262153134515,7.0,7.0,3.423271819718631,7.0,7.0,3.4022499002979707,7.0,7.0
2.1650062598821921e+18,320.2242961708655,48.78968776823098,91.35326139329193,-0.7340659816725138,17.89,0.156,1.041204,19.83206098777977,2.0177936547250184,11.812473605287641,0.9886257045825322,5.413506494160251,10.302308532844082,5.5631684405929835,10.120866930921755,6.939765342378566,10.43561146657193,3.4013654848366555,7.0,7.0,3.3910249834243014,7.0,7.0,3.2962042347186147,7.0,7.0
4.5132811751961764e+18,288.1168720035091,16.49916890738218,49.98188895118375,2.9410370072806367,18.11,0.125,0.9765941,14.281717229866853,1.324609097694655,-0.5553821435353719,-1.6870353759672503,3.012757857809808,18.66086586930849,3.3133374427988764,16.589905120779537,5.2977285592680365,18.137775377260287,3.257510828500844,7.0,7.0,3.357710859199571,7.0,7.0,3.2816231293039193,7.0,7.0
4.16090642454592e+18,276.38951956695223,-6.458712953963847,24.227074271897642,2.7717330764395256,20.53,0.116,1.0250738,13.49528116645473,0.6732479721290663,-10.492719760197533,-0.25930884207024496,2.5543719068723374,19.51946730420932,2.956091755219913,19.64653047095978,5.017712366127091,18.310202019836687,3.351092363491019,7.0,7.0,3.3453427005468086,7.0,7.0,3.4071889318703734,7.0,7.0
2.1951580985231493e+18,310.87508586105747,61.75625438793755,97.67150104868715,11.763358045342647,15.7,0.115,1.0724902,18.3321582808896,2.1608197508362754,14.622208144751117,-1.092500607167409,1.8916089274082069,1.231360744020418,2.504239845474933,1.3833898003107536,4.599244929425143,2.437750813514646,3.307383685899896,10.0,7.0,3.3090089278805745,10.0,7.0,3.31983610256553,10.0,7.0
