r NHI NHI_tot vel1 vel2 dvel1 dvel2 dvel1_over_v dvel2_over_v sigv_mom2 sigv_mom2_dense
45.000 0.043 3.332 -493.503 nan nan nan nan nan nan 16.261
102.607 0.052 3.235 nan nan nan nan nan nan nan 14.683
127.821 0.080 3.173 -444.082 34.418 nan -104.345 nan 1.673 nan 13.631
153.036 0.097 3.077 nan 51.397 nan -129.898 nan 1.845 nan 12.749
178.250 0.107 2.973 -231.822 nan nan nan nan nan nan 12.013
203.464 0.079 2.797 -295.210 nan nan nan nan nan nan 11.303
228.679 0.071 2.631 -254.940 nan nan nan nan nan nan 10.683
253.893 0.061 2.456 -141.462 nan nan nan nan nan nan 10.147
279.107 0.060 2.296 nan nan nan nan nan nan nan 9.644
304.322 0.070 2.121 nan nan nan nan nan nan nan 9.141
329.536 0.073 1.965 57.229 nan 58.900 nan 0.524 nan nan 8.705
354.750 0.083 1.808 48.607 nan 72.788 nan 0.609 nan nan 8.296
379.964 0.095 1.665 52.246 nan 72.066 nan 0.586 nan nan 7.900
405.179 0.113 1.525 64.702 -93.609 61.530 -40.428 0.491 0.304 nan 7.538
430.393 0.124 1.398 81.548 -78.787 47.095 -57.046 0.367 0.421 nan 7.201
455.607 0.130 1.262 94.071 -55.956 36.169 -81.498 0.278 0.592 nan 6.857
480.822 0.129 1.130 102.326 nan 29.345 nan 0.223 nan nan 6.525
506.036 0.126 1.004 111.941 nan 22.412 nan 0.167 nan nan 6.202
531.250 0.122 0.888 115.118 nan 21.478 nan 0.157 nan nan 5.889
556.465 0.121 0.780 118.588 nan 19.691 nan 0.142 nan nan 5.574
581.679 0.122 0.684 122.166 -75.596 17.252 -73.480 0.124 0.493 nan 5.222
606.893 0.123 0.598 125.351 -84.364 15.808 -66.558 0.112 0.441 8.506 4.890
632.107 0.122 0.518 128.389 -107.992 12.726 -44.962 0.090 0.294 8.521 4.509
657.322 0.121 0.446 nan -119.664 nan -34.474 nan 0.224 8.510 4.118
682.536 0.118 0.382 nan -133.926 nan -22.034 nan 0.141 8.539 3.712
