older_lookback_gyr,younger_lookback_gyr,R_kpc,delta_surface_density_msun_per_kpc2,delta_SFR_surface_proxy_msun_per_yr_kpc2
12.25,11.65,0.001,133962757.45921528,0.2232712624320256
12.25,11.65,0.12602000400080016,123371145.04158607,0.20561857506931025
12.25,11.65,0.2510400080016003,113586165.34278363,0.18931027557130617
12.25,11.65,0.37606001200240047,104549863.8067787,0.17424977301129793
12.25,11.65,0.5010800160032006,96208042.08545834,0.16034673680909733
12.25,11.65,0.6261000200040008,88510065.2605389,0.14751677543423158
12.25,11.65,0.7511200240048009,81408671.97733614,0.13568111996222698
12.25,11.65,0.8761400280056011,74859788.66130187,0.12476631443550318
12.25,11.65,1.0011600320064011,68822348.74080308,0.1147039145680052
12.25,11.65,1.1261800360072014,63258117.58852409,0.10543019598087354
12.25,11.65,1.2512000400080014,58131523.71444668,0.0968858728574112
12.25,11.65,1.3762200440088017,53409496.59150876,0.08901582765251466
12.25,11.65,1.5012400480096018,49061311.367145,0.08176885227857505
12.25,11.65,1.626260052010402,45058440.606797114,0.07509740101132857
12.25,11.65,1.751280056011202,41374413.12636375,0.06895735521060628
12.25,11.65,1.8763000600120023,37984679.896987125,0.06330779982831192
12.25,11.65,2.0013200640128024,34866486.945408754,0.05811081157568129
12.25,11.65,2.1263400680136026,31998755.12448462,0.05333125854080773
12.25,11.65,2.251360072014403,29361966.589694597,0.048936610982824355
12.25,11.65,2.3763800760152027,26938057.787172318,0.04489676297862056
12.25,11.65,2.501400080016003,24710318.7356732,0.04118386455945536
12.25,11.65,2.6264200840168033,22663298.36789372,0.03777216394648955
12.25,11.65,2.7514400880176035,20782715.684711445,0.0346378594745191
12.25,11.65,2.876460092018404,19055376.46840514,0.03175896078067525
12.25,11.65,3.0014800960192036,17469095.297025874,0.029115158828376474
12.25,11.65,3.126500100020004,16012622.601203732,0.026687704335339568
12.25,11.65,3.251520104020804,14675576.5062594,0.024459294177099015
12.25,11.65,3.3765401080216044,13448379.206085075,0.022413965343475138
12.25,11.65,3.5015601120224042,12322197.620470233,0.02053699603411707
12.25,11.65,3.6265801160232045,11288888.09403828,0.018814813490063812
12.25,11.65,3.751600120024005,10340944.90244014,0.017234908170733577
12.25,11.65,3.876620124024805,9471452.339676714,0.0157857538994612
