source_id,ra_deg,dec_deg,GLON_deg,GLAT_deg,Dist_kpc,e_mu_mag,ruwe,pmra,pmra_error,pmdec,pmdec_error,R_kpc,phi_rad,s_phase_kpc,d_perp_kpc,gaia_source_rv,gaia_source_rv_error,gaia_source_rv_transits,gaia_vari_rv,gaia_vari_rv_error,gaia_vari_rv_epochs,melnik_name,eU_1,eV_1,eU_2,eV_2,eU_5,eV_5,best_min_neff_sigmaRV_1,best_h_sigmaRV_1,best_neffU_sigmaRV_1,best_neffV_sigmaRV_1,passes_single_sigmaRV_1,passing_h_sigmaRV_1,best_min_neff_sigmaRV_2,best_h_sigmaRV_2,best_neffU_sigmaRV_2,best_neffV_sigmaRV_2,passes_single_sigmaRV_2,passing_h_sigmaRV_2,best_min_neff_sigmaRV_5,best_h_sigmaRV_5,best_neffU_sigmaRV_5,best_neffV_sigmaRV_5,passes_single_sigmaRV_5,passing_h_sigmaRV_5,provenance,type_best_classification,type2_best_sub_classification,mode_best_classification,pf,p1_o,main_id,otype,rvz_radvel,rvz_err,rvz_bibcode,gaia_sos_DCEP,simbad_obvious_nonclassical,known_literature_conflict,target_quality_pass
2025179884408158464,294.69744707148163,27.413495229237085,62.49374,2.7435,17.54,0.114,0.9728106,-1.742121747340693,0.036938988,-3.038325375839461,0.045174636,15.539553750452775,1.574524634332116,3.675491706021214,-1.3959106176520455,,,,,,,,1.9834828826839757,11.34760068726904,2.5282112308797733,12.244376490396066,4.493958594579287,11.88641501045101,3.589190354223541,7.0,3.589190354223541,3.617702351521153,True,7.0;10.0,3.615426040971164,7.0,3.615426040971164,3.630698689949712,True,7.0;10.0,3.6279494544729904,7.0,3.690891774606506,3.6279494544729904,True,7.0;10.0,Gaia_DR3,DCEP,,FUNDAMENTAL,5.1944003444491145,,ZTF J193847.38+272448.5,cC*,,,,True,False,False,True
2031745858613175040,296.8870314589,29.343694166972423,65.12776,2.02921,17.64,0.137,1.0191141,-1.8496164885041624,0.07648652,-3.367752286574803,0.09550535,16.01068463147008,1.616712995066217,4.414297908739168,-1.1001340933875956,,,,,,,,3.6113114185531408,16.336786127105942,4.089959640480686,16.52847296486567,5.336078515198467,17.578896388815934,3.477217548113864,7.0,3.477217548113864,3.6186075938634255,True,7.0;10.0,3.52501720139692,7.0,3.52501720139692,3.614896643112536,True,7.0;10.0,3.588154494791063,7.0,3.629446366848597,3.588154494791063,True,5.0;7.0;10.0,Gaia_DR3,DCEP,,FIRST_OVERTONE,,1.1693420400393129,ZTF J194732.88+292037.3,cC*,,,,True,False,False,True
1873298884367855872,314.1788623628072,40.2584860241259,82.1601,-3.34632,19.24,0.128,1.0146376,-1.7667998855014964,0.02965532,-1.8055578597270887,0.038597908,19.815184004940043,1.8536716371641289,8.701455980597105,1.6589541736160305,,,,,,,,2.0681346693325797,9.314829677155808,2.5420004795055653,9.398287620031317,4.946573374554456,9.055006313291791,3.431205637424164,7.0,3.4756666563570704,3.431205637424164,True,7.0,3.425605286306008,7.0,3.455698305099197,3.425605286306008,True,7.0,3.3168060251626144,7.0,3.3168060251626144,3.448576962739959,True,7.0,Gaia_DR3,DCEP,,FUNDAMENTAL,2.8221078075314203,,ATO J314.1788+40.2584,cC*,,,,True,False,False,True
2059995546465811968,301.52544946210986,36.77628798685051,73.50189,2.57013,16.45,0.121,0.93651533,-2.000705622304138,0.060838383,-2.612283239940382,0.070613615,16.13715576256739,1.7883238522449525,7.495451905728237,-1.6571280126558965,,,,,,,,2.9052235107066178,11.669116758315772,3.1434870205587653,10.951174479297451,5.154491143924632,11.281486880450707,3.3777262153134497,7.0,3.537267534205967,3.3777262153134497,True,7.0,3.423271819718629,7.0,3.5255282283028926,3.423271819718629,True,7.0,3.4022499002979845,7.0,3.4022499002979845,3.4022510688108363,True,7.0,Gaia_DR3,T2CEP,BL_HER,NOT_APPLICABLE,2.6850866077607964,,ZTF J200606.11+364634.6,Ce*,,,,False,False,False,True
2165006259882192128,320.2242961708655,48.78968776823098,91.35326,-0.73407,17.89,0.156,1.041204,-0.9910186818504058,0.124273665,-0.607921236556584,0.1221622,19.83206098777977,2.0177936547250184,11.81247360528764,0.9886257045825322,,,,,,,,5.413506494160251,10.302308532844082,5.563168440592984,10.120866930921755,6.939765342378565,10.43561146657193,3.4013654848366683,7.0,3.4013654848366683,3.480280509762919,True,7.0;10.0,3.3910249834243147,7.0,3.3910249834243147,3.491388111553443,True,7.0;10.0,3.296204234718628,7.0,3.296204234718628,3.47204374649965,True,7.0;10.0,Gaia_DR3,DCEP,,FUNDAMENTAL,4.9957068571391146,,ZTF J212053.83+484722.9,cC*,,,,True,False,False,True
4513281175196176512,288.1168720035091,16.49916890738218,49.98188,2.94104,18.11,0.125,0.9765941,-1.9417373965777864,0.066801004,-3.680446790458331,0.07866355,14.281717229866851,1.324609097694655,-0.5553821435353719,-1.6870353759672505,,,,,,,,3.012757857809808,18.66086586930849,3.313337442798876,16.589905120779537,5.2977285592680365,18.13777537726029,3.257510828500842,7.0,3.696454789483132,3.257510828500842,True,7.0,3.357710859199569,7.0,3.693774658134362,3.357710859199569,True,7.0,3.281623129303917,7.0,3.6328008857063656,3.281623129303917,True,7.0,Gaia_DR3,DCEP,,FUNDAMENTAL,1.4751495653143314,,OGLE GD-CEP-1487,cC*,,,,True,False,False,True
4160906424545920128,276.38951956695223,-6.458712953963847,24.22707,2.77174,20.53,0.116,1.0250738,-1.5375015713188798,0.08000197,-3.348793699460562,0.0685053,13.49528116645473,0.6732479721290663,-10.492719760197533,-0.2593088420702449,,,,,,,,2.5543719068723374,19.51946730420932,2.956091755219913,19.64653047095978,5.017712366127091,18.310202019836687,3.351092363491017,7.0,3.638825792697749,3.351092363491017,True,7.0,3.3453427005468077,7.0,3.655112128697752,3.3453427005468077,True,7.0,3.407188931870372,7.0,3.697544290091659,3.407188931870372,True,7.0;10.0,P21,,,,,,OGLE GD-CEP-1362,cC*,,,,False,False,False,True
2195158098523149312,310.87508586105747,61.75625438793755,97.6715,11.76336,15.7,0.115,1.0724902,-1.3697143880719516,0.018894644,-0.075099086403034,0.016699126,18.3321582808896,2.1608197508362754,14.622208144751117,-1.092500607167409,-101.186005,5.520222,25.0,,,,,1.8916089274082075,1.231360744020418,2.504239845474932,1.383389800310753,4.599244929425143,2.4377508135146466,3.307383685899892,10.0,4.454749141637461,3.307383685899892,True,7.0;10.0,3.3090089278805697,10.0,4.43989954817639,3.3090089278805697,True,7.0;10.0,3.319836102565525,10.0,4.344531700320643,3.319836102565525,True,7.0;10.0,Gaia_DR3,DCEP,,FIRST_OVERTONE,,2.0994832475656087,ASASSN-V J204329.89+614522.8,cC*,,,,True,False,False,True
4513399883752121216,288.4015524665938,16.887476036176945,50.45281,2.87829,17.9,0.125,1.025218,-1.876836830269684,0.06308159,-3.427955394024148,0.0614163,14.1594042934039,1.3404057724356842,-0.2951798599172809,-1.86360565213308,,,,,,,,2.477949491822628,16.061311329955515,3.1254527026665104,15.764176158143773,5.11416147330832,15.868690296198512,3.2320078730865744,7.0,3.641030306357012,3.2320078730865744,True,7.0,3.246882372896024,7.0,3.617868825329738,3.246882372896024,True,7.0,3.24160927237496,7.0,3.5086407375166586,3.24160927237496,True,7.0,P21,,,,,,OGLE GD-CEP-1494,cC*,,,,False,False,False,True
1861245556872133504,305.2023380839003,29.776749178965986,69.35795,-3.85349,17.76,0.116,0.9897131,-1.7655382630178005,0.036155086,-2.5475769958169137,0.04728774,16.69120551391688,1.6851195457839858,5.627762113582395,-0.7051988829486632,,,,,,,,2.1100656415882835,9.726899198804444,2.5803138072491505,9.933493521257516,4.693950924382107,10.113267609219786,3.2246872871825385,10.0,3.494686253821786,3.2246872871825385,True,7.0;10.0,3.23967719051618,10.0,3.563888709100178,3.23967719051618,True,7.0;10.0,3.251625929031349,10.0,3.952087640172989,3.251625929031349,True,7.0;10.0,Gaia_DR3,DCEP,,FUNDAMENTAL,2.6959188899975404,,ZTF J202048.56+294636.3,cC*,,,,True,False,False,True
