R_kpc,n,mean_vphi_kms,sigma_R_kms,sigma_phi_kms,sigma_z_kms,mean_vr_kms,mean_vz_kms,dln_sigmaR2_dR_per_kpc
5.0,242,182.07578400896062,82.12223789210371,51.58330242831998,55.11696904070347,-4.063532432495496,1.9825807579183632,-0.2627584489615114
5.5,290,183.4244755425646,71.33358394592595,45.26604910507546,54.11390531499885,-3.6058583721837514,2.1307531742423604,-0.2627584489615114
6.0,315,188.16398920556512,66.22016929145693,44.83772577504912,55.105384279833316,2.7002386142876356,1.434897015558554,-0.2627584489615114
6.5,252,186.80964331352664,66.83382389313034,45.23937484532145,50.410373378581134,5.839762568371792,1.5084025409679704,-0.2627584489615114
7.0,145,178.52221724901054,64.09528907370867,42.80760618445213,47.434466823196566,4.740323891171539,0.8557527552032809,-0.2627584489615114
7.5,135,178.66249144837457,55.86124857046298,44.75547924911976,47.63257783196844,10.94379278218649,-6.538020466220998,-0.2627584489615114
8.0,367,198.39621672465793,40.870876851557846,41.8250095154641,29.824202060836114,3.8923267518589517,1.5901226981507002,-0.2627584489615114
8.5,446,213.87607484937288,34.07777921947827,31.928004334260738,18.522282357794037,1.452262184320316,-6.274018009980631,-0.2627584489615114
9.0,347,186.6489379357194,51.62862654689817,44.4088162259434,34.388839988180116,0.39210260762696025,-0.3195735275857661,-0.2627584489615114
9.5,276,189.56130950460192,47.856942600445386,42.58852746866292,27.45556438889674,-3.6419492733974015,-3.0433014675790213,-0.2627584489615114
10.0,301,205.4431172872199,43.79688620595454,34.19933285568744,22.722524753811328,-1.6045595441922869,1.3868751996942177,-0.2627584489615114
10.5,221,200.31450616429498,37.97355306554512,38.116539507059,25.0044078850997,-4.300217313451845,-0.5897423054418345,-0.2627584489615114
