scenario,zcut_kpc,hnu_kpc,decomposition,predictor,rho_detrended_rank,p_perm,p_maxT
z0.5_hnu3.0,0.5,3.0,mcgaugh2019,Rbirth_median_kpc,-0.08571428571428574,0.831858407079646,0.9641517924103795
z0.5_hnu3.0,0.5,3.0,mcgaugh2019,deltaR_guide_median_kpc,0.08571428571428574,0.831858407079646,0.9641517924103795
z0.5_hnu3.0,0.5,3.0,mcgaugh2019,abs_deltaR_guide_median_kpc,0.08571428571428574,0.831858407079646,0.9641517924103795
z0.5_hnu3.0,0.5,3.0,mcgaugh2019,outward_guide_fraction_gt1,0.48571428571428577,0.3222838858057097,0.4505274736263187
z0.5_hnu3.0,0.5,3.0,mcgaugh2019,inward_guide_fraction_gt1,-0.08571428571428574,0.831858407079646,0.9641517924103795
z0.5_hnu3.0,0.5,3.0,mcgaugh2019,inner_born_fraction_lt6,0.08571428571428574,0.831858407079646,0.9641517924103795
z0.5_hnu3.0,0.5,3.0,mcgaugh2019,guide_history_distance_time_median,0.08571428571428574,0.831858407079646,0.9641517924103795
z0.5_hnu3.0,0.5,3.0,mcgaugh2019,age_median_gyr,0.08571428571428574,0.831858407079646,0.9641517924103795
z0.5_hnu3.5,0.5,3.5,mcmillan17,Rbirth_median_kpc,-0.02857142857142859,0.9429028548572571,0.9874506274686266
z0.5_hnu3.5,0.5,3.5,mcmillan17,deltaR_guide_median_kpc,0.02857142857142859,0.9429028548572571,0.9874506274686266
z0.5_hnu3.5,0.5,3.5,mcmillan17,abs_deltaR_guide_median_kpc,0.02857142857142859,0.9429028548572571,0.9874506274686266
z0.5_hnu3.5,0.5,3.5,mcmillan17,outward_guide_fraction_gt1,0.4285714285714286,0.3977301134943253,0.5308234588270586
z0.5_hnu3.5,0.5,3.5,mcmillan17,inward_guide_fraction_gt1,-0.02857142857142859,0.9429028548572571,0.9874506274686266
z0.5_hnu3.5,0.5,3.5,mcmillan17,inner_born_fraction_lt6,0.02857142857142859,0.9429028548572571,0.9874506274686266
z0.5_hnu3.5,0.5,3.5,mcmillan17,guide_history_distance_time_median,0.02857142857142859,0.9429028548572571,0.9874506274686266
z0.5_hnu3.5,0.5,3.5,mcmillan17,age_median_gyr,0.02857142857142859,0.9429028548572571,0.9874506274686266
z0.5_hnu3.5,0.5,3.5,mcgaugh2019,Rbirth_median_kpc,-0.08571428571428574,0.8331083445827708,0.9636518174091295
z0.5_hnu3.5,0.5,3.5,mcgaugh2019,deltaR_guide_median_kpc,0.08571428571428574,0.8331083445827708,0.9636518174091295
z0.5_hnu3.5,0.5,3.5,mcgaugh2019,abs_deltaR_guide_median_kpc,0.08571428571428574,0.8331083445827708,0.9636518174091295
z0.5_hnu3.5,0.5,3.5,mcgaugh2019,outward_guide_fraction_gt1,0.48571428571428577,0.3295335233238338,0.4521273936303185
z0.5_hnu3.5,0.5,3.5,mcgaugh2019,inward_guide_fraction_gt1,-0.08571428571428574,0.8331083445827708,0.9636518174091295
z0.5_hnu3.5,0.5,3.5,mcgaugh2019,inner_born_fraction_lt6,0.08571428571428574,0.8331083445827708,0.9636518174091295
z0.5_hnu3.5,0.5,3.5,mcgaugh2019,guide_history_distance_time_median,0.08571428571428574,0.8331083445827708,0.9636518174091295
z0.5_hnu3.5,0.5,3.5,mcgaugh2019,age_median_gyr,0.08571428571428574,0.8331083445827708,0.9636518174091295
z1.0_hnu2.0,1.0,2.0,mcmillan17,Rbirth_median_kpc,-0.5734265734265737,0.053547322633868306,0.22353882305884706
z1.0_hnu2.0,1.0,2.0,mcmillan17,deltaR_guide_median_kpc,0.48251748251748255,0.11549422528873557,0.40662966851657417
z1.0_hnu2.0,1.0,2.0,mcmillan17,abs_deltaR_guide_median_kpc,0.5104895104895105,0.09639518024098795,0.3470826458677066
z1.0_hnu2.0,1.0,2.0,mcmillan17,outward_guide_fraction_gt1,0.2657342657342658,0.40352982350882455,0.871656417179141
z1.0_hnu2.0,1.0,2.0,mcmillan17,inward_guide_fraction_gt1,-0.13986013986013987,0.6632168391580421,0.991300434978251
z1.0_hnu2.0,1.0,2.0,mcmillan17,inner_born_fraction_lt6,0.25174825174825166,0.4359282035898205,0.8949552522373881
z1.0_hnu2.0,1.0,2.0,mcmillan17,guide_history_distance_time_median,0.4265734265734267,0.17059147042647868,0.5296235188240588
z1.0_hnu2.0,1.0,2.0,mcmillan17,age_median_gyr,0.21678321678321685,0.4926753662316884,0.9356532173391331
z1.0_hnu2.0,1.0,2.0,mcgaugh2019,Rbirth_median_kpc,-0.18881118881118883,0.5553722313884306,0.9654017299135044
z1.0_hnu2.0,1.0,2.0,mcgaugh2019,deltaR_guide_median_kpc,-0.14685314685314688,0.6466676666166692,0.9904504774761262
z1.0_hnu2.0,1.0,2.0,mcgaugh2019,abs_deltaR_guide_median_kpc,0.2727272727272729,0.38273086345682716,0.8511574421278936
z1.0_hnu2.0,1.0,2.0,mcgaugh2019,outward_guide_fraction_gt1,-0.6153846153846155,0.0375481225938703,0.16674166291685416
z1.0_hnu2.0,1.0,2.0,mcgaugh2019,inward_guide_fraction_gt1,0.7062937062937064,0.012049397530123494,0.0695965201739913
z1.0_hnu2.0,1.0,2.0,mcgaugh2019,inner_born_fraction_lt6,-0.2027972027972029,0.5125743712814359,0.9478026098695065
z1.0_hnu2.0,1.0,2.0,mcgaugh2019,guide_history_distance_time_median,0.4475524475524477,0.14414279286035697,0.4687765611719414
z1.0_hnu2.0,1.0,2.0,mcgaugh2019,age_median_gyr,0.6783216783216783,0.018249087545622718,0.09509524523773812
z1.0_hnu2.5,1.0,2.5,mcmillan17,Rbirth_median_kpc,-0.6643356643356645,0.02184890755462227,0.10354482275886205
z1.0_hnu2.5,1.0,2.5,mcmillan17,deltaR_guide_median_kpc,0.5454545454545456,0.06774661266936653,0.2657867106644668
z1.0_hnu2.5,1.0,2.5,mcmillan17,abs_deltaR_guide_median_kpc,0.6153846153846155,0.03644817759112044,0.16214189290535475
z1.0_hnu2.5,1.0,2.5,mcmillan17,outward_guide_fraction_gt1,0.2307692307692308,0.4735263236838158,0.9219039048047598
z1.0_hnu2.5,1.0,2.5,mcmillan17,inward_guide_fraction_gt1,-0.06293706293706296,0.8419079046047697,0.99990000499975
z1.0_hnu2.5,1.0,2.5,mcmillan17,inner_born_fraction_lt6,0.2377622377622378,0.4575771211439428,0.9139543022848857
z1.0_hnu2.5,1.0,2.5,mcmillan17,guide_history_distance_time_median,0.5874125874125875,0.047497625118744065,0.2031898405079746
z1.0_hnu2.5,1.0,2.5,mcmillan17,age_median_gyr,0.3426573426573427,0.26923653817309134,0.7171641417929103
z1.0_hnu2.5,1.0,2.5,mcgaugh2019,Rbirth_median_kpc,0.11888111888111891,0.7060146992650368,0.9959002049897505
z1.0_hnu2.5,1.0,2.5,mcgaugh2019,deltaR_guide_median_kpc,-0.41258741258741266,0.18364081795910203,0.5605719714014299
z1.0_hnu2.5,1.0,2.5,mcgaugh2019,abs_deltaR_guide_median_kpc,0.020979020979020952,0.9535023248837559,1.0
z1.0_hnu2.5,1.0,2.5,mcgaugh2019,outward_guide_fraction_gt1,-0.8181818181818185,0.0014999250037498126,0.010449477526123694
z1.0_hnu2.5,1.0,2.5,mcgaugh2019,inward_guide_fraction_gt1,0.8531468531468535,0.00034998250087495624,0.003649817509124544
z1.0_hnu2.5,1.0,2.5,mcgaugh2019,inner_born_fraction_lt6,-0.44755244755244755,0.14774261286935653,0.48272586370681464
z1.0_hnu2.5,1.0,2.5,mcgaugh2019,guide_history_distance_time_median,0.2377622377622378,0.4536273186340683,0.9137043147842608
z1.0_hnu2.5,1.0,2.5,mcgaugh2019,age_median_gyr,0.5594405594405595,0.06599670016499175,0.2551872406379681
z1.0_hnu3.0,1.0,3.0,mcmillan17,Rbirth_median_kpc,-0.6433566433566434,0.027148642567871608,0.12749362531873407
z1.0_hnu3.0,1.0,3.0,mcmillan17,deltaR_guide_median_kpc,0.5034965034965037,0.095995200239988,0.35258237088145594
z1.0_hnu3.0,1.0,3.0,mcmillan17,abs_deltaR_guide_median_kpc,0.6223776223776224,0.03529823508824559,0.15264236788160593
z1.0_hnu3.0,1.0,3.0,mcmillan17,outward_guide_fraction_gt1,0.09090909090909093,0.783610819459027,0.999550022498875
z1.0_hnu3.0,1.0,3.0,mcmillan17,inward_guide_fraction_gt1,0.09090909090909094,0.7744612769361532,0.999550022498875
z1.0_hnu3.0,1.0,3.0,mcmillan17,inner_born_fraction_lt6,0.1328671328671329,0.6808659567021649,0.9945002749862507
z1.0_hnu3.0,1.0,3.0,mcmillan17,guide_history_distance_time_median,0.6573426573426574,0.02304884755762212,0.11019449027548622
z1.0_hnu3.0,1.0,3.0,mcmillan17,age_median_gyr,0.4615384615384616,0.13009349532523373,0.447877606119694
z1.0_hnu3.0,1.0,3.0,mcgaugh2019,Rbirth_median_kpc,0.1258741258741259,0.6922653867306635,0.9951002449877506
z1.0_hnu3.0,1.0,3.0,mcgaugh2019,deltaR_guide_median_kpc,-0.38461538461538464,0.21693915304234787,0.6259687015649218
z1.0_hnu3.0,1.0,3.0,mcgaugh2019,abs_deltaR_guide_median_kpc,0.013986013986013937,0.9716514174291285,1.0
z1.0_hnu3.0,1.0,3.0,mcgaugh2019,outward_guide_fraction_gt1,-0.7902097902097904,0.0028998550072496373,0.019249037548122593
z1.0_hnu3.0,1.0,3.0,mcgaugh2019,inward_guide_fraction_gt1,0.8531468531468535,0.0007999600019999,0.004999750012499375
z1.0_hnu3.0,1.0,3.0,mcgaugh2019,inner_born_fraction_lt6,-0.46853146853146854,0.12904354782260888,0.43317834108294584
z1.0_hnu3.0,1.0,3.0,mcgaugh2019,guide_history_distance_time_median,0.27272727272727276,0.3926803659817009,0.8581070946452677
z1.0_hnu3.0,1.0,3.0,mcgaugh2019,age_median_gyr,0.5664335664335665,0.060096995150242485,0.2405879706014699
z1.0_hnu3.5,1.0,3.5,mcmillan17,Rbirth_median_kpc,-0.5034965034965035,0.09914504274786261,0.3609819509024549
z1.0_hnu3.5,1.0,3.5,mcmillan17,deltaR_guide_median_kpc,0.41258741258741255,0.18654067296635168,0.5579221038948052
z1.0_hnu3.5,1.0,3.5,mcmillan17,abs_deltaR_guide_median_kpc,0.48251748251748267,0.11324433778311084,0.400029998500075
z1.0_hnu3.5,1.0,3.5,mcmillan17,outward_guide_fraction_gt1,0.020979020979020945,0.9540522973851308,1.0
z1.0_hnu3.5,1.0,3.5,mcmillan17,inward_guide_fraction_gt1,0.13286713286713292,0.6783660816959152,0.9923503824808759
z1.0_hnu3.5,1.0,3.5,mcmillan17,inner_born_fraction_lt6,-0.006993006993007057,0.9742512874356282,1.0
z1.0_hnu3.5,1.0,3.5,mcmillan17,guide_history_distance_time_median,0.5734265734265734,0.05489725513724314,0.23343832808359583
z1.0_hnu3.5,1.0,3.5,mcmillan17,age_median_gyr,0.38461538461538464,0.21628918554072296,0.6237188140592971
z1.0_hnu3.5,1.0,3.5,mcgaugh2019,Rbirth_median_kpc,0.23076923076923075,0.46887655617219137,0.9221538923053847
z1.0_hnu3.5,1.0,3.5,mcgaugh2019,deltaR_guide_median_kpc,-0.47552447552447563,0.1224438778061097,0.41222938853057345
z1.0_hnu3.5,1.0,3.5,mcgaugh2019,abs_deltaR_guide_median_kpc,-0.07692307692307696,0.8086595670216489,0.9996000199990001
z1.0_hnu3.5,1.0,3.5,mcgaugh2019,outward_guide_fraction_gt1,-0.8251748251748253,0.0017499125043747813,0.010299485025748713
z1.0_hnu3.5,1.0,3.5,mcgaugh2019,inward_guide_fraction_gt1,0.8531468531468535,0.000599970001499925,0.004999750012499375
z1.0_hnu3.5,1.0,3.5,mcgaugh2019,inner_born_fraction_lt6,-0.5104895104895105,0.09194540272986351,0.3434328283585821
z1.0_hnu3.5,1.0,3.5,mcgaugh2019,guide_history_distance_time_median,0.1818181818181818,0.5729213539323034,0.9732513374331283
z1.0_hnu3.5,1.0,3.5,mcgaugh2019,age_median_gyr,0.5034965034965035,0.09904504774761262,0.35788210589470526
z1.5_hnu2.0,1.5,2.0,mcmillan17,Rbirth_median_kpc,-0.3006993006993008,0.33798310084495775,0.8068596570171491
z1.5_hnu2.0,1.5,2.0,mcmillan17,deltaR_guide_median_kpc,0.3566433566433567,0.2548372581370931,0.6841657917104145
z1.5_hnu2.0,1.5,2.0,mcmillan17,abs_deltaR_guide_median_kpc,0.23776223776223782,0.4536273186340683,0.9128543572821359
z1.5_hnu2.0,1.5,2.0,mcmillan17,outward_guide_fraction_gt1,0.19580419580419586,0.5344232788360582,0.9569521523923804
z1.5_hnu2.0,1.5,2.0,mcmillan17,inward_guide_fraction_gt1,-0.16783216783216792,0.5958202089895506,0.9779511024448777
z1.5_hnu2.0,1.5,2.0,mcmillan17,inner_born_fraction_lt6,0.15384615384615385,0.6406179691015449,0.9866006699665016
