R_kpc,n,mean_vphi_kms,sigma_R_kms,sigma_phi_kms,sigma_z_kms,mean_vr_kms,mean_vz_kms,dln_sigmaR2_dR_per_kpc
5.0,155,187.52264220004852,81.80292001063857,50.56553834430395,54.98458648132316,-2.5674997020941355,0.5242295167092563,-0.3799534175794541
5.5,214,187.11143389037136,69.13237074604166,44.710110346952604,55.86422582721133,-3.2418075130390998,1.0210293247185354,-0.3799534175794541
6.0,227,192.5241758864372,68.76850012062808,44.465328673656735,55.49485360462521,2.5705832663555146,-1.3362145274787767,-0.3799534175794541
6.5,168,188.44836187842594,65.58546932345968,45.5311308251621,51.722751394274084,4.381771061670983,2.280861965566583,-0.3799534175794541
7.0,87,180.5280074060687,62.009274086705744,45.92443633951945,45.97544145029651,-1.738386359628412,3.0868614332073903,-0.3799534175794541
7.5,85,184.76979126891703,53.11453763396167,45.286579418267706,41.87676098764403,15.70526204076121,-11.769180247282636,-0.3799534175794541
8.0,242,214.95454870014495,25.504073023856574,33.16199475647952,21.299146515029765,1.4208810397027316,2.856324936331383,-0.3799534175794541
8.5,322,227.44198529568155,24.74295696973494,14.858173657163663,11.613682794562992,1.340182240490893,-5.3074890993240915,-0.3799534175794541
9.0,200,196.9633837940467,44.866943684671924,45.46150631765641,29.580339140805897,4.126031713470327,-1.0782773167611752,-0.3799534175794541
9.5,159,198.39522879914833,43.81935478017158,41.591928026450134,23.70017240378325,1.1373596882624346,-2.173006247540179,-0.3799534175794541
10.0,180,219.19935575451666,30.771584329663135,22.994647597034163,16.687262872403902,2.900423998593214,1.968298778559398,-0.3799534175794541
10.5,130,217.21455891398318,34.478694984244584,25.27146514614956,17.99501248111044,-0.9491063557752761,3.914214487221323,-0.3799534175794541
