lookback_time_gyr,frankel_mass_fraction_of_present_lowalpha,frankel_sfr_fraction_per_gyr,frankel_Rhalf_birth_kpc,frankel_Rhalf_migrated_at_epoch_kpc
0.0,1.0000004225354802,0.09298489821657784,5.236876967095852,5.886971299678691
0.5,0.9528262676023365,0.09579015470021149,5.151042918454936,5.7645049363371665
1.0,0.9041303133604418,0.09907452169875941,5.065208869814019,5.643948455812001
1.5,0.85366896909533,0.10285501996274195,4.979374821173104,5.525052263905287
2.0,0.8011888158939933,0.10715393869810137,4.936457796852645,5.407602211074225
2.5,0.7464239695861176,0.11199886137727363,4.85062374821173,5.291368168788151
3.0,0.6890934093959402,0.1174227762394993,4.807706723891271,5.17630210805902
3.5,0.6288982310725025,0.12346426735355284,4.721872675250359,5.0622477314823096
4.0,0.5655187848604063,0.1301677839559215,4.6789556509298995,4.949090048777685
4.5,0.4986116593981576,0.1375839874238821,4.593121602288986,4.8369400829680105
5.0,0.4278064725707021,0.14577017674597118,4.550204577968527,4.725789928185125
5.5,0.3527024295575444,0.15479079475474036,4.464370529327613,4.616010964707491
6.0,0.2728646068487648,0.16471801872540423,4.421453505007155,4.5079855700188745
6.5,0.18781991887187233,0.17563244025153416,4.335619456366235,4.402606810218077
7.0,0.0970527210909284,0.18762384061446852,4.292702432045778,4.300104261125968
7.4,0.019942134493311055,0.19805912147844562,4.249785407725325,4.218415858970541
