R_kpc,stars_weight,azimuth_vertical_cells,age_median_gyr,old_fraction_gt8,FeH_median,aFe_median,ecc_median,zmax_median_kpc,radial_excursion_median_kpc,history_anomaly_strength,kinematic_anomaly_strength,Vobs_eilers_kms,Vbar_mcmillan17_kms,Vhalo_mcmillan17_kms,Vtotal_mcmillan17_kms,Vres2_kms2,Vres_equiv_kms,gres_kms2_per_kpc,mass_discrepancy_fraction_v2,baryon_fraction_v2,model_halo_minus_empirical_residual_kms,g_b_kms2_per_kpc,chi_interaction,chi_interaction_v2
5.0,230,9,8.486390853020263,0.5608695652173913,-1.262710525610686,0.3939775361090246,0.4516596453547572,1.5479997497657945,4.044632032768888,2.2232445868634523,1.123809313256673,234.3074,185.6118180253897,129.0627223095415,226.0728494990944,20448.210704069614,142.99724019738846,4089.642140813922,0.3724631413699854,0.6275368586300145,-13.934517887846964,6890.349398138077,0.5935318957728084,0.5935318957728084
5.5,445,17,9.540440204649675,0.7235955056179775,-1.148919427322527,0.3866784819290997,0.4368468335372428,2.161449412997149,4.621518546370058,1.5113056244288074,1.3156588344914937,233.4574,185.38222216590256,133.52280935230752,228.46205136192907,20135.789319591942,141.90063185057332,3661.052603562172,0.3694480422648523,0.6305519577351477,-8.3778224982658,6248.466962757829,0.5859121325891313,0.5859121325891313
6.0,705,17,8.246286509780191,0.5404255319148936,-1.3203397051043142,0.3758217930742284,0.560764145799914,2.326160125221333,6.214799816859569,1.0799958787832675,1.226713091021041,232.6074,184.6548424366739,137.5991153152868,230.284448825496,20008.791699447134,141.45243617360268,3334.798616574523,0.3698058773685453,0.6301941226314546,-3.853320858315868,5682.901805885478,0.5868126408802014,0.5868126408802012
6.5,472,18,9.259070896845373,0.6716101694915254,-1.3942011033801311,0.3917537423108505,0.5370592283885967,1.8892495008791057,5.117345440489948,1.5797541121888952,2.5105493278734063,231.7574,183.46774927629227,141.34036613888637,231.59774205458675,20051.07743025156,141.6018270724342,3084.781143115624,0.3733107481074024,0.6266892518925975,-0.2614609335478235,5178.525388385913,0.5956871718798534,0.5956871718798534
7.0,623,9,9.307458981779416,0.7784911717495987,-0.9277263172665698,0.3779063468629208,0.2054872625880494,2.705446268281125,2.390252727560023,0.0,0.0,230.9074,181.8778898422391,144.78645148515696,232.47082257162808,20238.66056129433,142.26264640197837,2891.2372230420474,0.3795823971986546,0.6204176028013454,2.523805083178587,4725.652401923667,0.6118175813915374,0.6118175813915374
7.5,523,16,9.86369287957918,0.7743785850860421,-1.096799942216928,0.3428829933084594,0.3512127562251362,2.553630793791616,4.29051470243465,0.5323168962676205,0.2479895966196514,230.0574,179.9525725304046,147.9705201310686,232.9768297238365,20543.478934449467,143.32996523563895,2739.130524593262,0.3881517749738396,0.6118482250261603,4.640554895429659,4317.723781374738,0.6343922546432877,0.6343922546432879
8.0,636,20,9.18315731828825,0.6037735849056604,-0.9370863405656604,0.3019505750161717,0.3626553049730721,1.2383145744468478,4.585866177255595,2.3096447271297174,1.100136038207138,229.2074,177.75907565631945,150.92047063068043,233.18507120648863,20937.7432365709,144.69880178001094,2617.2179045713624,0.3985406273351652,0.6014593726648348,6.221668850669488,3949.786122273638,0.6626226898242273,0.6626226898242273
8.5,904,27,8.39781079952145,0.5320796460176991,-1.0336873808950753,0.2971323336679559,0.4418954917430187,1.9160928659159195,6.441373666411535,2.0705286991200547,1.1055366058596343,228.3574,175.35996517009454,153.6600393197601,233.1577257313319,21395.984750303232,146.27366389854063,2517.1746765062626,0.4103005512178055,0.5896994487821945,7.386375421219469,3617.778515818444,0.6957790991073998,0.6957790991073998
9.0,651,25,8.290382976503384,0.554531490015361,-1.1931503330211488,0.3350164396958656,0.5547270861251778,2.128203184674246,7.183396700187645,1.7818766669294486,1.5292831093198682,227.5074,172.81244205921985,156.2096121262026,232.9497436167077,21895.47692428878,147.97120302372613,2432.83076936542,0.4230223902376263,0.5769776097623737,8.238409102476481,3318.2377922745795,0.733169507932633,0.733169507932633
9.5,474,19,7.791300727842523,0.5,-1.0907007957203194,0.2860555287609668,0.5414572120302577,2.1255149251861005,7.574701153687022,1.2950706945919508,0.961125716235365,226.6574,170.166340367629,158.58684200213057,232.60775965199545,22416.993580648235,149.72305627607338,2359.683534805077,0.4363525940905726,0.5636474059094274,8.863785726057188,3048.0614099065015,0.7741587906122469,0.7741587906122469
10.0,378,14,7.337718915575868,0.4444444444444444,-0.794248628541358,0.2543293844681221,0.3874487398518952,1.6388139193280282,5.593945398761519,1.6008334792001833,0.9944309096467572,225.8074,167.46240639728975,160.8071264557494,232.1693120878089,22945.324338388968,151.47714130649868,2294.532433838897,0.4500055401331125,0.5499944598668876,9.329985149250716,2804.365755637103,0.8182001328559295,0.8182001328559294
10.5,192,7,5.99891920552361,0.2864583333333333,-0.7405800864077957,0.2144656227278568,0.3102787529311672,1.3496823295927702,4.9661118898721375,0.8023064534934733,0.5011442318578331,224.9574,164.73352946925465,162.88398238520344,231.66425587271996,23468.69608336221,153.19496102470933,2235.113912701163,0.4637547737436299,0.5362452262563702,9.68902136049411,2584.48911727598,0.8648184655762629,0.8648184655762629
