R_kpc,stars_weight,cells,age_median_gyr,old_fraction_gt8,FeH_median,aFe_median,ecc_median,zmax_median_kpc,radial_excursion_median_kpc,Vobs_mcgaugh_kms,Vobs_err_hi_kms,Vobs_err_lo_kms,Vbar_mcgaugh_kms,Vbulge_kms,Vdisk_kms,Vgas_kms,Vc_model_mcgaugh_kms,Vres2_kms2,Vres_equiv_kms,mass_discrepancy_fraction_v2,gres_kms2_per_kpc,g_b_kms2_per_kpc,chi_interaction,chi_interaction_v2
5.0,230,9,8.486390853020263,0.5608695652173913,-1.262710525610686,0.3939775361090246,0.4516596453547572,1.5479997497657945,4.044632032768888,224.07,5.64,5.26,202.2578427631444,105.20203735144312,172.4528404074703,-9.942203565365029,229.46046519524617,9299.129940799168,96.43199645760303,0.1852144592595252,1859.8259881598335,8181.646991840168,0.22731682141929377,0.2273168214192938
5.5,445,17,9.540440204649675,0.7235955056179775,-1.148919427322527,0.3866784819290997,0.4368468335372428,2.161449412997149,4.621518546370058,229.1936170212766,4.318723404255318,5.162127659574468,199.17013117357575,100.30836225641026,171.7529641025641,10.054821641025644,229.6040071794872,12860.972931596223,113.40622968601076,0.2448323421521534,2338.3587148356773,7212.498391218068,0.32420925288286523,0.3242092528828652
6.0,705,17,8.246286509780191,0.5404255319148936,-1.3203397051043142,0.3758217930742284,0.560764145799914,2.326160125221333,6.214799816859569,238.4930612244898,5.996326530612241,4.922040816326531,208.2128157933805,96.0324839487937,184.3606715903496,11.81857119645495,239.9795765632693,13526.363591620022,116.302895886646,0.2378096977833571,2254.3939319366705,7225.4294434347,0.31200829647365785,0.3120082964736578
6.5,472,18,9.259070896845373,0.6716101694915254,-1.3942011033801311,0.3917537423108505,0.5370592283885967,1.8892495008791057,5.117345440489948,239.749,8.9376,4.179000000000001,215.39772933508385,92.2647376,194.1291236923077,13.980414461538468,248.60992061538465,11083.401198289968,105.27773363009848,0.1928232707968174,1705.1386458907643,7137.874123493853,0.2388860627674016,0.23888606276740162
7.0,623,9,9.307458981779416,0.7784911717495987,-0.9277263172665698,0.3779063468629208,0.2054872625880494,2.705446268281125,2.390252727560023,243.1904081632653,6.7155102040816335,4.289183673469387,208.6892912644165,88.90633265749457,187.7717378711079,19.71217429398986,244.8273678493845,15590.354334171105,124.86134043077988,0.2636107414057487,2227.1934763101576,6221.60289834921,0.35797743968858947,0.35797743968858947
7.5,523,16,9.86369287957918,0.7743785850860421,-1.096799942216928,0.3428829933084594,0.3512127562251362,2.553630793791616,4.29051470243465,243.13066666666668,3.9933333333333336,4.035333333333333,204.5271700343554,85.89053229166667,184.88790625,-16.26425937499999,242.05662500000005,17281.15779151566,131.45781753671275,0.2923434405706907,2304.154372202088,5577.515104301618,0.41311486013279025,0.4131148601327903
8.0,636,20,9.18315731828825,0.6037735849056604,-0.9370863405656604,0.3019505750161717,0.3626553049730721,1.2383145744468478,4.585866177255595,234.3875675675676,2.9697297297297296,2.4445945945945944,193.64970209484915,83.18583868149325,174.5150357426529,0.4322312946783171,235.19828514694203,17437.32470881723,132.05046273609656,0.3174027687064498,2179.665588602153,4687.525890177978,0.46499275730280704,0.46499275730280715
8.5,904,27,8.39781079952145,0.5320796460176991,-1.0336873808950753,0.2971323336679559,0.4418954917430187,1.9160928659159195,6.441373666411535,230.8893220338983,2.3486440677966094,1.9889830508474584,189.15084600340103,80.69439490445859,168.89473885350318,25.543852229299365,233.5646433121019,17531.836485470856,132.4078414802947,0.3288665591577103,2062.568998290689,4209.18147574145,0.4900166481720453,0.4900166481720453
9.0,651,25,8.290382976503384,0.554531490015361,-1.1931503330211488,0.3350164396958656,0.5547270861251778,2.128203184674246,7.183396700187645,231.6765306122449,1.3528571428571414,1.563061224489794,187.01178762995647,78.44325437433407,166.0133306499349,35.480606404640696,233.54261134130465,18700.606123974503,136.750159502556,0.3484107939555193,2077.845124886056,3885.9343013946605,0.5347092780596724,0.5347092780596723
9.5,474,19,7.791300727842523,0.5,-1.0907007957203194,0.2860555287609668,0.5414572120302577,2.1255149251861005,7.574701153687022,231.99346938775508,0.5730612244897959,0.5791836734693876,183.1579673051412,76.35612284834853,163.05370001183852,33.60337188350894,231.93375612643544,20274.12885121609,142.3872496090015,0.3766957175247327,2134.1188264437988,3531.2464197211757,0.6043528467810261,0.6043528467810262
10.0,378,14,7.337718915575868,0.4444444444444444,-0.794248628541358,0.2543293844681221,0.3874487398518952,1.6388139193280282,5.593945398761519,231.3088,0.4624,0.4296,179.43145367680737,74.45087528786537,160.35144774136404,30.468349867139064,230.35592205491588,21308.11438886773,145.97299198436582,0.3982545153380422,2130.811438886773,3219.564656857227,0.661832162416257,0.661832162416257
10.5,192,7,5.99891920552361,0.2864583333333333,-0.7405800864077957,0.2144656227278568,0.3102787529311672,1.3496823295927702,4.9661118898721375,230.0559183673469,0.4048979591836735,0.4106122448979591,175.78263608384634,72.656632595217,157.8062750221435,26.565692648361384,228.79702037201065,22026.190427257432,148.41223139370095,0.4161717234408729,2097.732421643565,2942.8128712939006,0.7128324203370875,0.7128324203370874
