R_kpc,n_young,Vphi_young_median_kms,Vphi_young_bootstrap_se_kms,Vr_young_median_kms,Vz_young_median_kms
5.0,63,220.7751995681196,2.659624314035087,-16.563580752055362,-2.6627355771466643
5.5,148,226.30211717367038,1.8686060982909922,-17.575915926299828,-1.2566240603239063
6.0,188,231.99667109946284,0.8379663018944482,-14.29498661681631,-0.48257566929925244
6.5,195,235.192853187798,1.2906000845896246,-11.83762212409483,0.1235250540353236
7.0,160,232.98614824581938,0.9710445052834702,-13.250166769814339,-1.3640072076798675
7.5,122,226.9565616264012,1.339753068087134,-6.29843800758691,-0.574069562113252
8.0,212,228.7109003497131,0.970024986694896,-4.4197167061501155,2.786013241660541
8.5,83,224.7306988407392,2.6233478764738534,-8.86298920510519,1.6494764399275872
9.0,142,215.8170148198114,1.9815097385347338,-13.153071271352577,2.146903984493587
9.5,359,216.51495011536971,0.6940681818783583,-11.291165359414604,-0.5479798727470195
10.0,663,214.8443704014722,0.3474602152820545,-4.816259462732735,-0.1244134484043307
10.5,581,210.40987762190323,0.6294172884281766,-4.171190511049357,0.636887109373702
