R_kpc,n_young,Vphi_young_median_kms,Vphi_young_bootstrap_se_kms,Vr_young_median_kms,Vz_young_median_kms
5.0,52,221.68843416110266,2.3804160987644982,-14.796932857299826,-2.2823419961940203
5.5,124,225.06457881334023,1.6522331953155127,-15.366610750143831,-1.3957684027225818
6.0,167,231.1488832653825,0.7538326378782312,-13.706934398109194,-0.7084818618934701
6.5,166,233.19769457901873,1.1594270653446188,-11.467816738844288,0.0846926605983684
7.0,129,231.5410513064131,1.1044593670634866,-9.973863843817272,-1.2679273035478225
7.5,106,226.9565616264012,1.2575857203964778,-7.266116253740416,-0.654618448523565
8.0,190,228.24317996218429,0.7930707702004086,-4.809751436899749,2.665682299523624
8.5,70,226.3207618507767,1.9784507032667045,-8.409480470113788,3.5093734006491495
9.0,119,217.99814857376052,1.5698670880514838,-13.080927487254282,2.1387125844467056
9.5,337,216.6696856724947,0.6537796665584344,-11.926345659598756,-0.4916449623000669
10.0,640,214.83137768040658,0.343993078862002,-4.763078781744047,-0.16330671969765032
10.5,555,211.20451481312705,0.6261773472383398,-4.004657117762426,0.5813418449732898
