pulsar,x_pc,y_pc,z_pc,aGal_1e10_m_s2,aGal_err_1e10_m_s2,model_outlier_ge3sigma,modified_catalog_excluded,source,doi,sun_R_kpc,sun_z_kpc,distance_from_assumed_sun_kpc,a_moran_linear_pred_1e10,a_mcmillan_baryon_pred_1e10,a_mcmillan_total_pred_1e10,resid_moran_linear_1e10,resid_baryon_1e10,resid_total_1e10,zresid_baryon,zresid_total
J1017-7156,7620.6,-1270.9,-284.8,1.09,1.71,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0,1.4295769339213615,0.05505495404441774,-0.23931950668177138,-0.3793168587832159,1.0349450459555825,1.3293195066817716,1.469316858783216,0.7773798284688723,0.8592496250194246
J1022+1001,8450.4,-419.4,683.2,-0.643,0.32,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0,0.8369293638055721,-0.3634651127746402,-0.34949195687270185,-0.42627582457784446,-0.2795348872253598,-0.29350804312729817,-0.21672417542215555,-0.9172126347728068,-0.6772630481942361
J1125-6014,7547.9,-1385.6,42.7,-0.43,1.75,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0,1.536257484928878,0.11045706762356748,-0.1802486689125491,-0.32916238500285,-0.5404570676235675,-0.2497513310874509,-0.10083761499715,-0.14271504633568624,-0.05762149428408571
J1455-3330,7509.1,-343.2,310.8,1.72,1.01,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0,0.8400260055498289,0.14758360703232595,-0.06860569893781407,-0.07558804803672789,1.572416392967674,1.788605698937814,1.795588048036728,1.770896731621598,1.7778099485512158
J1600-3053,6838.9,-365.4,411.2,0.708,0.242,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0,1.4773346980288533,0.4161596723615258,0.08541190656246979,0.1130482019407831,0.2918403276384742,0.6225880934375302,0.5949517980592168,2.57267807205591,2.458478504376929
J1603-7202,7749.3,-352.4,-112.8,0.815,0.252,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0,0.590892621378877,0.1250119910579086,0.0009347380563969982,-0.011609551797274248,0.6899880089420913,0.814065261943603,0.8266095517972742,3.2304177061254085,3.2801966341161677
J1614-2230,7479.1,-83.0,257.3,0.984,0.653,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0,0.7792991081734921,0.2078809935760049,0.013943427900375359,0.03313398631713363,0.7761190064239951,0.9700565720996246,0.9508660136828664,1.485538395252105,1.456150097523532
J1640+2224,7480.8,556.8,688.1,0.833,0.448,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0,1.1468393479472183,-0.10817678833749733,-0.34596502926161565,-0.41584940968405765,0.9411767883374973,1.1789650292616156,1.2488494096840577,2.6316183688875348,2.787610289473343
J1713+0747,7081.5,570.0,576.4,-0.275,0.052,1,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0,1.389478035090876,0.19007418529126113,-0.14923990919867525,-0.17684669363009353,-0.46507418529126116,-0.12576009080132478,-0.09815330636990649,-2.418463284640861,-1.8875635840366634
J1738+0333,6653.6,770.9,547.3,0.062,1.03,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0,1.8210450461204968,0.40364321188316377,-0.029534594788472698,-0.048711744077819995,-0.34164321188316377,0.0915345947884727,0.11071174407782,0.08886853862958514,0.10748713017264078
J1741+1351,6799.8,1027.4,681.2,67.5,18.8,1,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0,1.8730318310162275,0.24065558317577537,-0.21347198068340228,-0.29315525775207724,67.25934441682422,67.71347198068341,67.79315525775208,3.6017804245044367,3.60601889668894
J1909-3744,7049.0,-5.0,-364.3,0.246,0.101,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0,1.2168239354976549,0.355671050161418,0.07872546982548455,0.11452613598384244,-0.10967105016141798,0.16727453017451543,0.13147386401615757,1.6561834670744102,1.30172142590255
J1933-6211,7173.3,-454.6,-556.6,-1.27,0.425,1,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0,1.2614323644175305,0.16036436102811416,-0.1511709087369452,-0.17097994523355528,-1.4303643610281143,-1.1188290912630547,-1.0990200547664448,-2.632539038266011,-2.585929540626929
J2043+1711,7396.6,1361.5,-403.6,323.0,194.0,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0,1.6365191016300424,0.08799564652594871,-0.27162264975074385,-0.4189913888189681,322.91200435347406,323.2716226497507,323.418991388819,1.6663485703595398,1.6671082030351494
J2129-5721,7720.0,-162.8,-393.8,7.14,0.7,1,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0,0.6493706799663819,-0.022969789767489646,-0.21702231788568993,-0.23532924795642154,7.162969789767489,7.35702231788569,7.375329247956421,10.510031882693843,10.536184639937746
J2145-0750,7813.8,340.8,-395.5,-0.117,0.105,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0,0.6553925007199887,-0.07365684432911243,-0.2565104079425475,-0.2967026291407343,-0.043343155670887576,0.1395104079425475,0.17970262914073432,1.3286705518337856,1.7114536108641365
J2222-0137,8035.2,164.2,-172.5,-0.294,0.125,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0,0.2954199214677311,-0.030170305901233527,-0.14634284657845684,-0.16398126164706447,-0.26382969409876644,-0.14765715342154315,-0.1300187383529355,-1.1812572273723452,-1.040149906823484
J2234+0611,7920.4,664.3,-627.7,-1.71,2.72,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0,0.9587335083327382,-0.25356005447514895,-0.39655454579037475,-0.4961243792785886,-1.456439945524851,-1.3134454542096252,-1.2138756207214114,-0.48288435816530334,-0.446277801735813
J2339-0533,8025.1,657.9,-1256.5,23.2,15.7,0,1,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0,1.4303190797860454,-0.7633410380453849,-0.5565512703691451,-0.7161048681484374,23.963341038045385,23.756551270369144,23.916104868148437,1.5131561318706461,1.5233187814107285
