pulsar,x_pc,y_pc,z_pc,aGal_1e10_m_s2,aGal_err_1e10_m_s2,model_outlier_ge3sigma,modified_catalog_excluded,source,doi,sun_R_kpc,sun_z_kpc,distance_from_assumed_sun_kpc,a_moran_linear_pred_1e10,a_mcmillan_baryon_pred_1e10,a_mcmillan_total_pred_1e10,resid_moran_linear_1e10,resid_baryon_1e10,resid_total_1e10,zresid_baryon,zresid_total
B1259-63,6661.5,-2150.5,-27.9,391.0,196.0,0,1,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0,2.650147337413526,0.3526662375731015,-0.25189687480539824,-0.4878402545079087,390.6473337624269,391.2518968748054,391.4878402545079,1.996183147320436,1.9973869400740198
B1534+12,7532.5,212.1,721.6,0.106,0.313,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0,1.01227428101281,-0.18323309994048165,-0.3774032628605348,-0.43030873210379916,0.28923309994048163,0.4834032628605348,0.5363087321037991,1.544419370161453,1.7134464284466426
B1913+16,5486.2,3137.1,165.9,-4.74,0.15,1,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0,4.15788475790275,0.691259597596386,-0.4905197780966315,-0.8947329611534086,-5.431259597596386,-4.249480221903369,-3.8452670388465915,-28.32986814602246,-25.63511359231061
J0348+0432,9403.9,-74.6,-933.8,-5.4,18.2,0,1,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0,1.5175456533495124,-0.035901915688497876,0.011609758898419573,0.004157550400583721,-5.364098084311502,-5.41160975889842,-5.404157550400584,-0.29734119554386923,-0.29693173353849367
J0437-4715,8155.4,-111.16,-83.4,-0.122,0.164,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0,0.14930929508908702,-0.02482256444777,-0.08857004825460618,-0.10225823772148868,-0.09717743555222999,-0.033429951745393816,-0.01974176227851132,-0.20384116917923056,-0.12037659925921537
J0613-0200,9067.1,-554.5,-156.3,-0.141,0.532,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0,1.032724721307667,0.2608644601427528,0.08779460245652,0.08990354296470784,-0.4018644601427528,-0.22879460245652,-0.23090354296470783,-0.43006504221150377,-0.43402921609907485
J0737-3039A/B,8429.1,-665.3,-36.1,-1.54,11.3,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0,0.7013787208063841,0.02539231426856507,-0.07386221550158525,-0.1371161063936741,-1.565392314268565,-1.4661377844984147,-1.402883893606326,-0.12974670659278006,-0.12414901713330317
J0740+6620,8984.1,504.0,591.0,0.14,1.91,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0,1.0965982901682814,-0.009845614567157296,-0.0764200168317994,-0.1028193682902586,0.1498456145671573,0.2164200168317994,0.24281936829025863,0.11330890933602063,0.12713055931427153
J0751+1807,9325.5,-504.7,527.6,-0.8,2.9,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0,1.3332006975695738,0.2178512702772137,0.06722110009704527,0.07369328384054946,-1.0178512702772138,-0.8672211000970453,-0.8736932838405496,-0.29904175865415356,-0.30127354615191365
J1012+5307,8622.6,179.4,677.4,0.224,0.685,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0,0.8131997786522076,-0.31335032582317146,-0.2765511140818223,-0.32754554693916155,0.5373503258231714,0.5005511140818223,0.5515455469391616,0.7307315534041201,0.8051759809330825
