pulsar,x_pc,y_pc,z_pc,aGal_1e10_m_s2,aGal_err_1e10_m_s2,model_outlier_ge3sigma,modified_catalog_excluded,source,doi,sun_R_kpc,sun_z_kpc,distance_from_assumed_sun_kpc,a_moran_linear_pred_1e10,a_mcmillan_baryon_pred_1e10,a_mcmillan_total_pred_1e10,resid_moran_linear_1e10,resid_baryon_1e10,resid_total_1e10,zresid_baryon,zresid_total
J1640+2224,7480.8,556.8,688.1,0.833,0.448,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0208,1.1344814542336075,-0.09195987559838698,-0.31636613458047247,-0.3840657686763379,0.924959875598387,1.1493661345804724,1.217065768676338,2.5655494075456975,2.7166646622239687
J1713+0747,7081.5,570.0,576.4,-0.275,0.052,1,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0208,1.3809792214222492,0.20317889012915755,-0.1252253797744505,-0.1508930363912235,-0.4781788901291576,-0.14977462022554952,-0.12410696360877652,-2.880281158183645,-2.3866723770918563
J1738+0333,6653.6,770.9,547.3,0.062,1.03,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0208,1.8149022067318124,0.41362393886324156,-0.010434249777199344,-0.02808224636839884,-0.35162393886324156,0.07243424977719934,0.09008224636839884,0.07032451434679547,0.0874584916198047
J1741+1351,6799.8,1027.4,681.2,67.5,18.8,1,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0208,1.8655677312818213,0.2520890856516196,-0.19278796053957886,-0.27089596170870983,67.24791091434838,67.69278796053958,67.7708959617087,3.6006802106669986,3.60483489158025
J1909-3744,7049.0,-5.0,-364.3,0.246,0.101,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0208,1.223212168840713,0.3448933829687379,0.05735357513175382,0.09139323718185506,-0.0988933829687379,0.18864642486824618,0.15460676281814495,1.8677863848341205,1.5307600279024252
J1933-6211,7173.3,-454.6,-556.6,-1.27,0.425,1,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0208,1.270747343101689,0.1461956667535082,-0.17723648584398513,-0.19916212367433583,-1.4161956667535083,-1.0927635141560148,-1.070837876325664,-2.571208268602388,-2.5196185325309743
J2043+1711,7396.6,1361.5,-403.6,323.0,194.0,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0208,1.6417725695113805,0.08037098368580445,-0.2866823502688794,-0.4348171118360682,322.9196290163142,323.2866823502689,323.4348171118361,1.6664261976817984,1.66718977892699
J2129-5721,7720.0,-162.8,-393.8,7.14,0.7,1,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0208,0.6621910600423424,-0.0402998675311219,-0.250766373293597,-0.27166107471544015,7.180299867531121,7.390766373293597,7.41166107471544,10.558237676133711,10.588087249593485
J2145-0750,7813.8,340.8,-395.5,-0.117,0.105,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0208,0.6681502600463464,-0.08994077379515121,-0.2889494214921097,-0.3312768127641906,-0.027059226204848796,0.17194942149210973,0.21427681276419058,1.6376135380200927,2.0407315501351486
J2222-0137,8035.2,164.2,-172.5,-0.294,0.125,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0208,0.3080285214067041,-0.046226100540863506,-0.1818024208710989,-0.20150339940830583,-0.24777389945913647,-0.11219757912890108,-0.09249660059169415,-0.8975806330312086,-0.7399728047335532
J2234+0611,7920.4,664.3,-627.7,-1.71,2.72,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0208,0.9724787401275159,-0.2690835098006229,-0.4271326451427049,-0.5283932160224196,-1.4409164901993772,-1.282867354857295,-1.1816067839775803,-0.4716424098740055,-0.43441425881528684
J2339-0533,8025.1,657.9,-1256.5,23.2,15.7,0,1,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0208,1.448625455388659,-0.7791616355361997,-0.5916011178430428,-0.7532063338291726,23.979161635536197,23.791601117843044,23.953206333829172,1.515388606232041,1.5256819320910302
