R_bin_kpc,absZ_bin_kpc,phi_bin_deg,Rbirth_median_kpc_anom,deltaR_present_birth_median_kpc_anom,outward_fraction_gt1_anom,inward_fraction_gt1_anom,inner_born_fraction_lt6_anom,age_median_gyr_anom,FeH_median_anom,aFe_median_anom,n_young,Vr_young_median_kms,Vphi_young_median_kms,Vz_young_median_kms,acirc_proxy_young_median_kms2perkpc,teff_young_median_K,distance_young_median_kpc,Vr_young_median_kms_anom,Vphi_young_median_kms_anom,Vz_young_median_kms_anom,acirc_proxy_young_median_kms2perkpc_anom
8.0,0.0,165.0,-0.7560114397048188,0.873020406813505,-0.0217391304347825,-0.0108695652173913,0.0072463768115941,1.0040531657640663,-0.0253516190942741,0.0216113229635156,123,-3.8941349638480744,227.36399353296025,3.493112003787069,6391.975906873976,16382.845,1.6461586,2.2094186288273514,-1.9067332057782664,0.6402134279749974,0.0
8.5,0.0,165.0,1.5501893003339715,-1.4716987282916263,-0.1072497505819753,0.0562021948786165,-0.1641170601928832,-1.7264242578941706,0.0220357868474419,-0.0109131996217895,26,-20.586978433847456,210.401564536594,5.570268821061338,5001.975266177711,11658.1655,1.06793395,-5.5767517209539985,-13.181187537912933,4.211801399303726,-647.9915110995771
8.5,0.0,180.0,-1.5501893003339715,1.4716987282916263,0.1072497505819753,-0.0562021948786165,0.1641170601928833,1.7264242578941706,-0.0220357868474419,0.0109131996217895,6,8.477049733568665,221.68916997236295,0.5795058196960663,5490.299938358026,12113.560000000001,0.7705689250000001,23.487276446462122,-1.893582102143995,-0.7789616020615446,-159.66683891926186
10.0,0.25,165.0,-0.6549996839608223,0.7669329353230463,0.0115384615384615,-0.1105769230769231,-0.0003205128205128,0.0071098307581785,0.0515317030488368,-0.0211728823577174,12,-7.098545739279209,214.31030865141395,0.6274089557210263,4487.064785311111,11002.572,2.76528285,0.0,5.760557400200241,0.0,244.36356927161887
10.0,0.25,180.0,0.6549996839608223,-0.7669329353230463,-0.0115384615384615,0.110576923076923,0.0003205128205128,-0.0071098307581793,-0.0515317030488368,0.0211728823577174,9,12.494553719516338,199.568254671816,-0.45554192203386484,3848.3426382084517,10706.484,2.4864517,19.593099458795546,-8.981496579397714,-1.082950877754891,-394.35857783104075
10.0,0.5,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,11.797932050092026,209.10097123422344,-10.33725639227664,4249.523523229185,10828.583,2.6111133,0.0,0.0,0.0,0.0
10.5,0.25,165.0,-0.3450678092179657,0.4145817584932452,0.0924324324324324,-0.0508108108108107,0.0059459459459459,0.3160509344546209,-0.0036825779641789,-0.012754320149647,27,-10.29234382219357,214.80814505985163,-0.7777305367319343,4222.394196114918,11098.889,2.9944805000000003,-1.5625836905989132,2.4974380592923637,-2.1933540615428075,46.60984535863645
10.5,0.25,180.0,0.3450678092179657,-0.4145817584932452,-0.0924324324324324,0.0508108108108108,-0.0059459459459459,-0.3160509344546209,0.003682577964179,0.012754320149647,14,24.254368943085087,208.16030487849542,3.6877941032694195,3959.2048789735895,10836.103,3.08710475,32.98412907467974,-4.150402122063838,2.2721705784585464,-216.5794717826916
11.0,0.25,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,12.374604497193001,208.10571119747772,2.765959089364457,3838.855716879392,10814.159,3.4378408,11.247396049280445,-9.833772441407461,3.048765134778135,-359.6305765357761
11.5,0.5,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,10.121364273135207,222.2079904290015,-1.31890338233866,4228.180331061316,10462.188,3.9556574500000004,1.455531872017028,4.605830084549922,-2.3437586346632115,275.6798308274774
12.5,0.5,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,16.59725966831398,206.25580584608784,3.455166594430816,3325.947265669148,10876.866,5.0951016,4.899562661668046,-3.2844522606586395,-0.6379805655415236,-123.49708364764183
