R_bin_kpc,absZ_bin_kpc,phi_bin_deg,Rbirth_median_kpc_anom,deltaR_present_birth_median_kpc_anom,outward_fraction_gt1_anom,inward_fraction_gt1_anom,inner_born_fraction_lt6_anom,age_median_gyr_anom,FeH_median_anom,aFe_median_anom,n_young,Vr_young_median_kms,Vphi_young_median_kms,Vz_young_median_kms,acirc_proxy_young_median_kms2perkpc,teff_young_median_K,distance_young_median_kpc,Vr_young_median_kms_anom,Vphi_young_median_kms_anom,Vz_young_median_kms_anom,acirc_proxy_young_median_kms2perkpc_anom
8.0,0.0,165.0,-0.7560114397048188,0.873020406813505,-0.0217391304347825,-0.0108695652173913,0.0072463768115941,1.0040531657640663,-0.0253516190942741,0.0216113229635156,134,-3.6823820577879354,227.90974376021046,3.5041365587890327,6428.525878813267,16415.8285,1.647681,6.35027411511728,-5.391522225205449,0.8165970303509504,-192.19296223567017
8.5,0.0,165.0,1.5501893003339715,-1.4716987282916263,-0.1072497505819753,0.0562021948786165,-0.1641170601928832,-1.7264242578941706,0.0220357868474419,-0.0109131996217895,33,-20.439308002281436,205.48556379498862,4.9597574665561055,4890.447430096141,11677.014,1.1813024,-5.523749613141078,-18.324949320487775,3.6012900447984943,-763.7057369362701
8.5,0.0,180.0,-1.5501893003339715,1.4716987282916263,0.1072497505819753,-0.0562021948786165,0.1641170601928833,1.7264242578941706,-0.0220357868474419,0.0109131996217895,6,8.477049733568665,221.68916997236295,0.5795058196960663,5490.299938358026,12113.560000000001,0.7705689250000001,23.39260812270902,-2.1213431431134495,-0.7789616020615446,-163.8532286743848
9.0,0.25,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,-4.075226607786153,208.73623634480768,-0.8274456598150353,4706.614089126101,10635.589,1.2905935,0.0,0.0,0.0,0.0
9.0,1.25,150.0,0.0,0.0,0.0,0.0,0.0,-0.4660574891683131,0.0,-0.0048939964981167,5,-12.583464540018047,200.37723435790213,37.43356582933446,4245.74766842714,11830.44,4.270988999999999,0.0,0.0,0.0,0.0
10.0,0.25,165.0,-0.6549996839608223,0.7669329353230463,0.0115384615384615,-0.1105769230769231,-0.0003205128205128,0.0071098307581785,0.0515317030488368,-0.0211728823577174,12,-7.098545739279209,214.31030865141395,0.6274089557210263,4487.064785311111,11002.572,2.76528285,0.0,5.760557400200241,-0.4785972457312502,244.36356927161887
10.0,0.25,180.0,0.6549996839608223,-0.7669329353230463,-0.0115384615384615,0.110576923076923,0.0003205128205128,-0.0071098307581793,-0.0515317030488368,0.0211728823577174,11,15.373693494495262,197.9377618984439,1.1060062014522765,3810.912833725839,10657.179,2.5516037999999996,22.47223923377447,-10.611989352769797,0.0,-431.7883823136535
10.0,0.5,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,11.797932050092026,209.10097123422344,-10.33725639227664,4249.523523229185,10828.583,2.6111133,0.0,0.0,0.0,0.0
10.5,0.25,165.0,-0.3450678092179657,0.4145817584932452,0.0924324324324324,-0.0508108108108107,0.0059459459459459,0.3160509344546209,-0.0036825779641789,-0.012754320149647,28,-10.514143980781501,212.32936355604778,-0.32552044664950397,4201.814833024576,11126.608,3.01893605,-1.3800823444724948,1.4100396052489828,-1.7222037449923406,69.56315496800107
10.5,0.25,180.0,0.3450678092179657,-0.4145817584932452,-0.0924324324324324,0.0508108108108108,-0.0059459459459459,-0.3160509344546209,0.003682577964179,0.012754320149647,17,24.2202066881301,205.4533649289115,3.3443325461829847,3857.814583632096,10961.771,3.0881133,33.354268324439104,-5.465959021887301,1.9476492478401481,-274.4370944244788
11.0,0.25,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,12.035136997233849,204.77260359902516,1.795133264493407,3712.9567616488225,10815.109,3.4378408,10.97929722212814,-12.514833639512574,2.589913588671019,-441.98071848554764
11.5,0.5,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,10.121364273135207,213.36071944832435,-1.31890338233866,3837.983897288901,10462.188,3.9556574500000004,6.639807422894164,-2.2672317264475623,-3.9451829510602385,-108.62927217323886
12.5,0.5,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,16.59725966831398,205.9015140138189,1.9109224970087797,3314.6501344683807,10915.532,5.0964719999999994,3.6355809283700147,-3.417503545528035,-2.105270620853219,-120.68833537755927
