NAME,canon,accel_source,present_in_moran_discovery_catalog,aGal_1e10_m_s2,aGal_err_1e10_m_s2,a_baryon_pred_1e10,resid_baryon_1e10,zresid_baryon,R_gal_kpc,phi_mwm_deg,Z_mwm_kpc,deltaR_mean_kpc,Rbirth_mean_kpc,Age_mean_gyr,FeH_mean,source_neff,nearest_source_kpc
B1913+16,B1913+16,binary_orbital,1,-2.1628650052602225,0.1077162349164701,-0.5097769520161741,-1.6530880532440484,-15.346693602185002,6.384684164785918,150.04060434055282,0.1542932614443938,-7.501772661471092,13.716359191052886,8.109268330573986,-1.2439449446658648,553.076456435622,0.5341723167327918
J0030+0451,J0030+0451,spin_inferred,0,-0.1511355616079803,0.1687379324790224,-0.27105756347439497,0.11992200186641466,0.7106997229643277,8.279744621595473,178.89556164740736,-0.2735955731414222,-0.5350814263556046,8.835861872772298,9.205151185433241,-0.8167798564575796,1319.8116950388,0.33155708693240116
J0125-2327,J0125-2327,spin_inferred,0,2.657427176654752,0.4014012310822115,-0.40878614607423647,3.0662133227289883,7.638774087618564,8.288657478334047,180.08544606209873,-0.5371318802565028,-0.8016119900351266,9.061476589383725,9.430837183535388,-0.8785397168233161,1383.484475695029,0.25189287886107387
J0218+4232,J0218+4232,binary_orbital,0,1.4401580462392576,0.4327792927852561,0.18255228514902,1.2576057610902376,2.905882471863685,10.67406774854951,169.4712076150347,-0.948638863066448,-2.1461503145226692,12.12016813671271,7.278389244008954,-0.9130707700999466,348.33727923339785,0.26013674537486486
J0340+4130,J0340+4130,spin_inferred,0,0.7113240255912997,0.2123153920133343,0.15512544108262596,0.5561985845086738,2.6196809342666127,9.488601546096495,176.25566936177984,-0.27320464978769,-1.272908304461243,10.417995529942774,8.018926653772265,-0.8231300257078581,1207.0558833126086,0.24423942521637734
J0437-4715,J0437-4715,binary_orbital,1,-0.177816415285066,0.2915477026136334,-0.12177790939776845,-0.05603850588729756,-0.1922104183463975,8.2441225085909,180.7775264162056,-0.1049781386865524,-0.3067124835954773,8.589736210903784,9.182045130701518,-0.7835391819131914,1272.0073970645483,0.12173625474351436
J0613-0200,J0613-0200,binary_orbital,1,0.3927001498846553,0.244290403452734,0.09522274810450637,0.2974774017801489,1.217720375322503,9.092361826881092,183.21268801014017,-0.1649237386932847,-0.25936507167609707,9.062822555491689,8.687126660651792,-0.7625031052878589,1213.9718355336838,0.06536452898450253
J0645+5158,J0645+5158,spin_inferred,0,-1.3836855663928815,0.1333532288893958,0.10589129011122675,-1.4895768565041083,-11.170159649749275,9.315410864475,178.05478570880928,0.4222827864941732,-1.1609690716638807,10.248150313568688,8.078112570257845,-0.8146154776991159,1253.1696841882717,0.03183185229800559
J0737-3039A,J0737-3039,binary_orbital,1,-0.1548944981874413,5.771768290364286,-0.08015554043881254,-0.07473895774862876,-0.012949057202002057,8.752356558050934,186.83103291269143,-0.0903280068099342,-0.5057396879865513,9.095229981094333,9.016809216274606,-0.8162137240952344,1282.6246265862483,0.11555559606205777
J0740+6620,J0740+6620,binary_orbital,1,-0.3604011791137476,2.258851648414328,-0.03329396063052049,-0.3271072184832271,-0.14481128883025599,9.087587311449663,176.82047873965223,0.5680156946035984,-1.4939247483015063,10.487879128936072,8.164064975200503,-0.8577447907659662,1285.7139151769384,0.10002234558315484
J0751+1807,J0751+1807,binary_orbital,1,-0.3765399596293761,0.5356265517656602,0.06940588518238697,-0.445945844811763,-0.8325685934383383,9.22652262472275,182.62027922100395,0.420929535571975,-0.3869526619485043,9.342671255637411,8.38833400831268,-0.7536169199328612,1165.4043684343899,0.3171057388409424
J0931-1902,J0931-1902,spin_inferred,0,-0.7803560261236596,0.2901791174233782,-0.23456413877138665,-0.5457918873522729,-1.8808792727698238,8.727109860291337,188.1900009397745,0.5595942710902833,-0.5582893155144296,9.23804576547127,8.908137579334555,-0.8213214869973203,1174.776221752518,0.2801331062984056
J1012+5307,J1012+5307,binary_orbital,1,-1.4708034749157095,1.9261577471037088,-0.2013820644073225,-1.269421410508387,-0.6590433272753327,8.873594238391584,178.47685141560294,0.8616737007820804,-1.4032613325796022,10.251395221347268,8.471003675004,-0.8806947093605749,1306.9552893146704,0.2159344564482741
J1012-4235,J1012-4235,spin_inferred,0,0.7457489907344031,0.3229131068268816,-0.23845449087587067,0.9842034816102738,3.0478895430463884,8.211371738101294,188.5638463676262,0.2433279439356655,-0.8297274845335351,9.096372355345371,9.257708968152658,-0.8544667489786497,1350.1963636422963,0.1951913178250771
J1017-7156,J1017-7156,binary_orbital,1,1.0905065207747102,1.1547696009835982,-0.25708845257084145,1.3475949733455517,1.1669816837901783,7.811955817958705,189.36315777064897,-0.3042796665134096,-2.10254441050384,9.95390756507868,9.579112192739176,-1.0054445190021515,1645.3900363398657,0.0790086427527341
J1022+1001,J1022+1001,binary_orbital,1,-2.071199036365249,0.7641512041473368,-0.2961021198403887,-1.7750969165248605,-2.3229655425401936,8.49910246185153,182.41242735316257,0.5642342286120574,-0.20707780845638976,8.72183111856257,8.865427083948617,-0.755374340357927,1177.865789103851,0.16496469147718207
J1125-6014,J1125-6014,binary_orbital,1,0.994176973217228,0.595403154232261,-0.09496673960821936,1.0891437128254473,1.8292541869883727,7.928637003878174,185.56933232786204,0.0129969744546898,-0.8589603528634794,8.889611517789282,9.387277046768668,-0.8493024609922867,1402.779319144406,0.19906188135965636
J1400-1431,J1400-1431,spin_inferred,0,1.4929581539787562,2.520480387291809,-0.1883311768294254,1.6812893308081815,0.66705114599788,8.046125105236838,180.76153543141203,0.1968739461233071,-0.458849135199385,8.626764109411749,9.12327435599377,-0.779373415579433,1290.7285737024815,0.19513627483058738
