NAME,GL,GB,DIST,DIST_ERR,PX,PX_ERR,accel_source,has_binary_orbital_accel,has_spin_inferred_accel,ALOS_PB,ALOS_PB_ERR,ALOS_PS,ALOS_PS_ERR,ALOS_USE_mm_s_yr,ALOS_USE_ERR_mm_s_yr,aGal_1e10_m_s2,aGal_err_1e10_m_s2,x_moranlike_kpc,y_moranlike_kpc,z_moranlike_kpc,X_mwm_kpc,Y_mwm_kpc,Z_mwm_kpc,R_gal_kpc,phi_mwm_deg,duplicate_sky_location,sky_key,BSURF,CHAR_AGE,canon,present_in_moran_discovery_catalog,keep_independent_position,a_baryon_pred_1e10,resid_baryon_1e10,zresid_baryon
B1913+16,49.968,2.122,4.167,1.215,0.24,0.07,binary_orbital,1,0,-6.825482869,0.3399265855,,,-6.825482869,0.3399265855,-2.1628650052602225,0.1077162349164701,5.531559640352937,3.188422780825427,0.1542932614443938,-5.531559640352937,3.188422780825427,0.1542932614443938,6.384684164785918,150.04060434055282,0,49.968|2.122|4.167,22823873797.0,3424810000000000.0,B1913+16,1,True,-0.5097769520161741,-1.6530880532440484,-15.346693602185002
J0030+0451,113.141,-57.611,0.324,0.006,3.09,0.06,spin_inferred,0,1,,,-0.4769475599,0.5324964178,-0.4769475599,0.5324964178,-0.1511355616079803,0.1687379324790224,8.278206427313139,0.1595911828096849,-0.2735955731414222,-8.278206427313139,0.1595911828096849,-0.2735955731414222,8.279744621595473,178.89556164740736,0,113.141|-57.611|0.324,223523589.1,2.43e+17,J0030+0451,0,True,-0.27105756347439497,0.11992200186641466,0.7106997229643277
J0125-2327,188.932,-81.569,0.543,0.032,1.84,0.11,spin_inferred,0,1,,,8.386202387,1.266725949,8.386202387,1.266725949,2.657427176654752,0.4014012310822115,8.288648261262534,-0.012360995610967,-0.5371318802565028,-8.288648261262534,-0.012360995610967,-0.5371318802565028,8.288657478334047,180.08544606209873,0,188.932|-81.569|0.543,182861786.8,2.07e+17,J0125-2327,0,True,-0.40878614607423647,3.0662133227289883,7.638774087618564
J0218+4232,139.508,-17.527,3.15,0.85,0.16,0.09,binary_orbital,1,0,4.544793156,1.365747581,,,4.544793156,1.365747581,1.4401580462392576,0.4327792927852561,10.494350669497248,1.950468232565576,-0.948638863066448,-10.494350669497248,1.950468232565576,-0.948638863066448,10.67406774854951,169.4712076150347,0,139.508|-17.527|3.15,424880151.2,1.53e+16,J0218+4232,0,True,0.18255228514902,1.2576057610902376,2.905882471863685
J0340+4130,153.783,-11.022,1.429,0.816,0.7,0.4,spin_inferred,0,1,,,2.244767907,0.6700164215,2.244767907,0.6700164215,0.7113240255912997,0.2123153920133343,9.46834708168395,0.6196473524125442,-0.27320464978769,-9.46834708168395,0.6196473524125442,-0.27320464978769,9.488601546096495,176.25566936177984,0,153.783|-11.022|1.429,152839457.2,2.39e+17,J0340+4130,0,True,0.15512544108262596,0.5561985845086738,2.6196809342666127
J0437-4715,253.394,-41.963,0.157,0.002,6.4,0.05,binary_orbital,1,1,-0.5611459307,0.920054578,-0.3943517387,1.055823384,-0.5611459307,0.920054578,-0.177816415285066,0.2915477026136334,8.243363419382291,-0.1118725732475498,-0.1049781386865524,-8.243363419382291,-0.1118725732475498,-0.1049781386865524,8.2441225085909,180.7775264162056,0,253.394|-41.963|0.157,284886158.2,2.09e+17,J0437-4715,1,True,-0.12177790939776845,-0.05603850588729756,-0.1922104183463975
J0613-0200,210.413,-9.305,1.02,0.09,0.86,0.17,binary_orbital,1,1,1.239267425,0.7709218836,5.680056465,0.7550533088,1.239267425,0.7709218836,0.3927001498846553,0.244290403452734,9.078072072503597,-0.5095596504382415,-0.1649237386932847,-9.078072072503597,-0.5095596504382415,-0.1649237386932847,9.092361826881092,183.21268801014017,0,210.413|-9.305|1.02,165772730.1,1.75e+17,J0613-0200,1,True,0.09522274810450637,0.2974774017801489,1.217720375322503
J0645+5158,163.963,20.251,1.22,0.253,0.82,0.17,spin_inferred,0,1,,,-4.366579563,0.4208307856,-4.366579563,0.4208307856,-1.3836855663928815,0.1333532288893958,9.31004277257906,0.3162011175301181,0.4222827864941732,-9.31004277257906,0.3162011175301181,0.4222827864941732,9.315410864475,178.05478570880928,0,163.963|20.251|1.22,175813263.6,1.3e+18,J0645+5158,0,True,0.10589129011122675,-1.4895768565041083,-11.170159649749275
J0737-3039A,245.236,-4.505,1.15,0.22,0.87,0.14,binary_orbital,1,0,-0.4888098616,18.2143155,,,-0.4888098616,18.2143155,-0.1548944981874413,5.771768290364286,8.690225607068907,-1.0410207574784691,-0.0903280068099342,-8.690225607068907,-1.0410207574784691,-0.0903280068099342,8.752356558050934,186.83103291269143,1,245.236|-4.505|1.15,6393807689.0,6453250000000000.0,J0737-3039,1,True,-0.08015554043881254,-0.07473895774862876,-0.012949057202002057
J0740+6620,149.73,29.599,1.15,0.16,0.5,0.3,binary_orbital,1,1,-1.137339625,7.128393678,21.26660127,3.936712695,-1.137339625,7.128393678,-0.3604011791137476,2.258851648414328,9.073598353991288,0.5040397342150048,0.5680156946035984,-9.073598353991288,0.5040397342150048,0.5680156946035984,9.087587311449663,176.82047873965223,0,149.73|29.599|1.15,-999.0,-5.32e+17,J0740+6620,1,True,-0.03329396063052049,-0.3271072184832271,-0.14481128883025599
J0751+1807,202.73,21.086,1.17,0.05,0.85,0.04,binary_orbital,1,1,-1.188269743,1.690308847,0.667764432,0.6360110447,-1.188269743,1.690308847,-0.3765399596293761,0.5356265517656602,9.2168758476515,-0.4218048760970371,0.420929535571975,-9.2168758476515,-0.4218048760970371,0.420929535571975,9.22652262472275,182.62027922100395,0,202.73|21.086|1.17,145692904.4,2.92e+17,J0751+1807,1,True,0.06940588518238697,-0.445945844811763,-0.8325685934383383
