NAME,canon,accel_source,present_in_moran_discovery_catalog,aGal_1e10_m_s2,aGal_err_1e10_m_s2,a_baryon_pred_1e10,resid_baryon_1e10,zresid_baryon,R_gal_kpc,phi_mwm_deg,Z_mwm_kpc,deltaR_mean_kpc,Rbirth_mean_kpc,Age_mean_gyr,FeH_mean,source_neff,nearest_source_kpc
B1913+16,B1913+16,binary_orbital,1,-2.1628650052602225,0.1077162349164701,-0.5097769520161741,-1.6530880532440484,-15.346693602185002,6.384684164785918,150.04060434055282,0.1542932614443938,-7.072624835899125,13.574732136944583,8.389923881563625,-1.2800583977273183,1983.0621195184563,0.5341723167327918
J0030+0451,J0030+0451,spin_inferred,0,-0.1511355616079803,0.1687379324790224,-0.27105756347439497,0.11992200186641466,0.7106997229643277,8.279744621595473,178.89556164740736,-0.2735955731414222,-2.688848019579145,10.820118260956184,9.06470613821301,-1.0385422893343523,3455.8000332377082,0.33155708693240116
J0125-2327,J0125-2327,spin_inferred,0,2.657427176654752,0.4014012310822115,-0.40878614607423647,3.0662133227289883,7.638774087618564,8.288657478334047,180.08544606209873,-0.5371318802565028,-2.7253590017761713,10.817220399365748,9.185785709954958,-1.0578152331370136,3480.4858013024686,0.25189287886107387
J0218+4232,J0218+4232,binary_orbital,0,1.4401580462392576,0.4327792927852561,0.18255228514902,1.2576057610902376,2.905882471863685,10.67406774854951,169.4712076150347,-0.948638863066448,-2.8864478272524865,12.341823057389027,7.9967337073807885,-1.054841591203577,1580.8320821369482,0.26013674537486486
J0340+4130,J0340+4130,spin_inferred,0,0.7113240255912997,0.2123153920133343,0.15512544108262596,0.5561985845086738,2.6196809342666127,9.488601546096495,176.25566936177984,-0.27320464978769,-2.384731002035223,11.294147170815775,8.483939099783553,-1.0031146005595706,2714.9033260668602,0.24423942521637734
J0437-4715,J0437-4715,binary_orbital,1,-0.177816415285066,0.2915477026136334,-0.12177790939776845,-0.05603850588729756,-0.1922104183463975,8.2441225085909,180.7775264162056,-0.1049781386865524,-2.651083207323503,10.759266082066816,9.065933036360493,-1.030572796898438,3457.4691856185414,0.12173625474351436
J0613-0200,J0613-0200,binary_orbital,1,0.3927001498846553,0.244290403452734,0.09522274810450637,0.2974774017801489,1.217720375322503,9.092361826881092,183.21268801014017,-0.1649237386932847,-2.1592912666711,10.781527339754954,8.852757195090762,-0.9977923167078101,2951.532400671182,0.06536452898450253
J0645+5158,J0645+5158,spin_inferred,0,-1.3836855663928815,0.1333532288893958,0.10589129011122675,-1.4895768565041083,-11.170159649749275,9.315410864475,178.05478570880928,0.4222827864941732,-2.434696246231463,11.322570025941655,8.428877342502462,-0.997989798437491,2743.811318613091,0.03183185229800559
J0737-3039A,J0737-3039,binary_orbital,1,-0.1548944981874413,5.771768290364286,-0.08015554043881254,-0.07473895774862876,-0.012949057202002057,8.752356558050934,186.83103291269143,-0.0903280068099342,-2.4444105108181517,10.834597032623368,9.001021230759367,-1.026618107183344,3232.55626564118,0.11555559606205777
J0740+6620,J0740+6620,binary_orbital,1,-0.3604011791137476,2.258851648414328,-0.03329396063052049,-0.3271072184832271,-0.14481128883025599,9.087587311449663,176.82047873965223,0.5680156946035984,-2.662874092584007,11.457328338212061,8.43668518661338,-1.0160414328280567,2841.6863438696732,0.10002234558315484
J0751+1807,J0751+1807,binary_orbital,1,-0.3765399596293761,0.5356265517656602,0.06940588518238697,-0.445945844811763,-0.8325685934383383,9.22652262472275,182.62027922100395,0.420929535571975,-2.1545381475311594,10.93932891688501,8.636461142711562,-0.9835833045242388,2754.3721857266764,0.3171057388409424
J0931-1902,J0931-1902,spin_inferred,0,-0.7803560261236596,0.2901791174233782,-0.23456413877138665,-0.5457918873522729,-1.8808792727698238,8.727109860291337,188.1900009397745,0.5595942710902833,-2.47991132491993,10.928415327089729,8.897057297195314,-1.0216198358362822,3042.2541876210225,0.2801331062984056
J1012+5307,J1012+5307,binary_orbital,1,-1.4708034749157095,1.9261577471037088,-0.2013820644073225,-1.269421410508387,-0.6590433272753327,8.873594238391584,178.47685141560294,0.8616737007820804,-2.7129748727035805,11.386170771848787,8.552059429686649,-1.0268716710123484,2894.770773537068,0.2159344564482741
J1012-4235,J1012-4235,spin_inferred,0,0.7457489907344031,0.3229131068268816,-0.23845449087587067,0.9842034816102738,3.0478895430463884,8.211371738101294,188.5638463676262,0.2433279439356655,-2.923726491798896,10.973835894828156,9.070768477199309,-1.0542176695887269,3588.463176735416,0.1951913178250771
J1017-7156,J1017-7156,binary_orbital,1,1.0905065207747102,1.1547696009835982,-0.25708845257084145,1.3475949733455517,1.1669816837901783,7.811955817958705,189.36315777064897,-0.3042796665134096,-3.5425919844957314,11.240484186195093,9.212866313252048,-1.1108093051222312,4103.644460185571,0.0790086427527341
J1022+1001,J1022+1001,binary_orbital,1,-2.071199036365249,0.7641512041473368,-0.2961021198403887,-1.7750969165248605,-2.3229655425401936,8.49910246185153,182.41242735316257,0.5642342286120574,-2.5005648061184957,10.845247585128206,8.865074676227758,-1.009262124588126,3141.7012454468613,0.16496469147718207
J1125-6014,J1125-6014,binary_orbital,1,0.994176973217228,0.595403154232261,-0.09496673960821936,1.0891437128254473,1.8292541869883727,7.928637003878174,185.56933232786204,0.0129969744546898,-3.0326293247258245,10.879229575273554,9.16342689833253,-1.0593083344401106,3744.2967156700975,0.19906188135965636
