age_bin,n,age_median_gyr,R_median_kpc,absZ_median_kpc,FeH_median,aFe_median,Vphi_median_kms,Vr_sigma_kms,Vz_sigma_kms,ecc_median,zmax_median_kpc,radial_excursion_median_kpc,present_minus_orbit_mid_median_kpc
"(4.01, 5.965]",3047,5.114471820354483,8.723359708130083,1.250235497045104,-0.8482029577727989,0.27714748907673603,-160.01555976916606,94.86624771521667,60.22950564129773,0.32825595878212627,1.4868644113594474,3.8743310789494743,0.7097830716367186
"(5.965, 7.585]",3047,6.80484158289287,7.653009368448718,1.5796438878138046,-1.2740020656987066,0.34927881751203377,-87.20737964422047,118.79068757276059,74.6433641826633,0.5197419785951063,1.8772876826106395,5.078767919616321,1.0226794601610187
"(7.585, 8.789]",3046,8.278477085731177,7.204637540476094,2.012338180110223,-1.2941353672203713,0.3442368474875493,-79.72028944417349,123.15852179293182,83.5301602267627,0.5269752691816884,2.367592489397376,5.212683579878521,0.9638874225714362
"(8.789, 9.477]",3047,9.182504000153235,6.663562142216266,2.5200234917494613,-1.3421849052087695,0.34431068137326115,-60.96277046316511,131.95073276115508,93.98590950454322,0.5609424161391134,2.8898921474088413,5.396075258500258,0.9319492909502367
"(9.477, 9.973]",3047,9.739742622490404,6.837751736148961,2.902044222165241,-1.4039216464946889,0.3319458245010255,-48.66989252435099,134.36507866533663,96.77966989405819,0.5905742738891997,3.1514313854234137,5.915594019944818,1.084650956044456
"(9.973, 10.403]",3046,10.194582940436753,7.46285152263174,3.2330560806269535,-1.4692411716318756,0.3246593118237971,-40.77451538275739,133.27985079183537,94.41292471819051,0.6066899615081166,3.5741776569225365,6.572605187304991,1.2449861823505723
"(10.403, 10.801]",3047,10.60980861674183,8.832005273970932,3.637286574772557,-1.4833325033137161,0.3039532856874263,-38.124588270698304,132.2202282245432,94.74206197417259,0.6315129400827949,3.990086498797406,7.777992376064052,1.572836371388429
"(10.801, 11.162]",3046,10.980257191928764,9.98739073437012,4.2355737306725665,-1.5202433176550296,0.29899344981185194,-33.489760344890556,129.32969748417142,92.21489463280616,0.657503264868992,4.535471859258842,8.98902115708943,1.8515699680508426
"(11.162, 11.568]",3047,11.340633176489932,11.01349370057369,4.766106126700237,-1.5398700054744217,0.2983420553934975,-33.672141797140114,124.8226178216662,91.7895028773621,0.676596526579332,4.949835531860302,10.012296544770033,2.1447388990687593
"(11.568, 13.951]",3047,12.122046323637774,8.734632499880753,2.373560841414443,-1.4202335191640052,0.33098871089874987,-57.836959167546894,131.8650139477113,84.67498604103777,0.6082250931692031,3.164994671383652,7.502491638260066,1.3785328718523484
