Name,age_gyr,R_GC_Cav,R_Guide,delta_R_current_minus_guide_kpc,Z_Height,Z_Max,Eccentricity,Fe_H,alpha_M,Num_Full_Members,OCCAM_Qual
b'NGC_3766',0.046773514128719815,7.56,8.24,-0.6800000000000006,0.02,0.02,0.06,-0.16,0.04,4,1
b'NGC_4337',1.5488166189124797,7.29,7.45,-0.16000000000000014,0.2,0.25,0.06,0.21,-0.02,16,2
b'NGC_4609',0.10715193052376049,7.52,7.93,-0.41000000000000014,0.02,0.02,0.06,-0.02,0.03,4,1
b'NGC_5662',0.1513561248436207,7.59,8.09,-0.5,0.06,0.12,0.04,-0.08,0.04,7,2
b'NGC_5823',0.1479108388168207,6.92,7.84,-0.9199999999999999,0.09,0.1,0.1,-0.02,0.01,3,1
b'NGC_5925',0.5495408738576247,7.06,7.12,-0.0600000000000005,0.06,0.07,0.02,0.12,-0.04,20,2
b'NGC_6087',0.12882495516931322,7.34,7.58,-0.2400000000000002,-0.07,0.08,0.09,-0.06,0.03,11,2
b'NGC_6124',0.10232929922807538,7.51,8.37,-0.8599999999999994,0.09,0.1,0.09,-0.05,0.03,17,2
b'NGC_6192',0.21877616239495518,6.54,7.48,-0.9400000000000004,0.08,0.09,0.14,-0.12,0.0,3,1
b'NGC_6208',1.445439770745928,7.08,8.01,-0.9299999999999997,-0.1,0.16,0.1,-0.15,-0.0,4,1
b'NGC_6242',0.10715193052376049,6.91,7.67,-0.7599999999999998,0.07,0.08,0.1,-0.03,-0.0,11,2
b'NGC_6281',0.18620871366628655,7.61,8.08,-0.46999999999999975,0.04,0.07,0.05,-0.0,-0.0,22,2
b'NGC_6405',0.022908676527677748,7.64,8.04,-0.39999999999999947,0.01,0.04,0.03,0.0,0.03,77,2
b'NGC_6416',0.12022644346174131,7.36,7.83,-0.46999999999999975,-0.0,0.11,0.04,-0.01,-0.01,24,2
b'NGC_6425',0.10715193052376049,6.81,7.66,-0.8500000000000005,-0.02,0.2,0.1,-0.06,0.01,18,2
b'NGC_6475',0.12589254117941662,7.85,8.6,-0.75,-0.0,0.03,0.07,-0.01,0.02,14,2
b'NGC_6520',0.037153522909717275,6.36,7.01,-0.6499999999999995,-0.07,0.08,0.08,-0.04,-0.0,4,1
b'NGC_6709',0.27542287033381635,7.36,7.67,-0.3099999999999996,0.11,0.14,0.03,-0.2,0.09,4,1
b'NGC_6791',9.549925860214369,7.65,6.58,1.0700000000000003,0.67,0.65,0.22,0.29,-0.02,13,2
b'NGC_6793',0.23988329190194946,7.81,8.23,-0.4200000000000008,0.05,0.06,0.09,0.02,-0.02,3,1
b'NGC_6819',1.9952623149688828,7.81,8.45,-0.6399999999999997,0.37,0.47,0.06,0.06,-0.04,8,2
b'OC_0588',0.31622776601683794,7.77,7.84,-0.07000000000000028,0.05,0.06,0.02,-0.08,0.06,3,1
b'PTB_9',0.8128305161640994,8.64,7.89,0.7500000000000009,0.13,0.33,0.11,-0.13,0.03,4,1
b'Platais_10',0.09120108393559097,7.96,8.53,-0.5699999999999994,0.03,0.04,0.08,0.06,-0.02,5,2
b'Renou_23',0.09332543007969905,8.57,9.32,-0.75,0.14,0.16,0.07,-0.01,-0.01,5,2
b'Ruprecht_135',0.4570881896148752,6.99,7.54,-0.5499999999999998,0.15,0.16,0.06,-0.03,-0.0,8,2
b'Ruprecht_171',2.3442288153199176,6.78,8.44,-1.6599999999999993,-0.06,0.52,0.22,-0.07,-0.02,4,1
b'Ruprecht_91',0.17782794100389226,7.89,8.15,-0.2600000000000007,0.05,0.09,0.03,-0.16,0.03,3,1
b'Steine_12',0.07943282347242822,8.51,9.44,-0.9299999999999997,0.07,0.09,0.1,-0.19,0.06,6,2
b'Stock_2',0.23442288153199178,8.39,8.62,-0.22999999999999865,0.01,0.09,0.08,-0.06,0.01,14,2
b'Theia_1086',0.4073802778041122,9.04,9.14,-0.10000000000000142,0.12,0.19,0.03,-0.02,-0.05,3,1
b'Theia_123',0.04570881896148752,8.44,9.03,-0.5899999999999999,0.09,0.13,0.05,0.06,-0.02,4,1
b'Theia_1654',0.015135612484362071,9.27,9.78,-0.5099999999999998,-0.02,0.18,0.03,-0.01,0.07,3,1
b'Theia_172',0.07585775750291836,8.53,9.02,-0.4900000000000002,0.09,0.16,0.04,0.05,-0.01,13,2
b'Theia_2267',0.02951209226666384,8.76,9.24,-0.4800000000000004,-0.08,0.12,0.03,-0.14,0.02,3,1
b'Theia_2482',0.09549925860214369,9.02,8.77,0.25,0.0,0.09,0.06,-0.01,-0.01,3,1
b'Theia_2649',0.08511380382023759,8.99,9.62,-0.629999999999999,0.02,0.12,0.05,-0.09,-0.03,3,1
b'Theia_282',0.028840315031266057,8.88,9.65,-0.7699999999999996,-0.02,0.04,0.07,-0.06,0.03,3,1
b'Theia_546',0.1,8.54,9.03,-0.4900000000000002,0.06,0.07,0.07,-0.15,-0.01,3,1
b'Theia_667',0.19054607179632443,8.49,9.59,-1.0999999999999996,0.06,0.09,0.12,-0.19,0.05,4,1
b'Theia_850',0.023988329190194897,8.56,9.34,-0.7799999999999994,0.08,0.08,0.11,-0.15,0.06,4,1
b'Theia_984',0.19498445997580416,7.23,8.13,-0.9000000000000004,-0.02,0.06,0.09,-0.13,0.04,3,1
b'Trumpler_10',0.01698243652461746,8.19,8.48,-0.2900000000000009,0.03,0.05,0.02,0.1,-0.03,10,2
b'Trumpler_19',3.4673685045253095,7.65,8.81,-1.1600000000000001,0.13,0.21,0.24,-0.01,0.0,3,1
b'Trumpler_2',0.06606934480075964,8.66,9.08,-0.41999999999999993,-0.03,0.1,0.02,0.02,-0.0,3,1
b'Trumpler_32',0.8128305161640994,6.8,7.82,-1.0200000000000005,0.05,0.21,0.12,-0.19,0.06,9,2
b'UBC_1029',0.0645654229034655,6.74,7.32,-0.5800000000000001,-0.07,0.08,0.1,-0.19,0.05,3,1
b'UBC_113',0.4570881896148752,6.36,6.96,-0.5999999999999996,-0.09,0.09,0.11,0.04,0.0,3,1
b'UBC_114',0.06165950018614822,6.95,7.66,-0.71,-0.07,0.13,0.08,-0.05,-0.0,6,2
b'UBC_120',0.29512092266663903,7.34,8.24,-0.9000000000000004,0.12,0.14,0.12,0.03,-0.03,3,1
b'UBC_1592',0.1659586907437563,7.54,8.0,-0.45999999999999996,-0.02,0.05,0.05,-0.02,0.01,3,1
b'UBC_175',0.5370317963702532,8.62,8.44,0.17999999999999972,-0.1,0.09,0.07,0.05,-0.0,3,1
b'UBC_94',0.1230268770812381,7.14,7.18,-0.040000000000000036,0.01,0.04,0.02,0.15,-0.06,4,1
b'UFMG_95',0.034673685045253165,7.24,8.01,-0.7699999999999996,-0.03,0.04,0.08,-0.09,-0.0,3,1
b'UPK_294',0.056234132519034905,8.72,9.58,-0.8599999999999994,0.16,0.21,0.1,-0.19,0.06,3,1
b'UPK_317',0.20417379446695316,8.93,9.65,-0.7200000000000006,0.24,0.26,0.07,-0.12,0.06,3,1
b'UPK_429',0.23442288153199178,8.85,9.64,-0.7900000000000009,0.1,0.11,0.08,-0.05,0.02,5,2
b'UPK_467',0.23442288153199178,8.48,9.05,-0.5700000000000003,0.13,0.17,0.05,-0.07,0.02,3,1
b'UPK_545',0.023442288153199226,8.11,7.95,0.15999999999999925,-0.04,0.08,0.06,0.04,0.01,16,2
b'UPK_621',0.017782794100389226,7.36,7.62,-0.2599999999999998,0.02,0.05,0.07,-0.1,0.1,5,2
