R_bin_kpc,absZ_bin_kpc,n,age_median_gyr,age_q25_gyr,age_q75_gyr,old_fraction_age_gt_8gyr,FeH_median,aFe_median,Vphi_median_kms,Vr_sigma_kms,Vz_sigma_kms,ecc_median,zmax_median_kpc,radial_excursion_median_kpc,present_minus_orbit_mid_median_kpc
3.0,0.75,74,6.939103625981088,5.8654715358245095,7.463410812521229,0.16216216216216217,-1.42708283158657,0.3529493389937609,-101.64439047555018,156.02719434486283,119.02911855298544,0.4930563372522741,1.2216518925205526,2.7154714390057655,0.2889509212107575
3.0,1.0,78,6.9008438532786425,6.068074703845931,7.998004230483696,0.2564102564102564,-1.4517882057112714,0.36920581374162215,-83.10223695889437,146.6238110184073,91.94909560624292,0.5648667138631194,1.3189210605610073,2.5127113019323666,0.23466300060848932
3.0,1.25,140,7.4845692854027215,6.54818636058451,8.727179597000681,0.39285714285714285,-1.3848337576966463,0.36010023010682146,-85.13005451136408,153.68783165157464,113.75547842543321,0.5188518925107372,1.7096178240067008,2.60897072227797,0.2506387432325734
3.0,1.5,174,7.811162035044837,6.819452004608825,8.926411284951161,0.4540229885057471,-1.4789776196602646,0.3727655827218176,-59.32040823710487,138.30206147423317,109.56247994758866,0.49486383836203907,1.9811558051757943,2.681414793252573,0.38284958768342725
3.0,1.75,112,8.361093607137292,7.691912636548987,9.289388196917463,0.6339285714285714,-1.4367568804037463,0.34573655789361846,-67.2055382342071,131.76875592660016,100.38321612188561,0.49611965173295847,2.2206575666399884,2.6857653872425624,0.3070063878407143
3.0,2.0,101,9.129737757794226,8.38423399270279,9.83795770013223,0.8613861386138614,-1.398531865591147,0.32034268396114085,-29.47059685253441,138.17939317290788,112.93214494537736,0.506711783273157,2.574719080672584,2.4503662318510377,0.16526374862769133
3.0,2.25,92,9.329673844882473,8.532665244107594,9.878597452182323,0.8369565217391305,-1.4623180678201257,0.3415468697103938,-34.203783030234725,117.46116982466214,88.0382779065825,0.47994296161710287,2.6938428427861947,2.438851599637398,0.3772765937164866
3.0,2.5,74,9.603021558044489,9.211028311768395,10.066270153869803,0.9324324324324325,-1.5412599445629394,0.37048672664424387,-23.493814079497255,134.4825008260567,123.14720714220425,0.4999110458261191,3.0785036841056677,2.7695922137856055,0.018018662330388402
3.0,2.75,53,9.69065349077438,9.209099342140927,10.052729037420226,0.9433962264150944,-1.562685839553869,0.35519595482717714,3.7459402213336057,139.41301082170372,131.85349091823616,0.5413143963815108,3.5179029411588743,2.7384121172118117,0.24805654468046745
3.5,0.75,53,6.921171841963944,5.931638796068733,8.179920573667237,0.32075471698113206,-1.5301187228804871,0.3663219802889733,-79.46091666045672,146.41477462203719,112.73585860270377,0.5628688423870121,1.5330418624879083,3.486966315894979,-0.17504393112646044
3.5,1.0,95,6.6716913914177525,5.688813745618338,7.867484043230392,0.22105263157894736,-1.4637087780444529,0.3626748467997063,-62.2645685202784,132.0903377154239,90.95370103441876,0.5461621727273555,1.3170077641511373,3.130455319928558,0.4173046937917393
3.5,1.25,107,7.4823398475385225,6.185200849039609,8.820321118067042,0.411214953271028,-1.459242233157651,0.3518391451845295,-54.68335479247526,152.30538549878986,112.27224663198837,0.5566600841841016,1.7909252052535247,3.30260168652923,0.3048182128835939
