source_id,x,y,z,R,phi,U,V,eU,eV,Dist,e_mu,ruwe,rv_kms,rv_error_kms,rv_epochs,rv_source
4116471792510901248,-6.656973484466403,0.10773478633195482,0.10178385807745582,6.657845203748338,3.1254103175295014,11.140435391097286,14.3703869683157,1.3646641424931674,0.16858896615991836,1.5,0.038,0.75773543,4.169964,1.3103756,8,gaia_vari_cepheid
4094007532908816896,-5.54177585467877,0.465812494101114,-0.04641540168618181,5.5613182702630235,3.057735039328069,8.319323394755587,0.6993703725619298,2.4832619290214186,0.6298072151062355,2.65,0.135,0.8056516,15.262115,2.1015978,12,gaia_vari_cepheid
4095782655730996224,-6.1050099502288635,0.43107412877991275,0.022773741100060193,6.120210077840204,3.071099753919926,23.384984240913198,-6.4753641128397135,1.2805067733404172,0.650842210135187,2.09,0.056,1.0123743,24.320398,1.1950002,11,gaia_vari_cepheid
4094784475310671872,-6.312347188314944,0.3942653618686379,-0.039151863005061634,6.324647990315112,3.0792142945730108,-22.57354398190238,7.465818329564286,1.9913134199402995,0.4003912800267479,1.88,0.184,0.94404805,-17.590893,0.9045684,16,gaia_vari_cepheid
4087335043492541440,9.641859785994452,5.7568061829237935,-3.783348633165336,11.22970514129942,0.5382577893113815,-137.86945081511843,-160.2944880856507,3.4073065836366334,15.091955469627974,19.08,0.125,1.3867104,44.263557,3.4067128,14,gaia_vari_cepheid
4175017625462647296,-7.597024329431611,0.20780415495105695,0.11055899960029955,7.599865869131556,3.114246110733474,2.579203504688847,-7.55417360993755,0.24355559005382157,0.5654459278801058,0.6,0.077,1.031427,-7.8050857,0.25973952,21,gaia_vari_cepheid
4155550943909053440,-6.348278148380947,0.7708994098884594,-0.027953798018527713,6.394913709298774,3.0207499209481816,-23.49999998959809,3.2116535970808684,2.55967988363155,1.1086971534044807,1.96,0.11,0.91728014,-6.721321,2.2664144,10,gaia_vari_cepheid
4251917636212432384,-7.182131515871741,0.45490820376793145,-0.0290357201771853,7.196523784795926,3.0783382663454355,-16.199545529850575,15.224122048263126,0.7587196908109811,0.3865357495493176,1.07,0.034,0.8428184,-7.0215454,0.76023066,16,gaia_vari_cepheid
4252368406036530688,-5.5804900798706205,1.2730674217221742,-0.11209101684248018,5.723859728521022,2.9173027025026372,-14.816502440895796,26.190667135281643,4.407776218343923,0.6818581889213453,2.87,0.116,0.7362985,35.541,1.0,122,veloce_dr1_vgamma
4253435825622331392,-5.4811083637311,1.3473511092428345,-0.03659902947251243,5.644280636763281,2.9005545327900872,-6.3485436472860695,2.9868253425247815,3.7166460670748376,1.238364376038816,2.99,0.125,0.9033309,29.855,1.0,104,veloce_dr1_vgamma
4253603501158148608,-6.09469617731051,1.05426149856456,-0.013644650988532823,6.185207256113488,2.9703074809098013,14.083905614674967,18.654124861002543,2.055179834978848,1.4310484130324845,2.31,0.037,0.8354727,42.784332,2.3771393,10,gaia_vari_cepheid
4256740751371777536,-5.899750423743216,1.199534843200139,0.00433524430937748,6.020460024160067,2.9410072264927396,-0.6518238417398412,-0.01524289385943689,1.5036503735084226,0.9210878416193372,2.55,0.059,0.9373219,24.656143,1.0492419,10,gaia_vari_cepheid
