pulsar,R_kpc,phi_mwm_deg,z_kpc,resid_baryon_1e10,zresid_baryon,deltaR_mean_kpc,migration_direction_mean,Rbirth_mean_kpc,Age_mean_gyr,FeH_mean,aFe_mean,log_source_weight,source_neff,nearest_source_kpc
B1259-63,7.0000166071231575,197.89138646814206,-0.027899999999999998,391.2518968748054,1.996183147320436,-5.327658266914803,-0.5466108089882591,12.326848170011353,9.080155790858411,-1.2093948054425159,0.3631033057816199,6.092031055227802,1883.5008131398122,0.4580980634847783
B1534+12,7.535485562324435,178.3870926535871,0.7216,0.483403262860535,1.5444193701614537,-2.376170944336096,-0.2699692778431466,10.045066469102746,8.980603640055655,-0.9268827587833033,0.27187587551162185,6.241065960505185,1495.3783142941702,0.32672140472246936
B1913+16,6.319793260067927,150.23836351304666,0.1659,-4.249480221903369,-28.32986814602246,-7.611566006370517,-0.740304876373313,13.769183080353807,8.087346387170694,-1.2450236861699262,0.32761386209739496,5.035725488078204,556.7063798704448,0.4949965315417491
J0348+0432,9.40419589172833,180.45451094699186,-0.9338,-5.41160975889842,-0.2973411955438692,-1.3296988066972422,-0.2302127608026344,10.28882005017844,8.95370100876213,-0.953049803102908,0.24138635306037667,6.1338533622416245,1284.0516506526706,0.03293357933438151
J0437-4715,8.156157533152484,180.7809064517838,-0.0834,-0.0334299517453938,-0.2038411691792304,-0.38090901473627814,-0.033445512447833746,8.604402629891116,9.21604439426403,-0.790360669301152,0.2243764779749294,6.519285753995751,1290.0370875371157,0.10628876681223268
J0613-0200,9.084039446193527,183.4995744646832,-0.15630000000000002,-0.2287946024565201,-0.430065042211504,-0.26166860606256204,-0.05343694198067537,9.06053057418741,8.69710493442378,-0.7636840009213635,0.19933852187086448,6.429115128686258,1212.216251153505,0.10642050563061797
J0737-3039A/B,8.455314949781586,184.5129396112248,-0.0361,-1.4661377844984147,-0.12974670659278,-0.21643551279377343,-0.01325979117068085,8.626980001763153,9.134365731800713,-0.7800760162874012,0.2194823904119256,6.546769687632491,1238.1282108780247,0.06314596820334452
J0740+6620,8.998225870136846,176.7891233579521,0.591,0.2164200168317994,0.1133089093360206,-1.468351036208813,-0.23826843048754068,10.4065418882866,8.229321932395315,-0.858365170247406,0.21099961319294955,6.290976675684251,1298.483631173044,0.14901301914405954
J0751+1807,9.339147302618157,183.09784959873352,0.5276000000000001,-0.8672211000970453,-0.2990417586541535,-0.5808453055337609,-0.11102184373264375,9.619855207675364,8.307719975094917,-0.7744501881536926,0.19600401136293424,6.2600201163129405,1156.9291757862104,0.2649269003837375
J1012+5307,8.624466077387051,178.8080880412668,0.6774,0.5005511140818223,0.7307315534041201,-0.8704571182165537,-0.1266816078275134,9.521146354833883,8.624626478500536,-0.815174263889658,0.212308201231597,6.345017288641371,1284.1714439028385,0.5074318682348995
J1017-7156,7.7258482492215705,189.46817437669867,-0.2848,1.3293195066817716,0.7773798284688723,-2.229621435559502,-0.2407364876247515,10.008712528229113,9.587747464633475,-1.013483700959703,0.30626881680705503,6.535935628452402,1674.9075124413976,0.15001248626305472
J1022+1001,8.460801174829722,182.84130322915044,0.6832,-0.2935080431272982,-0.9172126347728068,-0.33814587642646654,-0.03059504988150457,8.833922775240744,8.89314924635295,-0.7741423965873323,0.21356221310042497,6.373285290921848,1186.948281539482,0.17221222722659107
J1125-6014,7.674026437926832,190.40221128933737,0.0427,-0.2497513310874508,-0.1427150463356861,-2.1551730252676577,-0.22049330675475656,9.92859856565143,9.48624789714045,-0.9868848144746101,0.3006191297674913,6.359740388023099,1635.0411033146781,0.30215856603754077
J1455-3330,7.516938808451217,182.61685643376964,0.3108,1.788605698937814,1.770896731621598,-1.5608629783646515,-0.14915167815831626,9.24536662898992,9.27186377510583,-0.8733364145491798,0.26552958725078296,6.406566548822826,1491.6981518483872,0.33450184815179496
J1600-3053,6.848654639416416,183.05838509353103,0.4112,0.6225880934375304,2.572678072055911,-3.7117358515732652,-0.38711383856882314,10.6460820665945,9.160921734135522,-1.020612227594403,0.3230488009548057,6.315254901944687,1436.674320966325,0.27152943069111113
J1603-7202,7.757308569987402,182.60373604205603,-0.1128,0.8140652619436032,3.2304177061254093,-1.0365491661548505,-0.09905644353555536,8.930835096548515,9.44204203154825,-0.862728099848848,0.25693225137176723,6.538628198660984,1451.6308335360977,0.14078310184289325
J1614-2230,7.479560535887119,180.6358190809478,0.25730000000000003,0.9700565720996248,1.4855383952521053,-1.6936096753914185,-0.17058864853367495,9.343582890399269,9.241615084889942,-0.8800598851135331,0.26642815282539145,6.386283171815296,1511.4051121756513,0.25081867413096864
J1640+2224,7.501492843427901,175.74329307169282,0.6881,1.1789650292616158,2.631618368887535,-2.8087630160434673,-0.3356291456549006,10.453767267515973,8.844502351741228,-0.9544376750580383,0.27761063515967394,6.156692232421742,1535.1193076982208,0.6006502328283286
J1713+0747,7.104403018551242,175.39810252300387,0.5764,-0.1257600908013244,-2.4184632846408536,-3.668625071932195,-0.4168271476159288,10.832920834113065,8.87202163548027,-1.000858417289102,0.30489160852705427,6.133432509419502,1438.6803627087904,0.3548834106179455
J1738+0333,6.698110164068668,173.3910589902269,0.5473,0.0915345947884729,0.0888685386295853,-4.8091210152500095,-0.5324576860153993,11.490533580580074,8.730428461899596,-1.0570274597125504,0.3294385939123204,6.065301906143409,1207.3413224299413,0.08016327933457416
