pulsar,R_kpc,phi_mwm_deg,z_kpc,resid_baryon_1e10,zresid_baryon,deltaR_mean_kpc,migration_direction_mean,Rbirth_mean_kpc,Age_mean_gyr,FeH_mean,aFe_mean,log_source_weight,source_neff,nearest_source_kpc
B1259-63,7.0000166071231575,197.89138646814206,-0.027899999999999998,391.2518968748054,1.996183147320436,-5.540783223407055,-0.5866878174343877,12.58240477484175,8.892718016123668,-1.2188158000533322,0.35145966156755437,7.40219305021875,4769.832873798171,0.4580980634847783
B1534+12,7.535485562324435,178.3870926535871,0.7216,0.483403262860535,1.5444193701614537,-3.629284718883692,-0.4394629745158914,11.275959520877146,8.914696344892217,-1.0705304865232503,0.30222753235928,7.306027256563826,3595.6045110408086,0.32672140472246936
B1913+16,6.319793260067927,150.23836351304666,0.1659,-4.249480221903369,-28.32986814602246,-7.133988716853835,-0.7308564184513046,13.584605078826486,8.388956855587294,-1.280453435406327,0.33252786918976174,6.438486064285237,1977.359961500773,0.4949965315417491
J0348+0432,9.40419589172833,180.45451094699186,-0.9338,-5.41160975889842,-0.2973411955438692,-2.3067580749625596,-0.34589563025142506,11.030332667462336,8.961964444930661,-1.0477031092221938,0.2742451703287784,7.115403747393796,2775.262617130825,0.03293357933438151
J0437-4715,8.156157533152484,180.7809064517838,-0.0834,-0.0334299517453938,-0.2038411691792304,-2.723257240333179,-0.34853440654546997,10.771320808203871,9.081637001572966,-1.0345911211103433,0.2889742785013698,7.411289469874163,3512.2652183179425,0.10628876681223268
J0613-0200,9.084039446193527,183.4995744646832,-0.15630000000000002,-0.2287946024565201,-0.430065042211504,-2.1643228348346786,-0.3096376212883645,10.780048995483517,8.859035096789897,-0.9984904243480046,0.2681890410331383,7.277273750527042,2957.1310256376005,0.10642050563061797
J0737-3039A/B,8.455314949781586,184.5129396112248,-0.0361,-1.4661377844984147,-0.12974670659278,-2.512869396687489,-0.32588403693645684,10.737267102751854,9.056153057370013,-1.024910418674474,0.28595431959552575,7.396628919591396,3348.6726594102606,0.06314596820334452
J0740+6620,8.998225870136846,176.7891233579521,0.591,0.2164200168317994,0.1133089093360206,-2.69484677506548,-0.39536473007205203,11.439052392828232,8.466394297474102,-1.0186387236954741,0.26207385948819295,7.2063086457780265,2889.7846377693418,0.14901301914405954
J0751+1807,9.339147302618157,183.09784959873352,0.5276000000000001,-0.8672211000970453,-0.2990417586541535,-2.152623098036402,-0.3241929617272865,11.010631125285252,8.585164470972561,-0.9841483275871508,0.2568476589728948,7.145458906351075,2662.181642352379,0.2649269003837375
J1012+5307,8.624466077387051,178.8080880412668,0.6774,0.5005511140818223,0.7307315534041201,-2.665315438693625,-0.371722317015853,11.151490496499168,8.67937134596648,-1.017920146783138,0.2702732226301681,7.2631364397960265,3074.080136589181,0.5074318682348995
J1017-7156,7.7258482492215705,189.46817437669867,-0.2848,1.3293195066817716,0.7773798284688723,-3.6403639207817133,-0.4247347430101329,11.276378691443877,9.21421751954737,-1.1155118260869954,0.32443343502672634,7.517226730946963,4161.306725872608,0.15001248626305472
J1022+1001,8.460801174829722,182.84130322915044,0.6832,-0.2935080431272982,-0.9172126347728068,-2.5568260082087924,-0.3396686549783789,10.882263668579695,8.86726218446818,-1.0143592752116721,0.2775253530232859,7.282567274428105,3128.044147339211,0.17221222722659107
J1125-6014,7.674026437926832,190.40221128933737,0.0427,-0.2497513310874508,-0.1427150463356861,-3.717742730026826,-0.4247302038273111,11.335014256662904,9.14616005957835,-1.1101107075527985,0.32282162100423906,7.4417596962388615,4170.478578002023,0.30215856603754077
J1455-3330,7.516938808451217,182.61685643376964,0.3108,1.788605698937814,1.770896731621598,-3.42851959437741,-0.40207146754014816,11.005504873426798,9.112374942347238,-1.067633272883745,0.3078590761670362,7.41108941836596,3823.1745565014244,0.33450184815179496
J1600-3053,6.848654639416416,183.05838509353103,0.4112,0.6225880934375304,2.572678072055911,-4.433020906084789,-0.49082198571954966,11.459185445648785,9.08725033658503,-1.1192272526584273,0.32847679766638427,7.387728800845982,3934.4220430137516,0.27152943069111113
J1603-7202,7.757308569987402,182.60373604205603,-0.1128,0.8140652619436032,3.2304177061254093,-3.1374514808815146,-0.3785624832195063,10.870848090922692,9.196795230223058,-1.0650146305274015,0.3052549527721273,7.466454818961395,3809.1352411010594,0.14078310184289325
J1614-2230,7.479560535887119,180.6358190809478,0.25730000000000003,0.9700565720996248,1.4855383952521053,-3.469318436540721,-0.40991156069134527,11.029069130669896,9.094180130871738,-1.0681662104680467,0.30700763342655024,7.404079621695235,3833.4845778050235,0.25081867413096864
J1640+2224,7.501492843427901,175.74329307169282,0.6881,1.1789650292616158,2.631618368887535,-3.81244927325613,-0.4650116737186373,11.45349769429628,8.830590740585325,-1.0789101606953893,0.30250462901588066,7.275107859112911,3625.6310159191985,0.6006502328283286
J1713+0747,7.104403018551242,175.39810252300387,0.5764,-0.1257600908013244,-2.4184632846408536,-4.27116359447576,-0.4984236340979539,11.558023076959218,8.887973620621452,-1.1009390976649163,0.3145568133594291,7.274759825279986,3697.8561640122552,0.3548834106179455
J1738+0333,6.698110164068668,173.3910589902269,0.5473,0.0915345947884729,0.0888685386295853,-4.939855693962176,-0.5568174852823431,11.872161891597637,8.840557864089721,-1.132313187290188,0.3256887099878423,7.219095328918504,3548.4484903228026,0.08016327933457416
J1741+1351,6.876978319000286,171.4080159561371,0.6812,67.71347198068341,3.6017804245044367,-4.887283996232481,-0.5633809428595805,11.98550198334341,8.731219650122803,-1.1288668199625338,0.3206760223088934,7.166042685872484,3475.294766857206,0.2665018232464148
