target,arm,geometry_source,R_target_kpc,phi_target_rad,N_arm,sigma_arm_kpc,perp_limit_kpc,d_nearest_phase_kpc,d_perp_target_kpc,selected_support_h_kpc,N_eff,status
GRB_221009A,Outer,frozen_V3_Outer,11.065461239619236,1.5527944506430613,900,0.8489392303918806,1.6978784607837611,0.09441074966879028,1.280215250494001,1.0,34.49034919591315,CEPHEID_SUPPORT
GRB_221009A,OSC,Reid2019_SC_to_OSC_anchor_G007.47,15.470921731566737,1.3583177990451145,117,1.0,2.0,0.2955041047015368,-0.6516074875869281,1.0,5.840202445381353,CEPHEID_SUPPORT
GRB_160623A,Outer,frozen_V3_Outer,12.159077679004652,2.1989692164750045,937,0.8489392303918806,1.6978784607837611,0.0018739931087500966,1.3384305277832256,1.0,62.435323673372324,CEPHEID_SUPPORT
GRB_031203,Outer,frozen_V3_Outer,14.09479113691448,-2.414562727785636,274,0.8489392303918806,1.6978784607837611,0.08206248780448326,8.723790082951666,,,NO_CEPHEID_SUPPORT
