R_kpc,n_stars,Rbirth_median_kpc,Rguide_median_kpc,deltaR_guide_median_kpc,abs_deltaR_guide_median_kpc,outward_guide_fraction_gt0p5,inward_guide_fraction_gt0p5,outward_guide_fraction_gt1,inward_guide_fraction_gt1,inner_born_fraction_lt6,guide_history_distance_time_median,epicycle_offset_median_kpc,age_median_gyr,chi_interaction
5.0,2661,3.4648506872993203,4.50574753545178,1.0136775268589182,1.5267747113723233,0.5967681322810974,0.22998872604284104,0.5043216835776024,0.16647876738068396,0.8880120255543029,10.353497540361332,0.4976991076296402,7.72,0.5935318957728084
5.5,3479,3.6193205299082236,5.1557354453830255,1.4048652626315308,1.7779821844958068,0.6924403564242598,0.17476286289163553,0.5924116125323369,0.1195745903995401,0.8764012647312446,11.20981173680639,0.34903011675326034,7.28,0.5859121325891313
6.0,4663,3.7018827378530235,5.730030041877224,1.8691286034704158,2.1120842287146555,0.7488741153763672,0.13360497533776539,0.6620201586961184,0.0997212095217671,0.8563156766030452,13.705435503449142,0.29406338230145135,7.14,0.5868126408802014
6.5,4974,3.815746898363518,6.251449656269828,2.2628340798076936,2.4254719975314805,0.7784479292320065,0.11640530759951749,0.7052673904302372,0.08464012866907922,0.8092078809811017,14.603708916479363,0.228168320894941,6.69,0.5956871718798534
7.0,6570,4.26768396103652,6.763333121463399,2.3144078110795476,2.461554397131388,0.7715372907153729,0.12998477929984778,0.7062404870624048,0.09056316590563165,0.7275494672754946,14.158172436357628,0.25764099150482345,6.19,0.6118175813915374
7.5,8733,4.384742843411562,7.153768914616156,2.5527052164109643,2.7248703235911798,0.7831214931867628,0.12286728501087828,0.721630596587656,0.08874384518493073,0.7058284667353716,17.500720105604604,0.3510876601639419,6.95,0.6343922546432877
8.0,26902,5.121944967594048,7.757283976790966,2.407887946235386,2.6342564107273962,0.7490892870418556,0.14887368968849898,0.6880157609099695,0.10831908408296781,0.6009962084603375,15.3165838928891,0.25636070968361135,6.27,0.6626226898242273
8.5,16119,5.618480200916696,8.173853517310391,2.3802988722381118,2.6170783285644754,0.7530864197530864,0.1431850611080092,0.6912339475153545,0.10093678267882623,0.5458775358272846,14.26633093287293,0.31760075258601006,5.96,0.6957790991073998
9.0,15478,6.392451677402619,8.623889406169674,2.1725288684562782,2.4336475862957236,0.7325235818581212,0.14995477451867167,0.6618426153249773,0.10498772451221088,0.4568419692466727,11.736916341829517,0.3708008134622718,5.32,0.733169507932633
9.5,13550,7.14150137538411,9.037806773768175,1.891863505836731,2.2024356586482607,0.7005166051660516,0.1614760147601476,0.6264944649446494,0.11166051660516606,0.3763837638376384,9.566451475071238,0.45102036540096613,4.87,0.7741587906122469
10.0,10045,8.06365355102926,9.56337793282598,1.573007126309717,1.8986524813118493,0.6800398208063714,0.17411647585863613,0.5955201592832254,0.11737182677949229,0.28063713290194126,7.337973790242031,0.4257460577856609,4.4,0.8182001328559295
10.5,7813,8.629842369406502,9.915011195907718,1.398520304407743,1.7439923831023858,0.6633815435812108,0.17803660565723795,0.5695635479329323,0.11698451299116856,0.21694611544861128,6.291760129665282,0.573590848822823,4.17,0.8648184655762629
