Rad,Vbulge,Vgas,Vdisk,Vc_model,Sbulge,Sdisk,Sgas,Vbar,Vnonbar_model_equiv
28.427,44.1171,48.9138,87.664,204.725,0.0,0.0,0.454,109.65334121151986,172.8828227041368
30.4575,42.6212,46.7484,84.5,203.218,0.0,0.0,0.294,105.55676004880029,173.65288921293535
35.5337,39.4596,41.9888,77.927,200.117,0.0,0.0,0.099,96.91613223091397,175.08305743960491
40.61,36.911,38.3426,72.719,197.86,0.0,0.0,0.033,90.11453743298026,176.14752267131095
50.7625,33.0142,33.1393,64.863,194.819,0.0,0.0,0.003,79.97099083498965,177.6487640989095
60.915,30.1377,29.8204,59.126,193.016,0.0,0.0,0.0,72.75590074660612,178.77850867078513
71.0675,27.9021,27.3924,54.693,191.796,0.0,0.0,0.0,67.23239554835153,179.62602986435456
81.22,26.1,25.4991,51.133,190.91,0.0,0.0,0.0,62.81717750591792,180.27931193065388
91.3725,24.6073,23.9633,48.19,190.236,0.0,0.0,0.0,59.17799472929105,180.7974021821663
101.525,23.3446,22.6822,45.705,189.706,0.0,0.0,0.0,56.11060123541718,181.21800921817896
121.83,21.3106,20.6464,41.708,188.925,0.0,0.0,0.0,51.1856695699099,181.8589641884062
152.2875,19.0608,18.4242,37.294,188.16,0.0,0.0,0.0,45.75595784463483,182.51185693461122
