R_kpc,stars_weight,cells,age_median_gyr,old_fraction_gt8,FeH_median,aFe_median,ecc_median,zmax_median_kpc,radial_excursion_median_kpc,Vobs_mcgaugh_kms,Vobs_err_hi_kms,Vobs_err_lo_kms,Vbar_mcgaugh_kms,Vbulge_kms,Vdisk_kms,Vgas_kms,Vc_model_mcgaugh_kms,Vres2_kms2,Vres_equiv_kms,mass_discrepancy_fraction_v2,gres_kms2_per_kpc
5.0,230,9,8.486390853020263,0.5608695652173913,-1.2627105256106859,0.39397753610902464,0.4516596453547572,1.5479997497657945,4.044632032768888,224.07,5.64,5.26,202.25784276314437,105.20203735144312,172.4528404074703,-9.942203565365027,229.46046519524617,9299.129940799168,96.43199645760305,0.18521445925952526,1859.8259881598337
5.5,445,17,9.540440204649677,0.7235955056179775,-1.148919427322527,0.3866784819290997,0.4368468335372428,2.1614494129971495,4.621518546370058,229.1936170212766,4.318723404255318,5.162127659574468,199.17013117357578,100.30836225641026,171.7529641025641,10.054821641025644,229.60400717948718,12860.972931596225,113.40622968601075,0.24483234215215346,2338.3587148356773
6.0,705,17,8.246286509780191,0.5404255319148936,-1.3203397051043142,0.37582179307422847,0.560764145799914,2.326160125221333,6.214799816859569,238.4930612244898,5.996326530612241,4.922040816326531,208.21281579338054,96.0324839487937,184.36067159034957,11.81857119645495,239.97957656326932,13526.363591620022,116.30289588664601,0.2378096977833571,2254.3939319366705
6.5,472,18,9.259070896845373,0.6716101694915254,-1.3942011033801311,0.39175374231085053,0.5370592283885967,1.8892495008791057,5.117345440489948,239.74900000000002,8.9376,4.179000000000001,215.39772933508385,92.26473759999999,194.1291236923077,13.980414461538468,248.60992061538462,11083.401198289968,105.27773363009848,0.1928232707968174,1705.1386458907643
7.0,623,9,9.307458981779417,0.7784911717495987,-0.9277263172665698,0.37790634686292085,0.20548726258804945,2.705446268281125,2.390252727560023,243.19040816326532,6.7155102040816335,4.289183673469387,208.68929126441654,88.90633265749457,187.7717378711079,19.71217429398986,244.8273678493845,15590.354334171105,124.86134043077988,0.2636107414057487,2227.1934763101576
7.5,523,16,9.863692879579181,0.7743785850860421,-1.0967999422169281,0.34288299330845945,0.3512127562251362,2.553630793791616,4.29051470243465,243.13066666666668,3.9933333333333336,4.035333333333333,204.5271700343554,85.89053229166667,184.88790625000001,-16.26425937499999,242.05662500000003,17281.15779151566,131.45781753671275,0.2923434405706907,2304.154372202088
8.0,636,20,9.18315731828825,0.6037735849056604,-0.9370863405656605,0.3019505750161717,0.36265530497307213,1.2383145744468478,4.585866177255595,234.38756756756757,2.9697297297297296,2.4445945945945944,193.64970209484915,83.18583868149325,174.5150357426529,0.4322312946783171,235.19828514694203,17437.32470881723,132.05046273609656,0.31740276870644984,2179.6655886021535
8.5,904,27,8.39781079952145,0.5320796460176991,-1.0336873808950753,0.29713233366795594,0.44189549174301873,1.9160928659159195,6.441373666411535,230.8893220338983,2.3486440677966094,1.9889830508474582,189.15084600340106,80.69439490445859,168.89473885350318,25.543852229299365,233.5646433121019,17531.836485470856,132.40784148029473,0.32886655915771035,2062.568998290689
9.0,651,25,8.290382976503384,0.554531490015361,-1.1931503330211488,0.3350164396958656,0.5547270861251778,2.128203184674246,7.183396700187645,231.6765306122449,1.3528571428571414,1.5630612244897941,187.01178762995647,78.44325437433407,166.0133306499349,35.480606404640696,233.54261134130462,18700.606123974503,136.750159502556,0.3484107939555193,2077.845124886056
9.5,474,19,7.791300727842523,0.5,-1.0907007957203194,0.28605552876096685,0.5414572120302577,2.1255149251861005,7.574701153687022,231.99346938775508,0.5730612244897959,0.5791836734693876,183.15796730514117,76.35612284834853,163.05370001183852,33.60337188350894,231.93375612643544,20274.12885121609,142.3872496090015,0.37669571752473274,2134.1188264437988
10.0,378,14,7.337718915575868,0.4444444444444444,-0.794248628541358,0.2543293844681221,0.38744873985189526,1.6388139193280282,5.593945398761519,231.3088,0.4624,0.4296,179.43145367680737,74.45087528786537,160.35144774136404,30.468349867139064,230.35592205491588,21308.11438886773,145.97299198436582,0.3982545153380422,2130.811438886773
10.5,192,7,5.99891920552361,0.2864583333333333,-0.7405800864077957,0.21446562272785683,0.31027875293116725,1.3496823295927702,4.9661118898721375,230.05591836734692,0.4048979591836735,0.41061224489795917,175.78263608384634,72.656632595217,157.8062750221435,26.565692648361384,228.79702037201062,22026.190427257432,148.41223139370095,0.41617172344087294,2097.732421643565
