R_kpc,stars_weight,azimuth_vertical_cells,age_median_gyr,old_fraction_gt8,FeH_median,aFe_median,ecc_median,zmax_median_kpc,radial_excursion_median_kpc,history_anomaly_strength,kinematic_anomaly_strength,Vobs_eilers_kms,Vbar_mcmillan17_kms,Vhalo_mcmillan17_kms,Vtotal_mcmillan17_kms,Vres2_kms2,Vres_equiv_kms,gres_kms2_per_kpc,mass_discrepancy_fraction_v2,baryon_fraction_v2,model_halo_minus_empirical_residual_kms
5.0,230,9,8.486390853020263,0.5608695652173913,-1.2627105256106859,0.39397753610902464,0.4516596453547572,1.5479997497657945,4.044632032768888,2.2232445868634523,1.123809313256673,234.3074,185.6118180253897,129.0627223095415,226.07284949909442,20448.210704069614,142.99724019738846,4089.6421408139227,0.37246314136998543,0.6275368586300145,-13.934517887846965
5.5,445,17,9.540440204649677,0.7235955056179775,-1.148919427322527,0.3866784819290997,0.4368468335372428,2.1614494129971495,4.621518546370058,1.5113056244288074,1.3156588344914937,233.4574,185.38222216590256,133.52280935230752,228.46205136192907,20135.789319591946,141.90063185057332,3661.052603562172,0.3694480422648523,0.6305519577351477,-8.3778224982658
6.0,705,17,8.246286509780191,0.5404255319148936,-1.3203397051043142,0.37582179307422847,0.560764145799914,2.326160125221333,6.214799816859569,1.0799958787832677,1.226713091021041,232.6074,184.6548424366739,137.5991153152868,230.28444882549596,20008.791699447138,141.45243617360268,3334.798616574523,0.36980587736854537,0.6301941226314546,-3.8533208583158682
6.5,472,18,9.259070896845373,0.6716101694915254,-1.3942011033801311,0.39175374231085053,0.5370592283885967,1.8892495008791057,5.117345440489948,1.5797541121888952,2.5105493278734063,231.7574,183.46774927629227,141.34036613888637,231.59774205458675,20051.077430251557,141.6018270724342,3084.781143115624,0.37331074810740245,0.6266892518925975,-0.2614609335478235
7.0,623,9,9.307458981779417,0.7784911717495987,-0.9277263172665698,0.37790634686292085,0.20548726258804945,2.705446268281125,2.390252727560023,0.0,0.0,230.9074,181.8778898422391,144.78645148515696,232.47082257162808,20238.66056129433,142.26264640197837,2891.2372230420474,0.37958239719865466,0.6204176028013454,2.523805083178587
7.5,523,16,9.863692879579181,0.7743785850860421,-1.0967999422169281,0.34288299330845945,0.3512127562251362,2.553630793791616,4.29051470243465,0.5323168962676205,0.24798959661965142,230.0574,179.9525725304046,147.9705201310686,232.97682972383652,20543.478934449467,143.32996523563895,2739.130524593262,0.3881517749738396,0.6118482250261603,4.640554895429659
8.0,636,20,9.18315731828825,0.6037735849056604,-0.9370863405656605,0.3019505750161717,0.36265530497307213,1.2383145744468478,4.585866177255595,2.3096447271297174,1.100136038207138,229.2074,177.75907565631945,150.92047063068043,233.18507120648863,20937.7432365709,144.69880178001094,2617.2179045713624,0.3985406273351652,0.6014593726648348,6.221668850669488
8.5,904,27,8.39781079952145,0.5320796460176991,-1.0336873808950753,0.29713233366795594,0.44189549174301873,1.9160928659159195,6.441373666411535,2.0705286991200547,1.1055366058596345,228.3574,175.35996517009454,153.6600393197601,233.1577257313319,21395.984750303232,146.27366389854063,2517.1746765062626,0.4103005512178055,0.5896994487821945,7.386375421219469
9.0,651,25,8.290382976503384,0.554531490015361,-1.1931503330211488,0.3350164396958656,0.5547270861251778,2.128203184674246,7.183396700187645,1.7818766669294486,1.5292831093198682,227.5074,172.81244205921985,156.20961212620261,232.94974361670774,21895.47692428878,147.97120302372613,2432.83076936542,0.4230223902376263,0.5769776097623737,8.238409102476481
9.5,474,19,7.791300727842523,0.5,-1.0907007957203194,0.28605552876096685,0.5414572120302577,2.1255149251861005,7.574701153687022,1.2950706945919508,0.961125716235365,226.6574,170.166340367629,158.58684200213057,232.60775965199545,22416.993580648235,149.72305627607338,2359.683534805077,0.4363525940905726,0.5636474059094274,8.863785726057188
10.0,378,14,7.337718915575868,0.4444444444444444,-0.794248628541358,0.2543293844681221,0.38744873985189526,1.6388139193280282,5.593945398761519,1.6008334792001833,0.9944309096467571,225.8074,167.46240639728975,160.8071264557494,232.1693120878089,22945.324338388968,151.47714130649868,2294.532433838897,0.4500055401331125,0.5499944598668876,9.329985149250717
10.5,192,7,5.99891920552361,0.2864583333333333,-0.7405800864077957,0.21446562272785683,0.31027875293116725,1.3496823295927702,4.9661118898721375,0.8023064534934733,0.5011442318578331,224.9574,164.73352946925465,162.88398238520344,231.66425587271993,23468.69608336221,153.19496102470933,2235.113912701163,0.4637547737436299,0.5362452262563702,9.68902136049411
11.0,51,2,5.818945196300091,0.2745098039215686,-0.6166374667254161,0.17520915295052966,0.23263490548369353,1.115384640211586,4.358267739226165,0.0,0.0,224.1074,162.0069290091917,164.8293441923736,231.11676216552803,23977.881687770725,154.84793084756,2179.807426160975,0.4774175928314486,0.5225824071685514,9.981413344813603
11.5,25,1,5.244640873846798,0.08,-0.6318339785669236,0.1644835094159623,0.1223949115450921,0.7809809931153445,3.063830001852841,0.0,0.0,223.2574,159.30483139397828,166.65380368054437,230.54613331534597,24465.837349296147,156.41559177171612,2127.4641173300997,0.4908495064950926,0.5091504935049074,10.238211908828248
12.0,23,1,8.209180068680414,0.5652173913043478,-0.6533059255160315,0.2636892045091891,0.2490724559635757,2.1931440913513773,5.184492317059608,0.0,0.0,222.4074,156.64433156948218,168.3668051527217,229.96701435245973,24927.60496191013,157.88478382006966,2077.300413492511,0.5039437778455622,0.49605622215443784,10.482021332652039
12.5,20,1,6.858884119735362,0.4,-0.7581993674806489,0.168595419323535,0.112827318790879,0.7295045069352788,2.8499784614361348,0.0,0.0,221.5574,154.0380299292587,169.97680559598027,229.39012425364103,25359.966830272802,159.24812975439556,2028.7973464218242,0.5166258836848899,0.48337411631511007,10.728675841584703
