source_id_1,source_id_2,passes_pair,passing_h,best_min_neff,best_h_kpc,best_neffU,best_neffV,sum_abs_phase_kpc
2072235820984829312,2025179884408158464,True,4.0;5.0;7.0;10.0,4.6137606343320465,7.0,4.6137606343320465,4.63060005938091,10.933614917495039
2072235820984829312,2031745858613175040,True,4.0;5.0;7.0;10.0,4.524408412723346,7.0,4.524408412723346,4.61267731033399,11.672421120212993
2025179884408158464,2031745858613175040,True,3.0;4.0;5.0;7.0;10.0,4.511968323865731,7.0,4.511968323865731,4.6124396893594595,8.089789614760381
2025179884408158464,2162679246615275264,True,5.0;7.0;10.0,4.492519591443389,7.0,4.602015709135444,4.492519591443389,14.72281299742237
2072235820984829312,2162679246615275264,True,5.0;7.0;10.0,4.4920006126067715,7.0,4.672987934203927,4.4920006126067715,18.30544450287498
2031745858613175040,2162679246615275264,True,5.0;7.0;10.0,4.443652711934691,7.0,4.4947746271495275,4.443652711934691,15.461619200140323
2072235820984829312,2059995546465811968,True,5.0;7.0;10.0,4.415271916718186,7.0,4.473735324356401,4.415271916718186,14.753575117202063
2072235820984829312,1873298884367855872,True,5.0;7.0;10.0,4.402829643369776,7.0,4.402829643369776,4.4176215167253465,15.95957919207093
2025179884408158464,2059995546465811968,True,4.0;5.0;7.0;10.0,4.380014040554893,7.0,4.380014040554893,4.414819293646055,11.17094361174945
2031745858613175040,4513281175196176512,True,3.0;4.0;5.0;7.0;10.0,4.353979268839554,7.0,4.477501666895143,4.353979268839554,4.96968005227454
2072235820984829312,4513281175196176512,True,4.0;5.0;7.0;10.0,4.349536389240389,7.0,4.664674828757076,4.349536389240389,7.813505355009197
2025179884408158464,4513281175196176512,True,2.0;3.0;4.0;5.0;7.0;10.0,4.349080010979451,7.0,4.589078783947641,4.349080010979451,4.230873849556586
2031745858613175040,4160906424545920128,True,4.0;5.0;7.0;10.0,4.341607040550484,7.0,4.523817289433658,4.341607040550484,14.9070176689367
2072235820984829312,2165006259882192128,True,5.0;7.0;10.0,4.338543531507645,7.0,4.338543531507645,4.4842236161691424,19.070596816761466
2072235820984829312,4160906424545920128,True,5.0;7.0;10.0,4.33718745342609,7.0,4.649199390524597,4.33718745342609,17.750842971671357
2025179884408158464,4160906424545920128,True,4.0;5.0;7.0;10.0,4.336731879954565,7.0,4.604887594679555,4.336731879954565,14.168211466218747
2025179884408158464,1873298884367855872,True,5.0;7.0;10.0,4.3088822630495685,7.0,4.3088822630495685,4.417169319140382,12.376947686618319
2162679246615275264,2165006259882192128,True,7.0;10.0,4.286157709868944,7.0,4.387733629297906,4.286157709868944,22.859794896688797
2195158098523149312,2022722274099045376,True,7.0;10.0,4.279576401514659,10.0,4.711550890765487,4.279576401514659,16.597156871638347
1873298884367855872,2059995546465811968,True,7.0;10.0,4.253405731698633,7.0,4.317746924576795,4.253405731698633,16.19690788632534
2059995546465811968,2165006259882192128,True,7.0;10.0,4.253261726018753,7.0,4.253261726018753,4.316357533844096,19.307925511015878
2031745858613175040,2059995546465811968,True,4.0;5.0;7.0;10.0,4.253178282738397,7.0,4.253178282738397,4.4193899602936115,11.909749814467405
2165006259882192128,4513281175196176512,True,5.0;7.0;10.0,4.251580901677388,7.0,4.390998587998946,4.251580901677388,12.367855748823013
2025179884408158464,2165006259882192128,True,5.0;7.0;10.0,4.2454092662217615,7.0,4.2454092662217615,4.483794760560382,15.487965311308855
2031745858613175040,4513399883752121216,True,3.0;4.0;5.0;7.0;10.0,4.242834938203372,7.0,4.357117988552524,4.242834938203372,4.709477768656448
2195158098523149312,1861245556872133504,True,7.0;10.0,4.239675849239482,10.0,4.269822435394101,4.239675849239482,20.249970258333512
2072235820984829312,4513399883752121216,True,4.0;5.0;7.0;10.0,4.23931263232974,7.0,4.571678744315652,4.23931263232974,7.553303071391106
2165006259882192128,4160906424545920128,True,7.0;10.0,4.239228565393485,7.0,4.303950685699655,4.239228565393485,22.305193365485174
2025179884408158464,4513399883752121216,True,2.0;3.0;4.0;5.0;7.0;10.0,4.238876165634746,7.0,4.4815346349649525,4.238876165634746,3.970671565938495
2162679246615275264,2195158098523149312,True,7.0;10.0,4.238079318979081,10.0,5.012739178916716,4.238079318979081,25.669529436152274
2072235820984829312,2022722274099045376,True,5.0;7.0;10.0,4.2247320439939235,10.0,4.914216992837948,4.2247320439939235,9.233071938361055
2022722274099045376,4310507179195737984,True,3.0;4.0;5.0;7.0;10.0,4.224351932938257,10.0,4.278955343109199,4.224351932938257,6.096923605938162
