source_id,ra_deg,dec_deg,GLON_deg,GLAT_deg,Dist_kpc,e_mu_mag,ruwe,pmra,pmra_error,pmdec,pmdec_error,R_kpc,phi_rad,s_phase_kpc,d_perp_kpc,gaia_source_rv,gaia_source_rv_error,gaia_source_rv_transits,gaia_vari_rv,gaia_vari_rv_error,gaia_vari_rv_epochs,melnik_name,eU_1,eV_1,eU_2,eV_2,eU_5,eV_5,best_min_neff_sigmaRV_1,best_h_sigmaRV_1,best_neffU_sigmaRV_1,best_neffV_sigmaRV_1,passes_single_sigmaRV_1,passing_h_sigmaRV_1,best_min_neff_sigmaRV_2,best_h_sigmaRV_2,best_neffU_sigmaRV_2,best_neffV_sigmaRV_2,passes_single_sigmaRV_2,passing_h_sigmaRV_2,best_min_neff_sigmaRV_5,best_h_sigmaRV_5,best_neffU_sigmaRV_5,best_neffV_sigmaRV_5,passes_single_sigmaRV_5,passing_h_sigmaRV_5
5862110156977174784,197.00049889345465,-63.97074335916243,304.74822,-1.15742,11.8,0.147,0.962217,-5.325148312705462,0.082728736,-0.6894578190707519,0.117850564,9.797978194187449,-1.716842983906135,-36.3951538740554,1.8576450506024238,,,,,,,,3.3970629610248735,14.941367409410503,3.588934484813002,14.450525104510149,4.897597727737152,14.482993357386253,2.630972207199006,7.0,2.6978088663107274,2.630972207199006,False,,2.6309722680902787,7.0,2.697808826524589,2.6309722680902787,False,,2.630972263918585,7.0,2.697808553091294,2.630972263918585,False,
5607793392275328640,106.26305910724982,-29.865827899544065,241.26022,-10.44236,26.97,0.149,1.0582929,2.57924424425979,0.01969017,0.7754750352937096,0.025503855,31.27178448888528,-2.3030460356089386,59.86384783057561,1.5231599894011467,,,,,,,,2.6483017756398417,7.26303051395406,2.8567251954018804,6.787420802372198,5.585579224333795,7.427471503968803,2.630971119025155,7.0,2.6978070295759977,2.630971119025155,False,,2.630971119025155,7.0,2.6978070295759977,2.630971119025155,False,,2.630971119025155,7.0,2.6978070295759977,2.630971119025155,False,
5881792750773412864,232.9925565165384,-59.66783317478479,321.95323,-2.86224,9.74,0.127,1.1566509,-10.181755742178094,0.025676336,-1.4798949855525152,0.02480904,6.01527822638507,-1.6522747772002935,-35.86810275893095,-1.9429618854882655,-83.20267,6.4864063,20.0,,,,,2.923643442781968,20.612672628889282,3.0580673736824924,21.202382102948338,3.8271201015127905,21.574079022386847,,,,,False,,,,,,False,,,,,,False,
5829209397452838144,242.43452308218275,-63.282923215401325,323.17795,-8.50176,12.88,0.108,1.0693896,-8.379800396023061,0.018887596,-3.5827227513844826,0.02653011,7.903938311152088,-1.3089742435551097,-32.92889552505473,-0.7522909507280678,,,,,,,,1.8438363415796133,26.090722087683076,2.2165073138113014,24.626094925538226,4.124137816111757,24.555454950567853,,,,,False,,,,,,False,,,,,,False,
5882731531874759552,235.76881568597304,-56.72848513475193,324.87085,-1.35381,16.69,0.135,0.97113246,-3.339541675102266,0.12334493,-2.852286479923559,0.103724726,11.062858321390584,-1.0508968083604926,-30.55946366536659,1.801362204879351,,,,,,,,4.41507242053708,21.242071083989096,4.849368607304739,20.988257111918152,6.463988798496836,20.305942409623693,,,,,False,,,,,,False,,,,,,False,
5836474626688659584,239.10495595545729,-55.88145735597776,326.84557,-1.84909,15.75,0.135,1.0057586,-3.5102083220910685,0.097325966,-3.168693083459793,0.082812876,9.970217226153753,-1.0421443326002071,-30.476584895237416,0.718860306215111,,,,,,,,3.5355225000200927,20.122754457323268,3.983817558250537,20.362906328294443,5.533448069315308,19.46003876624383,,,,,False,,,,,,False,,2.631141567681573,7.0,2.6981506893315044,2.631141567681573,False,
5932665233969623552,241.2769034144424,-54.59473454588122,328.62475,-1.68728,16.86,0.13,1.0205581,-3.5820801421464017,0.05594526,-3.2880593250117256,0.04548214,10.765702692369008,-0.9527553156666766,-29.62040789300654,1.3046404538732288,,,,,,,,2.418370528006637,21.412220839396564,2.9375479196955134,21.45605331230754,4.803622637376438,22.610472770728077,,,,,False,,,,,,False,,,,,,False,
5926182268565278336,259.30832329566704,-50.95064459355835,338.5559,-7.47466,19.08,0.108,1.001348,-3.096565344422503,0.041601826,-5.078033326724847,0.035335448,11.715875845960593,-0.6314699795340224,-26.39179697776294,1.5173609624914988,,,,,,,,1.5043369351368763,27.239317393200814,2.074934723478219,27.306416696788954,5.086433257345018,28.421185156006604,,,,,False,,,,,,False,,,,,,False,
5950357608686287616,261.3559256519243,-46.9530812547263,342.64929,-6.34673,15.81,0.11,1.0099002,-4.674770376552475,0.08881574,-3.6080651804403816,0.06669282,8.29691170118223,-0.6001720023659649,-26.06418668432147,-1.8849488785060176,,,,,,,,2.805142428585035,21.468545546645405,3.033168499024964,20.782500164641913,5.170858256009741,21.215325957078722,,,,,False,,,,,,False,,,,,,False,
5951457085957041152,258.1390079025971,-45.78226087327471,342.34558,-3.85569,19.87,0.187,0.99347985,-4.246926618757806,0.34075573,-8.831864172374658,0.27927387,12.308784792144703,-0.5103334122154501,-25.110441433350076,1.8119770406768545,,,,,,,,7.378662419776807,90.72836485342191,7.61941639763466,82.73826429795345,9.230043049000342,84.00637719408809,,,,,False,,,,,,False,,,,,,False,
5976382778374624640,255.9383907192581,-37.84905038560124,347.7274,2.20071,17.58,0.111,1.1605285,-2.795390209338417,0.0752288,-3.8710791045850335,0.049559116,9.75871066977732,-0.3926571370946394,-23.83061780864139,-0.954258679714211,,,,,,,,1.5995904080795231,21.446842842490835,2.2655026676752787,21.811607762295996,5.08826526160766,21.689265001571034,,,,,False,,,,,,False,,,,,,False,
6030394942723884928,249.8510376994408,-32.313195600596686,348.87895,9.55566,20.57,0.108,0.9796052,-5.383125266330676,0.04366028,-6.946596506103689,0.034309413,12.389958664305665,-0.32128394114816056,-23.037129054861484,1.4333486664484698,,,,,,,,1.2798966181910656,44.73948211606545,2.1194790517911066,43.449657088290095,4.91890860795959,44.03996743616081,,,,,False,,,,,,False,,,,,,False,
6027007317365233920,252.12821460267548,-33.32105838032376,349.34823,7.44321,20.0,0.11,0.98810667,-3.8529967144850223,0.09401906,-8.230148796709942,0.06856356,11.919166026206842,-0.31261008645553956,-22.939796578420722,0.9533215223606567,,,,,,,,1.6084375095029757,42.58997411545696,2.3348862475076024,47.44848622397394,5.312781980422792,43.37944958892611,,,,,False,,,,,,False,,,,,,False,
